 d,D -> G,G
x-axis: "Mass{p3+p4}]"  from 500.000000 to 1000.000000 N_bins= 300
Diff. cross section [pb/GeV]
5.008333E+02 -3.692814E-01 +/-  1.427590E-03
5.025000E+02 -3.656412E-01 +/-  1.407535E-03
5.041667E+02 -3.577528E-01 +/-  1.380026E-03
5.058333E+02 -3.554685E-01 +/-  1.364661E-03
5.075000E+02 -3.489114E-01 +/-  1.340350E-03
5.091667E+02 -3.424631E-01 +/-  1.315405E-03
5.108333E+02 -3.411948E-01 +/-  1.302483E-03
5.125000E+02 -3.327669E-01 +/-  1.275374E-03
5.141667E+02 -3.305817E-01 +/-  1.260205E-03
5.158333E+02 -3.247368E-01 +/-  1.237923E-03
5.175000E+02 -3.212417E-01 +/-  1.222277E-03
5.191667E+02 -3.163071E-01 +/-  1.201453E-03
5.208333E+02 -3.106725E-01 +/-  1.180453E-03
5.225000E+02 -3.104715E-01 +/-  1.172125E-03
5.241667E+02 -3.022015E-01 +/-  1.145113E-03
5.258333E+02 -2.993318E-01 +/-  1.131256E-03
5.275000E+02 -2.947396E-01 +/-  1.112334E-03
5.291667E+02 -2.918532E-01 +/-  1.097698E-03
5.308333E+02 -2.874976E-01 +/-  1.080938E-03
5.325000E+02 -2.822954E-01 +/-  1.062284E-03
5.341667E+02 -2.799605E-01 +/-  1.048967E-03
5.358333E+02 -2.763083E-01 +/-  1.033773E-03
5.375000E+02 -2.725323E-01 +/-  1.018430E-03
5.391667E+02 -2.693049E-01 +/-  1.004228E-03
5.408333E+02 -2.641726E-01 +/-  9.862847E-04
5.425000E+02 -2.624339E-01 +/-  9.760609E-04
5.441667E+02 -2.572156E-01 +/-  9.571285E-04
5.458333E+02 -2.547751E-01 +/-  9.453755E-04
5.475000E+02 -2.519961E-01 +/-  9.328396E-04
5.491667E+02 -2.480851E-01 +/-  9.180721E-04
5.508333E+02 -2.444719E-01 +/-  9.046987E-04
5.525000E+02 -2.415808E-01 +/-  8.914854E-04
5.541667E+02 -2.384372E-01 +/-  8.792947E-04
5.558333E+02 -2.352798E-01 +/-  8.663107E-04
5.575000E+02 -2.324817E-01 +/-  8.542372E-04
5.591667E+02 -2.286079E-01 +/-  8.402784E-04
5.608333E+02 -2.266731E-01 +/-  8.309238E-04
5.625000E+02 -2.232271E-01 +/-  8.169569E-04
5.641667E+02 -2.213999E-01 +/-  8.084557E-04
5.658333E+02 -2.173897E-01 +/-  7.943637E-04
5.675000E+02 -2.158090E-01 +/-  7.852561E-04
5.691667E+02 -2.118041E-01 +/-  7.725308E-04
5.708333E+02 -2.096362E-01 +/-  7.619503E-04
5.725000E+02 -2.072384E-01 +/-  7.518950E-04
5.741667E+02 -2.037771E-01 +/-  7.401311E-04
5.758333E+02 -2.018644E-01 +/-  7.307914E-04
5.775000E+02 -1.998592E-01 +/-  7.219751E-04
5.791667E+02 -1.958488E-01 +/-  7.093338E-04
5.808333E+02 -1.951046E-01 +/-  7.023884E-04
5.825000E+02 -1.911475E-01 +/-  6.896603E-04
5.841667E+02 -1.902381E-01 +/-  6.832848E-04
5.858333E+02 -1.876707E-01 +/-  6.736035E-04
5.875000E+02 -1.838643E-01 +/-  6.612106E-04
5.891667E+02 -1.832792E-01 +/-  6.558306E-04
5.908333E+02 -1.802086E-01 +/-  6.451690E-04
5.925000E+02 -1.774092E-01 +/-  6.351745E-04
5.941667E+02 -1.762258E-01 +/-  6.287473E-04
5.958333E+02 -1.748843E-01 +/-  6.220282E-04
5.975000E+02 -1.712075E-01 +/-  6.103861E-04
5.991667E+02 -1.695495E-01 +/-  6.032290E-04
6.008333E+02 -1.671376E-01 +/-  5.942122E-04
6.025000E+02 -1.658315E-01 +/-  5.878074E-04
6.041667E+02 -1.641487E-01 +/-  5.808274E-04
6.058333E+02 -1.611982E-01 +/-  5.710983E-04
6.075000E+02 -1.597480E-01 +/-  5.643195E-04
6.091667E+02 -1.578324E-01 +/-  5.568983E-04
6.108333E+02 -1.555946E-01 +/-  5.490104E-04
6.125000E+02 -1.544721E-01 +/-  5.429208E-04
6.141667E+02 -1.520604E-01 +/-  5.350655E-04
6.158333E+02 -1.503392E-01 +/-  5.281673E-04
6.175000E+02 -1.487269E-01 +/-  5.213239E-04
6.191667E+02 -1.467715E-01 +/-  5.146389E-04
6.208333E+02 -1.450069E-01 +/-  5.075453E-04
6.225000E+02 -1.436638E-01 +/-  5.017770E-04
6.241667E+02 -1.418026E-01 +/-  4.949994E-04
6.258333E+02 -1.399346E-01 +/-  4.880087E-04
6.275000E+02 -1.387859E-01 +/-  4.827443E-04
6.291667E+02 -1.372620E-01 +/-  4.769207E-04
6.308333E+02 -1.349456E-01 +/-  4.694539E-04
6.325000E+02 -1.337214E-01 +/-  4.639835E-04
6.341667E+02 -1.317269E-01 +/-  4.571356E-04
6.358333E+02 -1.314612E-01 +/-  4.541490E-04
6.375000E+02 -1.287182E-01 +/-  4.454334E-04
6.391667E+02 -1.278217E-01 +/-  4.413170E-04
6.408333E+02 -1.263264E-01 +/-  4.356051E-04
6.425000E+02 -1.247253E-01 +/-  4.297578E-04
6.441667E+02 -1.236917E-01 +/-  4.255290E-04
6.458333E+02 -1.220854E-01 +/-  4.192752E-04
6.475000E+02 -1.203618E-01 +/-  4.134934E-04
6.491667E+02 -1.189889E-01 +/-  4.083892E-04
