 G,G -> u,U
x-axis: "Mass{p3+p4}]"  from 1000.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.001667E+03 -8.798869E-02 +/-  2.559171E-04
1.005000E+03 -8.596119E-02 +/-  2.499547E-04
1.008333E+03 -8.477459E-02 +/-  2.453138E-04
1.011667E+03 -8.277883E-02 +/-  2.397344E-04
1.015000E+03 -8.088047E-02 +/-  2.340822E-04
1.018333E+03 -7.976828E-02 +/-  2.300481E-04
1.021667E+03 -7.807258E-02 +/-  2.249290E-04
1.025000E+03 -7.644879E-02 +/-  2.199265E-04
1.028333E+03 -7.485045E-02 +/-  2.152483E-04
1.031667E+03 -7.356890E-02 +/-  2.109413E-04
1.035000E+03 -7.224449E-02 +/-  2.067191E-04
1.038333E+03 -7.066456E-02 +/-  2.021064E-04
1.041667E+03 -6.922435E-02 +/-  1.977504E-04
1.045000E+03 -6.811987E-02 +/-  1.940872E-04
1.048333E+03 -6.663354E-02 +/-  1.896621E-04
1.051667E+03 -6.536352E-02 +/-  1.858269E-04
1.055000E+03 -6.436763E-02 +/-  1.824658E-04
1.058333E+03 -6.276848E-02 +/-  1.779801E-04
1.061667E+03 -6.175414E-02 +/-  1.747333E-04
1.065000E+03 -6.063068E-02 +/-  1.711448E-04
1.068333E+03 -5.929558E-02 +/-  1.674477E-04
1.071667E+03 -5.855689E-02 +/-  1.645936E-04
1.075000E+03 -5.700669E-02 +/-  1.605909E-04
1.078333E+03 -5.588543E-02 +/-  1.571855E-04
1.081667E+03 -5.537732E-02 +/-  1.548282E-04
1.085000E+03 -5.392119E-02 +/-  1.511282E-04
1.088333E+03 -5.290762E-02 +/-  1.480494E-04
1.091667E+03 -5.208409E-02 +/-  1.453681E-04
1.095000E+03 -5.100653E-02 +/-  1.422800E-04
1.098333E+03 -5.020264E-02 +/-  1.396328E-04
1.101667E+03 -4.908431E-02 +/-  1.365387E-04
1.105000E+03 -4.822821E-02 +/-  1.339215E-04
1.108333E+03 -4.748537E-02 +/-  1.315362E-04
1.111667E+03 -4.637141E-02 +/-  1.284319E-04
1.115000E+03 -4.557498E-02 +/-  1.260955E-04
1.118333E+03 -4.500360E-02 +/-  1.240057E-04
1.121667E+03 -4.388645E-02 +/-  1.210692E-04
1.125000E+03 -4.325145E-02 +/-  1.189685E-04
1.128333E+03 -4.236475E-02 +/-  1.164965E-04
1.131667E+03 -4.162083E-02 +/-  1.142453E-04
1.135000E+03 -4.091433E-02 +/-  1.121138E-04
1.138333E+03 -4.002596E-02 +/-  1.096572E-04
1.141667E+03 -3.942819E-02 +/-  1.077441E-04
1.145000E+03 -3.880013E-02 +/-  1.058433E-04
1.148333E+03 -3.806768E-02 +/-  1.036377E-04
1.151667E+03 -3.726299E-02 +/-  1.015053E-04
1.155000E+03 -3.662010E-02 +/-  9.962168E-05
1.158333E+03 -3.606197E-02 +/-  9.779597E-05
1.161667E+03 -3.536444E-02 +/-  9.589876E-05
1.165000E+03 -3.467103E-02 +/-  9.393080E-05
1.168333E+03 -3.416958E-02 +/-  9.232428E-05
1.171667E+03 -3.349080E-02 +/-  9.044526E-05
1.175000E+03 -3.296586E-02 +/-  8.885897E-05
1.178333E+03 -3.236220E-02 +/-  8.710144E-05
1.181667E+03 -3.173569E-02 +/-  8.538862E-05
1.185000E+03 -3.127465E-02 +/-  8.393337E-05
1.188333E+03 -3.066177E-02 +/-  8.222323E-05
1.191667E+03 -3.011667E-02 +/-  8.069337E-05
1.195000E+03 -2.963790E-02 +/-  7.925568E-05
1.198333E+03 -2.910310E-02 +/-  7.772768E-05
1.201667E+03 -2.856430E-02 +/-  7.623590E-05
1.205000E+03 -2.814488E-02 +/-  7.492971E-05
1.208333E+03 -2.762092E-02 +/-  7.348003E-05
1.211667E+03 -2.707999E-02 +/-  7.200722E-05
1.215000E+03 -2.666700E-02 +/-  7.077119E-05
1.218333E+03 -2.625338E-02 +/-  6.951341E-05
1.221667E+03 -2.576343E-02 +/-  6.821774E-05
1.225000E+03 -2.530109E-02 +/-  6.689055E-05
1.228333E+03 -2.490365E-02 +/-  6.573269E-05
1.231667E+03 -2.444096E-02 +/-  6.445618E-05
1.235000E+03 -2.408953E-02 +/-  6.340572E-05
1.238333E+03 -2.359574E-02 +/-  6.210362E-05
1.241667E+03 -2.328395E-02 +/-  6.110002E-05
1.245000E+03 -2.283493E-02 +/-  5.991614E-05
1.248333E+03 -2.246076E-02 +/-  5.884393E-05
1.251667E+03 -2.209125E-02 +/-  5.779528E-05
1.255000E+03 -2.169959E-02 +/-  5.672365E-05
1.258333E+03 -2.135934E-02 +/-  5.573293E-05
1.261667E+03 -2.098204E-02 +/-  5.470359E-05
1.265000E+03 -2.066302E-02 +/-  5.377272E-05
1.268333E+03 -2.027568E-02 +/-  5.273845E-05
1.271667E+03 -1.996508E-02 +/-  5.184344E-05
1.275000E+03 -1.965606E-02 +/-  5.096670E-05
1.278333E+03 -1.930735E-02 +/-  4.999752E-05
1.281667E+03 -1.897080E-02 +/-  4.911986E-05
1.285000E+03 -1.866872E-02 +/-  4.821067E-05
1.288333E+03 -1.835255E-02 +/-  4.739040E-05
1.291667E+03 -1.807503E-02 +/-  4.658672E-05
1.295000E+03 -1.777188E-02 +/-  4.572972E-05
1.298333E+03 -1.748498E-02 +/-  4.495861E-05
1.301667E+03 -1.719408E-02 +/-  4.415313E-05
1.305000E+03 -1.688322E-02 +/-  4.333453E-05
1.308333E+03 -1.661755E-02 +/-  4.259043E-05
1.311667E+03 -1.636996E-02 +/-  4.187979E-05
1.315000E+03 -1.611257E-02 +/-  4.116512E-05
1.318333E+03 -1.583883E-02 +/-  4.043532E-05
1.321667E+03 -1.556711E-02 +/-  3.969118E-05
1.325000E+03 -1.531582E-02 +/-  3.902505E-05
1.328333E+03 -1.511293E-02 +/-  3.841197E-05
1.331667E+03 -1.481132E-02 +/-  3.766091E-05
1.335000E+03 -1.460617E-02 +/-  3.705713E-05
1.338333E+03 -1.437151E-02 +/-  3.641719E-05
1.341667E+03 -1.413333E-02 +/-  3.578277E-05
1.345000E+03 -1.389961E-02 +/-  3.517048E-05
1.348333E+03 -1.367120E-02 +/-  3.453498E-05
1.351667E+03 -1.348848E-02 +/-  3.401113E-05
1.355000E+03 -1.325950E-02 +/-  3.341406E-05
1.358333E+03 -1.305843E-02 +/-  3.284880E-05
1.361667E+03 -1.280899E-02 +/-  3.223765E-05
1.365000E+03 -1.263497E-02 +/-  3.172314E-05
1.368333E+03 -1.247547E-02 +/-  3.125957E-05
1.371667E+03 -1.224085E-02 +/-  3.066278E-05
1.375000E+03 -1.203523E-02 +/-  3.013186E-05
1.378333E+03 -1.186483E-02 +/-  2.965455E-05
1.381667E+03 -1.167358E-02 +/-  2.914831E-05
1.385000E+03 -1.148611E-02 +/-  2.864922E-05
1.388333E+03 -1.133239E-02 +/-  2.821381E-05
1.391667E+03 -1.115658E-02 +/-  2.773805E-05
1.395000E+03 -1.094271E-02 +/-  2.722021E-05
1.398333E+03 -1.078945E-02 +/-  2.678372E-05
1.401667E+03 -1.062480E-02 +/-  2.635236E-05
1.405000E+03 -1.046188E-02 +/-  2.591474E-05
1.408333E+03 -1.031540E-02 +/-  2.550877E-05
1.411667E+03 -1.013272E-02 +/-  2.504760E-05
1.415000E+03 -9.986026E-03 +/-  2.465453E-05
1.418333E+03 -9.820839E-03 +/-  2.422964E-05
1.421667E+03 -9.682951E-03 +/-  2.384888E-05
1.425000E+03 -9.536418E-03 +/-  2.345704E-05
1.428333E+03 -9.384844E-03 +/-  2.306506E-05
1.431667E+03 -9.262221E-03 +/-  2.271844E-05
1.435000E+03 -9.099151E-03 +/-  2.231956E-05
1.438333E+03 -8.939195E-03 +/-  2.192050E-05
1.441667E+03 -8.845162E-03 +/-  2.163118E-05
1.445000E+03 -8.695021E-03 +/-  2.125464E-05
1.448333E+03 -8.556688E-03 +/-  2.089420E-05
1.451667E+03 -8.451273E-03 +/-  2.059221E-05
1.455000E+03 -8.307170E-03 +/-  2.023801E-05
1.458333E+03 -8.167630E-03 +/-  1.989320E-05
1.461667E+03 -8.057443E-03 +/-  1.958494E-05
1.465000E+03 -7.939415E-03 +/-  1.927698E-05
1.468333E+03 -7.819307E-03 +/-  1.897217E-05
1.471667E+03 -7.711239E-03 +/-  1.867244E-05
1.475000E+03 -7.582509E-03 +/-  1.835616E-05
1.478333E+03 -7.462039E-03 +/-  1.805272E-05
1.481667E+03 -7.361344E-03 +/-  1.778167E-05
1.485000E+03 -7.248381E-03 +/-  1.749308E-05
1.488333E+03 -7.157637E-03 +/-  1.723571E-05
1.491667E+03 -7.031550E-03 +/-  1.693698E-05
1.495000E+03 -6.941756E-03 +/-  1.668765E-05
1.498333E+03 -6.835327E-03 +/-  1.642273E-05
1.501667E+03 -6.730865E-03 +/-  1.615710E-05
1.505000E+03 -6.626542E-03 +/-  1.588979E-05
1.508333E+03 -6.532495E-03 +/-  1.564713E-05
1.511667E+03 -6.446050E-03 +/-  1.541443E-05
1.515000E+03 -6.344624E-03 +/-  1.516283E-05
1.518333E+03 -6.244214E-03 +/-  1.491375E-05
1.521667E+03 -6.164739E-03 +/-  1.470148E-05
1.525000E+03 -6.071599E-03 +/-  1.446876E-05
1.528333E+03 -5.981451E-03 +/-  1.423301E-05
1.531667E+03 -5.883047E-03 +/-  1.400041E-05
1.535000E+03 -5.818267E-03 +/-  1.381168E-05
1.538333E+03 -5.721616E-03 +/-  1.358361E-05
1.541667E+03 -5.645046E-03 +/-  1.336976E-05
1.545000E+03 -5.568917E-03 +/-  1.318146E-05
1.548333E+03 -5.471782E-03 +/-  1.295052E-05
1.551667E+03 -5.402649E-03 +/-  1.276690E-05
1.555000E+03 -5.323034E-03 +/-  1.256818E-05
1.558333E+03 -5.247159E-03 +/-  1.237207E-05
1.561667E+03 -5.171243E-03 +/-  1.218470E-05
1.565000E+03 -5.100708E-03 +/-  1.200475E-05
1.568333E+03 -5.024216E-03 +/-  1.180851E-05
1.571667E+03 -4.953271E-03 +/-  1.163406E-05
1.575000E+03 -4.888746E-03 +/-  1.146416E-05
1.578333E+03 -4.804823E-03 +/-  1.127126E-05
1.581667E+03 -4.734845E-03 +/-  1.109676E-05
1.585000E+03 -4.687957E-03 +/-  1.095751E-05
1.588333E+03 -4.604972E-03 +/-  1.076621E-05
1.591667E+03 -4.541841E-03 +/-  1.060801E-05
1.595000E+03 -4.485319E-03 +/-  1.045598E-05
1.598333E+03 -4.421815E-03 +/-  1.030017E-05
1.601667E+03 -4.355201E-03 +/-  1.013545E-05
1.605000E+03 -4.290546E-03 +/-  9.982702E-06
1.608333E+03 -4.226664E-03 +/-  9.826963E-06
1.611667E+03 -4.182332E-03 +/-  9.699509E-06
1.615000E+03 -4.113307E-03 +/-  9.539351E-06
1.618333E+03 -4.054867E-03 +/-  9.395646E-06
1.621667E+03 -4.001216E-03 +/-  9.258973E-06
1.625000E+03 -3.953368E-03 +/-  9.132572E-06
1.628333E+03 -3.892886E-03 +/-  8.989646E-06
1.631667E+03 -3.830784E-03 +/-  8.844954E-06
1.635000E+03 -3.782292E-03 +/-  8.717540E-06
1.638333E+03 -3.730807E-03 +/-  8.592418E-06
1.641667E+03 -3.680797E-03 +/-  8.464881E-06
1.645000E+03 -3.624429E-03 +/-  8.335001E-06
1.648333E+03 -3.578084E-03 +/-  8.215197E-06
1.651667E+03 -3.533929E-03 +/-  8.102468E-06
1.655000E+03 -3.475430E-03 +/-  7.970388E-06
1.658333E+03 -3.426127E-03 +/-  7.848574E-06
1.661667E+03 -3.390512E-03 +/-  7.752620E-06
1.665000E+03 -3.335408E-03 +/-  7.625272E-06
1.668333E+03 -3.296643E-03 +/-  7.524134E-06
1.671667E+03 -3.248821E-03 +/-  7.407512E-06
1.675000E+03 -3.206679E-03 +/-  7.303455E-06
1.678333E+03 -3.157569E-03 +/-  7.190883E-06
1.681667E+03 -3.109162E-03 +/-  7.078590E-06
1.685000E+03 -3.079399E-03 +/-  6.992476E-06
1.688333E+03 -3.024038E-03 +/-  6.873272E-06
1.691667E+03 -2.993457E-03 +/-  6.787244E-06
1.695000E+03 -2.944116E-03 +/-  6.677326E-06
1.698333E+03 -2.916845E-03 +/-  6.598239E-06
1.701667E+03 -2.866778E-03 +/-  6.487348E-06
1.705000E+03 -2.839871E-03 +/-  6.409500E-06
1.708333E+03 -2.788993E-03 +/-  6.301578E-06
1.711667E+03 -2.753966E-03 +/-  6.214507E-06
1.715000E+03 -2.720447E-03 +/-  6.129067E-06
1.718333E+03 -2.684211E-03 +/-  6.042024E-06
1.721667E+03 -2.644680E-03 +/-  5.949514E-06
1.725000E+03 -2.610202E-03 +/-  5.867706E-06
1.728333E+03 -2.577679E-03 +/-  5.786664E-06
1.731667E+03 -2.539357E-03 +/-  5.697729E-06
1.735000E+03 -2.508531E-03 +/-  5.622932E-06
1.738333E+03 -2.475912E-03 +/-  5.541211E-06
1.741667E+03 -2.441616E-03 +/-  5.462129E-06
1.745000E+03 -2.406170E-03 +/-  5.382558E-06
1.748333E+03 -2.378153E-03 +/-  5.307009E-06
1.751667E+03 -2.346822E-03 +/-  5.235268E-06
1.755000E+03 -2.310289E-03 +/-  5.153119E-06
1.758333E+03 -2.285768E-03 +/-  5.087318E-06
1.761667E+03 -2.251644E-03 +/-  5.013399E-06
1.765000E+03 -2.226028E-03 +/-  4.945803E-06
1.768333E+03 -2.191701E-03 +/-  4.870033E-06
1.771667E+03 -2.166216E-03 +/-  4.806420E-06
1.775000E+03 -2.140353E-03 +/-  4.741948E-06
1.778333E+03 -2.107086E-03 +/-  4.669425E-06
1.781667E+03 -2.081597E-03 +/-  4.606166E-06
1.785000E+03 -2.051414E-03 +/-  4.538526E-06
1.788333E+03 -2.023921E-03 +/-  4.474426E-06
1.791667E+03 -2.007430E-03 +/-  4.425137E-06
1.795000E+03 -1.970608E-03 +/-  4.350263E-06
1.798333E+03 -1.949574E-03 +/-  4.295778E-06
1.801667E+03 -1.923761E-03 +/-  4.234136E-06
1.805000E+03 -1.899712E-03 +/-  4.176703E-06
1.808333E+03 -1.873125E-03 +/-  4.118168E-06
1.811667E+03 -1.848078E-03 +/-  4.058700E-06
1.815000E+03 -1.826271E-03 +/-  4.005514E-06
1.818333E+03 -1.803870E-03 +/-  3.952821E-06
1.821667E+03 -1.776706E-03 +/-  3.892071E-06
1.825000E+03 -1.756993E-03 +/-  3.842217E-06
1.828333E+03 -1.732196E-03 +/-  3.788854E-06
1.831667E+03 -1.711108E-03 +/-  3.737846E-06
1.835000E+03 -1.688201E-03 +/-  3.684433E-06
1.838333E+03 -1.665550E-03 +/-  3.632820E-06
1.841667E+03 -1.647925E-03 +/-  3.588300E-06
1.845000E+03 -1.624026E-03 +/-  3.536004E-06
1.848333E+03 -1.602256E-03 +/-  3.486067E-06
1.851667E+03 -1.583374E-03 +/-  3.440727E-06
1.855000E+03 -1.563463E-03 +/-  3.394597E-06
1.858333E+03 -1.539210E-03 +/-  3.341890E-06
1.861667E+03 -1.526876E-03 +/-  3.306507E-06
1.865000E+03 -1.503159E-03 +/-  3.256427E-06
1.868333E+03 -1.486344E-03 +/-  3.214775E-06
1.871667E+03 -1.465389E-03 +/-  3.168855E-06
1.875000E+03 -1.447547E-03 +/-  3.126887E-06
1.878333E+03 -1.427349E-03 +/-  3.082218E-06
1.881667E+03 -1.412249E-03 +/-  3.044393E-06
1.885000E+03 -1.392534E-03 +/-  3.001218E-06
1.888333E+03 -1.376173E-03 +/-  2.962369E-06
1.891667E+03 -1.357123E-03 +/-  2.920432E-06
1.895000E+03 -1.343075E-03 +/-  2.885634E-06
1.898333E+03 -1.321354E-03 +/-  2.839645E-06
1.901667E+03 -1.307559E-03 +/-  2.805421E-06
1.905000E+03 -1.291113E-03 +/-  2.768170E-06
1.908333E+03 -1.276700E-03 +/-  2.734391E-06
1.911667E+03 -1.259252E-03 +/-  2.695154E-06
1.915000E+03 -1.242616E-03 +/-  2.658030E-06
1.918333E+03 -1.226434E-03 +/-  2.622447E-06
1.921667E+03 -1.214458E-03 +/-  2.590725E-06
1.925000E+03 -1.196980E-03 +/-  2.553619E-06
1.928333E+03 -1.182537E-03 +/-  2.520628E-06
1.931667E+03 -1.167262E-03 +/-  2.486619E-06
1.935000E+03 -1.151756E-03 +/-  2.453384E-06
1.938333E+03 -1.139695E-03 +/-  2.422012E-06
1.941667E+03 -1.125149E-03 +/-  2.390015E-06
1.945000E+03 -1.110958E-03 +/-  2.358987E-06
1.948333E+03 -1.097500E-03 +/-  2.327113E-06
1.951667E+03 -1.082948E-03 +/-  2.296600E-06
1.955000E+03 -1.069634E-03 +/-  2.265633E-06
1.958333E+03 -1.058846E-03 +/-  2.238574E-06
1.961667E+03 -1.044047E-03 +/-  2.207944E-06
1.965000E+03 -1.029242E-03 +/-  2.175781E-06
1.968333E+03 -1.018509E-03 +/-  2.149877E-06
1.971667E+03 -1.005281E-03 +/-  2.121377E-06
1.975000E+03 -9.943399E-04 +/-  2.095256E-06
1.978333E+03 -9.808953E-04 +/-  2.066045E-06
1.981667E+03 -9.691829E-04 +/-  2.039496E-06
1.985000E+03 -9.588089E-04 +/-  2.014996E-06
1.988333E+03 -9.451624E-04 +/-  1.986363E-06
1.991667E+03 -9.335949E-04 +/-  1.960310E-06
1.995000E+03 -9.223565E-04 +/-  1.935703E-06
1.998333E+03 -9.123622E-04 +/-  1.911345E-06
