 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.030000E+01 2.336857E+03 +/-  1.084361E+01
2.090000E+01 2.096745E+03 +/-  1.063745E+01
2.150000E+01 1.890017E+03 +/-  1.037760E+01
2.210000E+01 1.706545E+03 +/-  1.002132E+01
2.270000E+01 1.523850E+03 +/-  6.161524E+00
2.330000E+01 1.385250E+03 +/-  6.296361E+00
2.390000E+01 1.269041E+03 +/-  6.879938E+00
2.450000E+01 1.163722E+03 +/-  6.736242E+00
2.510000E+01 1.056490E+03 +/-  5.340751E+00
2.570000E+01 9.603669E+02 +/-  4.509001E+00
2.630000E+01 8.810558E+02 +/-  4.397527E+00
2.690000E+01 8.118251E+02 +/-  4.053107E+00
2.750000E+01 7.464053E+02 +/-  3.854446E+00
2.810000E+01 6.912847E+02 +/-  4.068556E+00
2.870000E+01 6.369290E+02 +/-  3.731906E+00
2.930000E+01 5.885692E+02 +/-  3.141098E+00
2.990000E+01 5.463066E+02 +/-  3.250052E+00
3.050000E+01 5.090733E+02 +/-  3.173579E+00
3.110000E+01 4.726719E+02 +/-  2.854009E+00
3.170000E+01 4.407496E+02 +/-  2.703547E+00
3.230000E+01 4.122284E+02 +/-  2.928238E+00
3.290000E+01 3.807220E+02 +/-  2.268725E+00
3.350000E+01 3.544111E+02 +/-  2.236274E+00
3.410000E+01 3.370780E+02 +/-  2.215849E+00
3.470000E+01 3.154194E+02 +/-  2.243522E+00
3.530000E+01 2.933816E+02 +/-  2.005683E+00
3.590000E+01 2.782219E+02 +/-  2.164984E+00
3.650000E+01 2.590584E+02 +/-  1.873092E+00
3.710000E+01 2.445673E+02 +/-  1.817831E+00
3.770000E+01 2.325234E+02 +/-  1.855135E+00
3.830000E+01 2.176639E+02 +/-  1.642982E+00
3.890000E+01 2.032415E+02 +/-  1.631227E+00
3.950000E+01 1.935661E+02 +/-  1.549168E+00
4.010000E+01 1.817868E+02 +/-  1.510219E+00
4.070000E+01 1.734523E+02 +/-  1.552257E+00
4.130000E+01 1.638654E+02 +/-  1.492932E+00
4.190000E+01 1.557932E+02 +/-  1.419576E+00
4.250000E+01 1.477373E+02 +/-  1.306865E+00
4.310000E+01 1.388795E+02 +/-  1.322297E+00
4.370000E+01 1.311556E+02 +/-  1.265950E+00
4.430000E+01 1.274036E+02 +/-  1.232040E+00
