 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.005000E+02 3.669105E+00 +/-  2.598900E-02
2.015000E+02 3.624400E+00 +/-  2.603184E-02
2.025000E+02 3.552300E+00 +/-  2.522609E-02
2.035000E+02 3.454859E+00 +/-  2.446168E-02
2.045000E+02 3.402912E+00 +/-  2.422322E-02
2.055000E+02 3.335066E+00 +/-  2.361318E-02
2.065000E+02 3.295220E+00 +/-  2.323085E-02
2.075000E+02 3.210168E+00 +/-  2.290221E-02
2.085000E+02 3.110908E+00 +/-  2.191440E-02
2.095000E+02 3.121854E+00 +/-  2.211693E-02
2.105000E+02 3.025919E+00 +/-  2.164087E-02
2.115000E+02 2.936223E+00 +/-  2.083190E-02
2.125000E+02 2.905724E+00 +/-  2.085588E-02
2.135000E+02 2.882009E+00 +/-  2.062431E-02
2.145000E+02 2.795613E+00 +/-  1.987247E-02
2.155000E+02 2.745182E+00 +/-  1.955892E-02
2.165000E+02 2.688777E+00 +/-  1.901018E-02
2.175000E+02 2.622415E+00 +/-  1.881285E-02
2.185000E+02 2.579269E+00 +/-  1.820495E-02
2.195000E+02 2.538499E+00 +/-  1.803714E-02
2.205000E+02 2.499829E+00 +/-  1.799496E-02
2.215000E+02 2.445389E+00 +/-  1.758796E-02
2.225000E+02 2.436900E+00 +/-  1.801707E-02
2.235000E+02 2.353026E+00 +/-  1.714570E-02
2.245000E+02 2.300452E+00 +/-  1.650792E-02
2.255000E+02 2.263568E+00 +/-  1.653293E-02
2.265000E+02 2.256041E+00 +/-  1.643034E-02
2.275000E+02 2.184483E+00 +/-  1.580862E-02
2.285000E+02 2.159699E+00 +/-  1.533135E-02
2.295000E+02 2.130421E+00 +/-  1.574364E-02
2.305000E+02 2.075993E+00 +/-  1.529261E-02
2.315000E+02 2.054941E+00 +/-  1.525177E-02
2.325000E+02 1.996905E+00 +/-  1.471344E-02
2.335000E+02 1.974053E+00 +/-  1.464408E-02
2.345000E+02 1.945805E+00 +/-  1.424157E-02
2.355000E+02 1.892302E+00 +/-  1.403740E-02
2.365000E+02 1.865119E+00 +/-  1.371168E-02
2.375000E+02 1.836580E+00 +/-  1.365113E-02
2.385000E+02 1.817836E+00 +/-  1.370053E-02
2.395000E+02 1.781545E+00 +/-  1.343732E-02
2.405000E+02 1.733033E+00 +/-  1.299500E-02
2.415000E+02 1.720474E+00 +/-  1.297046E-02
2.425000E+02 1.704904E+00 +/-  1.299566E-02
2.435000E+02 1.653883E+00 +/-  1.235334E-02
2.445000E+02 1.625610E+00 +/-  1.215002E-02
2.455000E+02 1.603246E+00 +/-  1.202949E-02
2.465000E+02 1.575855E+00 +/-  1.218355E-02
2.475000E+02 1.559905E+00 +/-  1.200012E-02
2.485000E+02 1.527535E+00 +/-  1.170176E-02
2.495000E+02 1.495637E+00 +/-  1.146781E-02
2.505000E+02 1.476104E+00 +/-  1.135397E-02
2.515000E+02 1.455403E+00 +/-  1.120891E-02
2.525000E+02 1.434097E+00 +/-  1.102593E-02
2.535000E+02 1.404635E+00 +/-  1.099165E-02
2.545000E+02 1.369481E+00 +/-  1.062681E-02
2.555000E+02 1.381011E+00 +/-  1.083796E-02
2.565000E+02 1.334298E+00 +/-  1.044222E-02
2.575000E+02 1.300879E+00 +/-  1.021721E-02
2.585000E+02 1.297902E+00 +/-  1.015460E-02
2.595000E+02 1.274835E+00 +/-  1.007360E-02
2.605000E+02 1.248637E+00 +/-  9.827872E-03
2.615000E+02 1.234867E+00 +/-  9.809841E-03
2.625000E+02 1.227471E+00 +/-  9.694887E-03
2.635000E+02 1.199023E+00 +/-  9.525098E-03
2.645000E+02 1.178852E+00 +/-  9.553172E-03
2.655000E+02 1.169284E+00 +/-  9.428980E-03
2.665000E+02 1.143230E+00 +/-  9.203072E-03
2.675000E+02 1.123857E+00 +/-  9.104410E-03
2.685000E+02 1.115131E+00 +/-  9.053354E-03
2.695000E+02 1.088065E+00 +/-  8.859829E-03
2.705000E+02 1.066867E+00 +/-  8.704605E-03
2.715000E+02 1.061670E+00 +/-  8.648719E-03
2.725000E+02 1.044854E+00 +/-  8.506076E-03
2.735000E+02 1.027766E+00 +/-  8.437046E-03
2.745000E+02 1.013081E+00 +/-  8.394119E-03
2.755000E+02 9.930254E-01 +/-  8.221507E-03
2.765000E+02 9.843633E-01 +/-  8.158992E-03
2.775000E+02 9.565695E-01 +/-  7.990382E-03
2.785000E+02 9.572271E-01 +/-  7.948872E-03
2.795000E+02 9.408448E-01 +/-  7.922355E-03
2.805000E+02 9.251942E-01 +/-  7.818466E-03
2.815000E+02 9.058012E-01 +/-  7.621002E-03
2.825000E+02 8.957955E-01 +/-  7.646224E-03
2.835000E+02 8.874265E-01 +/-  7.518527E-03
2.845000E+02 8.683284E-01 +/-  7.402517E-03
2.855000E+02 8.637788E-01 +/-  7.391177E-03
2.865000E+02 8.395999E-01 +/-  7.207148E-03
2.875000E+02 8.406025E-01 +/-  7.241182E-03
2.885000E+02 8.204213E-01 +/-  7.076796E-03
2.895000E+02 8.038479E-01 +/-  6.944201E-03
2.905000E+02 8.077876E-01 +/-  7.018017E-03
2.915000E+02 7.871515E-01 +/-  6.881692E-03
2.925000E+02 7.891094E-01 +/-  6.807684E-03
2.935000E+02 7.612028E-01 +/-  6.695125E-03
2.945000E+02 7.511286E-01 +/-  6.651801E-03
2.955000E+02 7.397273E-01 +/-  6.578513E-03
2.965000E+02 7.351851E-01 +/-  6.511592E-03
2.975000E+02 7.206534E-01 +/-  6.361334E-03
2.985000E+02 7.159512E-01 +/-  6.375290E-03
2.995000E+02 6.994990E-01 +/-  6.305121E-03
3.005000E+02 7.041092E-01 +/-  6.282922E-03
3.015000E+02 6.778851E-01 +/-  6.125185E-03
3.025000E+02 6.820938E-01 +/-  6.124392E-03
3.035000E+02 6.658843E-01 +/-  6.034316E-03
3.045000E+02 6.582700E-01 +/-  5.967125E-03
3.055000E+02 6.537425E-01 +/-  5.968038E-03
3.065000E+02 6.403446E-01 +/-  5.867706E-03
3.075000E+02 6.326355E-01 +/-  5.821274E-03
3.085000E+02 6.194295E-01 +/-  5.738457E-03
3.095000E+02 6.116158E-01 +/-  5.650228E-03
3.105000E+02 6.149457E-01 +/-  5.669710E-03
3.115000E+02 6.036270E-01 +/-  5.556299E-03
3.125000E+02 5.926468E-01 +/-  5.500928E-03
3.135000E+02 5.726374E-01 +/-  5.442124E-03
3.145000E+02 5.711988E-01 +/-  5.397495E-03
3.155000E+02 5.650748E-01 +/-  5.347815E-03
3.165000E+02 5.591068E-01 +/-  5.311778E-03
3.175000E+02 5.521496E-01 +/-  5.264869E-03
3.185000E+02 5.442560E-01 +/-  5.167630E-03
3.195000E+02 5.427162E-01 +/-  5.120964E-03
3.205000E+02 5.286719E-01 +/-  5.097233E-03
3.215000E+02 5.268711E-01 +/-  5.090113E-03
3.225000E+02 5.172131E-01 +/-  4.983271E-03
3.235000E+02 5.116248E-01 +/-  4.954791E-03
3.245000E+02 5.043257E-01 +/-  4.938565E-03
3.255000E+02 4.905886E-01 +/-  4.851123E-03
3.265000E+02 4.954951E-01 +/-  4.836365E-03
3.275000E+02 4.880029E-01 +/-  4.738914E-03
3.285000E+02 4.774547E-01 +/-  4.684099E-03
3.295000E+02 4.731064E-01 +/-  4.705463E-03
3.305000E+02 4.690169E-01 +/-  4.652771E-03
3.315000E+02 4.584031E-01 +/-  4.580878E-03
3.325000E+02 4.502875E-01 +/-  4.536285E-03
3.335000E+02 4.511897E-01 +/-  4.556743E-03
3.345000E+02 4.466579E-01 +/-  4.501113E-03
3.355000E+02 4.385793E-01 +/-  4.422772E-03
3.365000E+02 4.339413E-01 +/-  4.355020E-03
3.375000E+02 4.331518E-01 +/-  4.329890E-03
3.385000E+02 4.144755E-01 +/-  4.263455E-03
3.395000E+02 4.229864E-01 +/-  4.335898E-03
3.405000E+02 4.123321E-01 +/-  4.257471E-03
3.415000E+02 4.048204E-01 +/-  4.201205E-03
3.425000E+02 4.062817E-01 +/-  4.160552E-03
3.435000E+02 3.953705E-01 +/-  4.146213E-03
3.445000E+02 3.908719E-01 +/-  4.091143E-03
3.455000E+02 3.853972E-01 +/-  4.043191E-03
3.465000E+02 3.859478E-01 +/-  4.003703E-03
3.475000E+02 3.832676E-01 +/-  3.973394E-03
3.485000E+02 3.709936E-01 +/-  3.952162E-03
3.495000E+02 3.741853E-01 +/-  3.971311E-03
3.505000E+02 3.640158E-01 +/-  3.925819E-03
3.515000E+02 3.589813E-01 +/-  3.856044E-03
3.525000E+02 3.561523E-01 +/-  3.810883E-03
3.535000E+02 3.576300E-01 +/-  3.808772E-03
3.545000E+02 3.462955E-01 +/-  3.709844E-03
3.555000E+02 3.461111E-01 +/-  3.759726E-03
3.565000E+02 3.412380E-01 +/-  3.724899E-03
3.575000E+02 3.376349E-01 +/-  3.675082E-03
3.585000E+02 3.311500E-01 +/-  3.623384E-03
3.595000E+02 3.318143E-01 +/-  3.637509E-03
3.605000E+02 3.204589E-01 +/-  3.543624E-03
3.615000E+02 3.190829E-01 +/-  3.517789E-03
3.625000E+02 3.197702E-01 +/-  3.557865E-03
3.635000E+02 3.105465E-01 +/-  3.486349E-03
3.645000E+02 3.098644E-01 +/-  3.460497E-03
3.655000E+02 3.078684E-01 +/-  3.439099E-03
3.665000E+02 3.018575E-01 +/-  3.385616E-03
3.675000E+02 3.035432E-01 +/-  3.361386E-03
3.685000E+02 2.886818E-01 +/-  3.266391E-03
3.695000E+02 2.944007E-01 +/-  3.366597E-03
3.705000E+02 2.895470E-01 +/-  3.308148E-03
3.715000E+02 2.863354E-01 +/-  3.289936E-03
3.725000E+02 2.859549E-01 +/-  3.274592E-03
3.735000E+02 2.817619E-01 +/-  3.232021E-03
3.745000E+02 2.716738E-01 +/-  3.164146E-03
3.755000E+02 2.725225E-01 +/-  3.141168E-03
3.765000E+02 2.697214E-01 +/-  3.154895E-03
3.775000E+02 2.656696E-01 +/-  3.130988E-03
3.785000E+02 2.682735E-01 +/-  3.125207E-03
3.795000E+02 2.612586E-01 +/-  3.066105E-03
3.805000E+02 2.548365E-01 +/-  3.001303E-03
3.815000E+02 2.589115E-01 +/-  3.010791E-03
3.825000E+02 2.556639E-01 +/-  2.967782E-03
3.835000E+02 2.453020E-01 +/-  2.899367E-03
3.845000E+02 2.560802E-01 +/-  2.998311E-03
3.855000E+02 2.446142E-01 +/-  2.961455E-03
3.865000E+02 2.411935E-01 +/-  2.956176E-03
3.875000E+02 2.399642E-01 +/-  2.923462E-03
3.885000E+02 2.380819E-01 +/-  2.888476E-03
3.895000E+02 2.315353E-01 +/-  2.832107E-03
3.905000E+02 2.306608E-01 +/-  2.806071E-03
3.915000E+02 2.320143E-01 +/-  2.800497E-03
3.925000E+02 2.265711E-01 +/-  2.753060E-03
3.935000E+02 2.227988E-01 +/-  2.785747E-03
3.945000E+02 2.253516E-01 +/-  2.777011E-03
3.955000E+02 2.208770E-01 +/-  2.740299E-03
3.965000E+02 2.174059E-01 +/-  2.696050E-03
3.975000E+02 2.141880E-01 +/-  2.657997E-03
3.985000E+02 2.141904E-01 +/-  2.648728E-03
3.995000E+02 2.078863E-01 +/-  2.625124E-03
4.005000E+02 2.115374E-01 +/-  2.631352E-03
4.015000E+02 2.040481E-01 +/-  2.570666E-03
4.025000E+02 2.046311E-01 +/-  2.551756E-03
4.035000E+02 1.992725E-01 +/-  2.507991E-03
4.045000E+02 1.974367E-01 +/-  2.506493E-03
4.055000E+02 2.002612E-01 +/-  2.578723E-03
4.065000E+02 1.967209E-01 +/-  2.535485E-03
4.075000E+02 1.934161E-01 +/-  2.504028E-03
4.085000E+02 1.921899E-01 +/-  2.486388E-03
4.095000E+02 1.952637E-01 +/-  2.488607E-03
4.105000E+02 1.880727E-01 +/-  2.425629E-03
4.115000E+02 1.834680E-01 +/-  2.377183E-03
4.125000E+02 1.856809E-01 +/-  2.438439E-03
4.135000E+02 1.805340E-01 +/-  2.405609E-03
4.145000E+02 1.783238E-01 +/-  2.374242E-03
4.155000E+02 1.777934E-01 +/-  2.396954E-03
4.165000E+02 1.771315E-01 +/-  2.374799E-03
4.175000E+02 1.728151E-01 +/-  2.332615E-03
4.185000E+02 1.752680E-01 +/-  2.340566E-03
4.195000E+02 1.733674E-01 +/-  2.306407E-03
4.205000E+02 1.724479E-01 +/-  2.291383E-03
4.215000E+02 1.675619E-01 +/-  2.242172E-03
4.225000E+02 1.682362E-01 +/-  2.232753E-03
4.235000E+02 1.668557E-01 +/-  2.225339E-03
4.245000E+02 1.610277E-01 +/-  2.164653E-03
4.255000E+02 1.584501E-01 +/-  2.127018E-03
4.265000E+02 1.585108E-01 +/-  2.115196E-03
4.275000E+02 1.568206E-01 +/-  2.094838E-03
4.285000E+02 1.579715E-01 +/-  2.102710E-03
4.295000E+02 1.545423E-01 +/-  2.169440E-03
4.305000E+02 1.525831E-01 +/-  2.137553E-03
4.315000E+02 1.548238E-01 +/-  2.147208E-03
4.325000E+02 1.526642E-01 +/-  2.118659E-03
4.335000E+02 1.514297E-01 +/-  2.138331E-03
4.345000E+02 1.469058E-01 +/-  2.085996E-03
4.355000E+02 1.465740E-01 +/-  2.095107E-03
4.365000E+02 1.459847E-01 +/-  2.144028E-03
4.375000E+02 1.440674E-01 +/-  2.105425E-03
4.385000E+02 1.405561E-01 +/-  2.069274E-03
4.395000E+02 1.372206E-01 +/-  2.020341E-03
4.405000E+02 1.395896E-01 +/-  2.033574E-03
4.415000E+02 1.411421E-01 +/-  2.038596E-03
4.425000E+02 1.360531E-01 +/-  1.982880E-03
4.435000E+02 1.346584E-01 +/-  1.971146E-03
4.445000E+02 1.341919E-01 +/-  1.959739E-03
4.455000E+02 1.337712E-01 +/-  1.938599E-03
4.465000E+02 1.291976E-01 +/-  1.890695E-03
4.475000E+02 1.324443E-01 +/-  1.909778E-03
4.485000E+02 1.282747E-01 +/-  1.877250E-03
4.495000E+02 1.305617E-01 +/-  1.884639E-03
4.505000E+02 1.260285E-01 +/-  1.830285E-03
4.515000E+02 1.235225E-01 +/-  1.789686E-03
4.525000E+02 1.264635E-01 +/-  1.808297E-03
4.535000E+02 1.238115E-01 +/-  1.823676E-03
4.545000E+02 1.252364E-01 +/-  1.810610E-03
4.555000E+02 1.204904E-01 +/-  1.771883E-03
4.565000E+02 1.198475E-01 +/-  1.759732E-03
4.575000E+02 1.179885E-01 +/-  1.733926E-03
4.585000E+02 1.168178E-01 +/-  1.716512E-03
4.595000E+02 1.187354E-01 +/-  1.721609E-03
4.605000E+02 1.157172E-01 +/-  1.742551E-03
4.615000E+02 1.119094E-01 +/-  1.728335E-03
4.625000E+02 1.143658E-01 +/-  1.747815E-03
4.635000E+02 1.118134E-01 +/-  1.717922E-03
4.645000E+02 1.124563E-01 +/-  1.705565E-03
4.655000E+02 1.092960E-01 +/-  1.726325E-03
4.665000E+02 1.092670E-01 +/-  1.735351E-03
4.675000E+02 1.065142E-01 +/-  1.683605E-03
4.685000E+02 1.079586E-01 +/-  1.704329E-03
4.695000E+02 1.056866E-01 +/-  1.667552E-03
4.705000E+02 1.018491E-01 +/-  1.613523E-03
4.715000E+02 1.037193E-01 +/-  1.642044E-03
4.725000E+02 1.050335E-01 +/-  1.651643E-03
4.735000E+02 1.023262E-01 +/-  1.601416E-03
4.745000E+02 1.013647E-01 +/-  1.598811E-03
4.755000E+02 1.010451E-01 +/-  1.602338E-03
4.765000E+02 9.895545E-02 +/-  1.574879E-03
4.775000E+02 1.009552E-01 +/-  1.606683E-03
4.785000E+02 9.878260E-02 +/-  1.564802E-03
4.795000E+02 9.658635E-02 +/-  1.539721E-03
4.805000E+02 9.420110E-02 +/-  1.510933E-03
4.815000E+02 9.566405E-02 +/-  1.520122E-03
4.825000E+02 9.363794E-02 +/-  1.485856E-03
4.835000E+02 9.300845E-02 +/-  1.471604E-03
4.845000E+02 9.151539E-02 +/-  1.454256E-03
4.855000E+02 9.366294E-02 +/-  1.473939E-03
4.865000E+02 9.117449E-02 +/-  1.437774E-03
4.875000E+02 8.982476E-02 +/-  1.418074E-03
4.885000E+02 9.140912E-02 +/-  1.429946E-03
4.895000E+02 9.251262E-02 +/-  1.442496E-03
4.905000E+02 8.926887E-02 +/-  1.404757E-03
4.915000E+02 8.698604E-02 +/-  1.371242E-03
4.925000E+02 8.498479E-02 +/-  1.349901E-03
4.935000E+02 8.500901E-02 +/-  1.341166E-03
4.945000E+02 8.430122E-02 +/-  1.318328E-03
4.955000E+02 8.404699E-02 +/-  1.316630E-03
4.965000E+02 8.301817E-02 +/-  1.305486E-03
4.975000E+02 8.414775E-02 +/-  1.314043E-03
4.985000E+02 8.119389E-02 +/-  1.272528E-03
4.995000E+02 8.170582E-02 +/-  1.273105E-03
