 u,U -> e,E
x-axis: "Mass{p3+p4}]"  from 20.000000 to 400.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.063333E+01 7.540720E+00 +/-  2.048856E-01
2.190000E+01 7.772158E+00 +/-  2.050005E-01
2.316667E+01 7.554964E+00 +/-  1.963419E-01
2.443333E+01 8.225096E+00 +/-  2.040958E-01
2.570000E+01 8.087247E+00 +/-  1.987528E-01
2.696667E+01 8.164078E+00 +/-  1.959481E-01
2.823333E+01 8.864330E+00 +/-  2.036580E-01
2.950000E+01 8.610502E+00 +/-  1.978646E-01
3.076667E+01 8.815359E+00 +/-  1.969931E-01
3.203333E+01 9.399360E+00 +/-  2.008594E-01
3.330000E+01 9.643655E+00 +/-  2.023007E-01
3.456667E+01 9.817915E+00 +/-  2.047053E-01
3.583333E+01 9.857638E+00 +/-  2.041716E-01
3.710000E+01 1.052085E+01 +/-  2.100590E-01
3.836667E+01 1.013491E+01 +/-  2.029265E-01
3.963333E+01 1.067922E+01 +/-  2.091651E-01
4.090000E+01 1.093537E+01 +/-  2.110270E-01
4.216667E+01 1.170497E+01 +/-  2.209139E-01
4.343333E+01 1.174296E+01 +/-  2.200700E-01
4.470000E+01 1.296581E+01 +/-  2.341522E-01
4.596667E+01 1.275331E+01 +/-  2.301779E-01
4.723333E+01 1.337240E+01 +/-  2.389559E-01
4.850000E+01 1.401988E+01 +/-  2.467610E-01
4.976667E+01 1.433839E+01 +/-  2.504918E-01
5.103333E+01 1.546216E+01 +/-  2.654670E-01
5.230000E+01 1.601643E+01 +/-  2.698883E-01
5.356667E+01 1.671518E+01 +/-  2.802531E-01
5.483333E+01 1.782709E+01 +/-  2.916470E-01
5.610000E+01 1.910523E+01 +/-  2.947066E-01
5.736667E+01 1.955033E+01 +/-  3.009996E-01
5.863333E+01 2.079629E+01 +/-  3.051418E-01
5.990000E+01 2.276492E+01 +/-  3.176231E-01
6.116667E+01 2.359022E+01 +/-  3.264045E-01
6.243333E+01 2.521090E+01 +/-  3.298361E-01
6.370000E+01 2.709436E+01 +/-  3.299542E-01
6.496667E+01 3.046421E+01 +/-  3.657594E-01
6.623333E+01 3.176954E+01 +/-  3.648902E-01
6.750000E+01 3.479988E+01 +/-  3.573752E-01
6.876667E+01 3.875457E+01 +/-  3.998769E-01
7.003333E+01 4.244500E+01 +/-  4.353130E-01
7.130000E+01 4.762762E+01 +/-  4.799051E-01
7.256667E+01 5.359415E+01 +/-  5.256476E-01
7.383333E+01 6.105833E+01 +/-  5.914346E-01
7.510000E+01 6.959367E+01 +/-  6.694247E-01
7.636667E+01 8.106188E+01 +/-  7.670542E-01
7.763333E+01 9.516950E+01 +/-  8.623653E-01
7.890000E+01 1.147177E+02 +/-  1.041804E+00
8.016667E+01 1.393159E+02 +/-  1.204260E+00
8.143333E+01 1.740230E+02 +/-  1.507540E+00
8.270000E+01 2.247164E+02 +/-  1.878288E+00
8.396667E+01 3.034600E+02 +/-  2.414473E+00
8.523333E+01 4.376248E+02 +/-  3.465443E+00
8.650000E+01 6.849347E+02 +/-  5.330337E+00
8.776667E+01 1.219562E+03 +/-  9.384894E+00
8.903333E+01 2.600021E+03 +/-  1.923889E+01
9.030000E+01 6.762532E+03 +/-  5.072490E+01
9.156667E+01 8.665946E+03 +/-  6.132798E+01
9.283333E+01 3.724951E+03 +/-  2.742447E+01
9.410000E+01 1.524326E+03 +/-  1.154109E+01
9.536667E+01 7.783210E+02 +/-  5.687812E+00
9.663333E+01 4.629163E+02 +/-  3.508495E+00
9.790000E+01 3.035245E+02 +/-  2.305998E+00
9.916667E+01 2.109529E+02 +/-  1.619097E+00
1.004333E+02 1.563087E+02 +/-  1.240952E+00
1.017000E+02 1.202312E+02 +/-  9.487526E-01
1.029667E+02 9.373060E+01 +/-  7.484006E-01
1.042333E+02 7.650992E+01 +/-  7.335532E-01
1.055000E+02 6.192892E+01 +/-  5.958268E-01
1.067667E+02 5.263200E+01 +/-  5.030354E-01
1.080333E+02 4.410189E+01 +/-  4.218019E-01
1.093000E+02 3.801121E+01 +/-  3.633024E-01
1.105667E+02 3.191539E+01 +/-  3.623528E-01
1.118333E+02 2.856638E+01 +/-  3.238027E-01
1.131000E+02 2.478331E+01 +/-  2.865256E-01
1.143667E+02 2.172914E+01 +/-  2.727805E-01
1.156333E+02 1.950000E+01 +/-  2.440404E-01
1.169000E+02 1.733253E+01 +/-  2.160735E-01
1.181667E+02 1.539792E+01 +/-  1.909026E-01
1.194333E+02 1.398437E+01 +/-  1.809329E-01
1.207000E+02 1.277269E+01 +/-  1.670971E-01
1.219667E+02 1.149410E+01 +/-  1.491520E-01
1.232333E+02 1.053081E+01 +/-  3.308439E-01
1.245000E+02 9.506214E+00 +/-  3.070374E-01
1.257667E+02 8.750150E+00 +/-  2.913307E-01
1.270333E+02 8.478215E+00 +/-  2.839611E-01
1.283000E+02 7.342385E+00 +/-  2.347279E-01
1.295667E+02 7.125168E+00 +/-  2.357820E-01
1.308333E+02 6.555094E+00 +/-  2.195458E-01
1.321000E+02 5.812877E+00 +/-  1.947984E-01
1.333667E+02 5.537157E+00 +/-  1.804902E-01
1.346333E+02 4.928596E+00 +/-  1.590583E-01
1.359000E+02 4.895872E+00 +/-  1.646585E-01
1.371667E+02 4.773410E+00 +/-  1.713537E-01
1.384333E+02 4.224520E+00 +/-  1.605752E-01
1.397000E+02 3.798998E+00 +/-  1.622322E-01
1.409667E+02 3.448679E+00 +/-  1.505242E-01
1.422333E+02 3.483142E+00 +/-  1.470475E-01
1.435000E+02 3.440068E+00 +/-  1.456918E-01
1.447667E+02 3.050401E+00 +/-  1.293495E-01
1.460333E+02 3.010667E+00 +/-  1.278622E-01
1.473000E+02 2.598923E+00 +/-  1.095607E-01
1.485667E+02 2.537689E+00 +/-  1.070601E-01
1.498333E+02 2.401122E+00 +/-  9.767919E-02
1.511000E+02 2.142040E+00 +/-  8.707091E-02
1.523667E+02 2.219148E+00 +/-  9.193513E-02
1.536333E+02 2.010744E+00 +/-  8.033892E-02
1.549000E+02 1.991970E+00 +/-  8.189758E-02
1.561667E+02 1.886879E+00 +/-  7.500985E-02
1.574333E+02 1.758019E+00 +/-  7.281185E-02
1.587000E+02 1.682192E+00 +/-  6.763490E-02
1.599667E+02 1.673640E+00 +/-  6.778935E-02
