 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.030000E+01 2.481800E-01 +/-  3.955197E-03
2.090000E+01 2.516686E-01 +/-  4.011361E-03
2.150000E+01 2.539086E-01 +/-  4.038033E-03
2.210000E+01 2.552042E-01 +/-  3.850299E-03
2.270000E+01 2.566850E-01 +/-  3.860378E-03
2.330000E+01 2.628400E-01 +/-  3.932746E-03
2.390000E+01 2.623167E-01 +/-  3.892696E-03
2.450000E+01 2.634027E-01 +/-  3.798246E-03
2.510000E+01 2.741496E-01 +/-  3.947400E-03
2.570000E+01 2.702055E-01 +/-  3.823916E-03
2.630000E+01 2.713008E-01 +/-  3.701917E-03
2.690000E+01 2.713896E-01 +/-  3.893291E-03
2.750000E+01 2.770572E-01 +/-  3.817271E-03
2.810000E+01 2.877087E-01 +/-  3.906641E-03
2.870000E+01 2.858516E-01 +/-  3.808532E-03
2.930000E+01 2.882970E-01 +/-  3.898559E-03
2.990000E+01 2.917608E-01 +/-  3.938592E-03
3.050000E+01 3.011577E-01 +/-  3.973754E-03
3.110000E+01 3.003914E-01 +/-  4.018927E-03
3.170000E+01 2.986556E-01 +/-  3.855218E-03
3.230000E+01 3.078228E-01 +/-  3.994855E-03
3.290000E+01 3.054166E-01 +/-  3.877337E-03
3.350000E+01 3.144709E-01 +/-  4.063129E-03
3.410000E+01 3.169188E-01 +/-  3.954672E-03
3.470000E+01 3.242854E-01 +/-  4.032368E-03
3.530000E+01 3.238326E-01 +/-  3.968132E-03
3.590000E+01 3.352833E-01 +/-  4.115378E-03
3.650000E+01 3.370707E-01 +/-  4.049608E-03
3.710000E+01 3.316641E-01 +/-  3.950584E-03
3.770000E+01 3.449315E-01 +/-  4.136870E-03
3.830000E+01 3.427697E-01 +/-  4.008766E-03
3.890000E+01 3.519450E-01 +/-  4.085562E-03
3.950000E+01 3.493124E-01 +/-  4.042478E-03
4.010000E+01 3.609934E-01 +/-  4.167342E-03
4.070000E+01 3.673298E-01 +/-  4.159750E-03
4.130000E+01 3.686607E-01 +/-  4.218646E-03
4.190000E+01 3.819122E-01 +/-  4.284962E-03
4.250000E+01 3.824850E-01 +/-  4.267729E-03
4.310000E+01 3.902978E-01 +/-  4.305812E-03
4.370000E+01 3.968319E-01 +/-  4.420941E-03
4.430000E+01 4.056396E-01 +/-  4.454566E-03
4.490000E+01 4.148985E-01 +/-  4.513241E-03
4.550000E+01 4.168553E-01 +/-  4.480006E-03
4.610000E+01 4.160852E-01 +/-  4.647589E-03
4.670000E+01 4.376861E-01 +/-  4.601100E-03
4.730000E+01 4.472932E-01 +/-  4.747673E-03
4.790000E+01 4.439874E-01 +/-  4.697872E-03
4.850000E+01 4.677396E-01 +/-  4.880299E-03
4.910000E+01 4.716082E-01 +/-  4.921334E-03
4.970000E+01 4.850052E-01 +/-  4.995493E-03
5.030000E+01 4.990592E-01 +/-  5.208196E-03
5.090000E+01 4.984675E-01 +/-  4.995650E-03
5.150000E+01 5.139111E-01 +/-  5.281259E-03
5.210000E+01 5.211230E-01 +/-  5.291381E-03
5.270000E+01 5.275243E-01 +/-  5.275015E-03
5.330000E+01 5.505788E-01 +/-  5.512146E-03
5.390000E+01 5.614162E-01 +/-  5.592547E-03
5.450000E+01 5.734590E-01 +/-  5.613191E-03
5.510000E+01 5.916655E-01 +/-  5.922206E-03
5.570000E+01 6.133221E-01 +/-  6.080207E-03
5.630000E+01 6.150803E-01 +/-  5.797169E-03
5.690000E+01 6.387848E-01 +/-  6.240413E-03
5.750000E+01 6.531266E-01 +/-  6.253278E-03
5.810000E+01 6.739898E-01 +/-  6.374312E-03
5.870000E+01 6.882355E-01 +/-  6.412837E-03
5.930000E+01 7.205167E-01 +/-  6.877940E-03
5.990000E+01 7.360574E-01 +/-  6.906634E-03
6.050000E+01 7.670664E-01 +/-  6.984268E-03
6.110000E+01 7.824250E-01 +/-  6.966728E-03
6.170000E+01 8.111030E-01 +/-  7.238050E-03
6.230000E+01 8.324521E-01 +/-  7.421075E-03
6.290000E+01 8.596111E-01 +/-  7.458605E-03
6.350000E+01 8.794594E-01 +/-  7.557333E-03
6.410000E+01 9.249218E-01 +/-  8.035078E-03
6.470000E+01 9.665094E-01 +/-  8.232627E-03
6.530000E+01 1.018669E+00 +/-  8.801781E-03
6.590000E+01 1.043461E+00 +/-  8.838797E-03
6.650000E+01 1.088827E+00 +/-  9.061528E-03
6.710000E+01 1.160793E+00 +/-  9.706849E-03
6.770000E+01 1.185215E+00 +/-  9.956093E-03
6.830000E+01 1.213634E+00 +/-  9.808857E-03
6.890000E+01 1.287260E+00 +/-  1.040492E-02
6.950000E+01 1.345744E+00 +/-  1.091779E-02
7.010000E+01 1.435002E+00 +/-  1.170970E-02
7.070000E+01 1.490994E+00 +/-  1.212234E-02
7.130000E+01 1.557084E+00 +/-  1.237670E-02
7.190000E+01 1.657604E+00 +/-  1.354906E-02
7.250000E+01 1.761824E+00 +/-  1.430127E-02
7.310000E+01 1.857370E+00 +/-  1.493525E-02
7.370000E+01 1.975104E+00 +/-  1.596898E-02
7.430000E+01 2.094052E+00 +/-  1.642355E-02
7.490000E+01 2.270919E+00 +/-  1.808573E-02
7.550000E+01 2.422041E+00 +/-  1.813313E-02
7.610000E+01 2.584280E+00 +/-  1.976857E-02
7.670000E+01 2.746813E+00 +/-  2.001961E-02
7.730000E+01 2.969319E+00 +/-  2.195284E-02
7.790000E+01 3.231084E+00 +/-  2.397741E-02
7.850000E+01 3.529847E+00 +/-  2.607574E-02
7.910000E+01 3.818931E+00 +/-  2.741890E-02
7.970000E+01 4.249888E+00 +/-  3.061124E-02
8.030000E+01 4.672331E+00 +/-  3.377687E-02
8.090000E+01 5.193801E+00 +/-  3.725034E-02
8.150000E+01 5.895730E+00 +/-  4.231915E-02
8.210000E+01 6.526906E+00 +/-  4.600465E-02
8.270000E+01 7.434193E+00 +/-  5.107728E-02
8.330000E+01 8.524215E+00 +/-  5.770825E-02
8.390000E+01 9.805362E+00 +/-  6.513506E-02
8.450000E+01 1.158634E+01 +/-  7.851806E-02
8.510000E+01 1.378117E+01 +/-  8.967651E-02
8.570000E+01 1.666059E+01 +/-  1.098235E-01
8.630000E+01 2.050919E+01 +/-  1.321885E-01
8.690000E+01 2.628982E+01 +/-  1.705717E-01
8.750000E+01 3.438032E+01 +/-  2.225523E-01
8.810000E+01 4.706001E+01 +/-  3.051147E-01
8.870000E+01 6.690232E+01 +/-  4.177581E-01
8.930000E+01 1.005313E+02 +/-  6.322032E-01
8.990000E+01 1.606674E+02 +/-  1.011770E+00
9.050000E+01 2.510628E+02 +/-  1.513837E+00
9.110000E+01 3.249376E+02 +/-  2.013390E+00
9.170000E+01 2.845509E+02 +/-  1.817822E+00
9.230000E+01 1.829225E+02 +/-  1.163619E+00
9.290000E+01 1.126875E+02 +/-  7.124032E-01
9.350000E+01 7.179332E+01 +/-  4.460525E-01
