 u,U -> e,E
x-axis: "Mass{p3+p4}]"  from 10.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.031667E+01 1.122776E+03 +/-  1.585881E+01
1.095000E+01 8.804242E+02 +/-  1.201622E+01
1.158333E+01 7.054692E+02 +/-  9.367198E+00
1.221667E+01 5.750636E+02 +/-  7.239875E+00
1.285000E+01 4.683652E+02 +/-  5.803975E+00
1.348333E+01 3.887433E+02 +/-  4.867624E+00
1.411667E+01 3.263528E+02 +/-  3.946646E+00
1.475000E+01 2.692791E+02 +/-  3.070009E+00
1.538333E+01 2.335668E+02 +/-  2.747180E+00
1.601667E+01 1.998167E+02 +/-  2.295499E+00
1.665000E+01 1.680668E+02 +/-  1.865306E+00
1.728333E+01 1.487290E+02 +/-  1.690396E+00
1.791667E+01 1.301852E+02 +/-  1.458772E+00
1.855000E+01 1.109401E+02 +/-  1.169857E+00
1.918333E+01 9.673324E+01 +/-  1.021358E+00
1.981667E+01 8.756250E+01 +/-  9.522812E-01
2.045000E+01 7.657061E+01 +/-  8.176000E-01
2.108333E+01 6.758687E+01 +/-  7.180700E-01
2.171667E+01 6.028859E+01 +/-  6.306552E-01
2.235000E+01 5.466345E+01 +/-  5.803701E-01
2.298333E+01 4.820197E+01 +/-  4.997069E-01
2.361667E+01 4.344778E+01 +/-  4.402588E-01
2.425000E+01 3.853876E+01 +/-  3.853344E-01
2.488333E+01 3.478237E+01 +/-  3.501700E-01
2.551667E+01 3.200975E+01 +/-  3.203670E-01
2.615000E+01 2.936097E+01 +/-  2.987659E-01
2.678333E+01 2.649559E+01 +/-  2.683812E-01
2.741667E+01 2.412334E+01 +/-  2.462326E-01
2.805000E+01 2.203985E+01 +/-  2.202882E-01
2.868333E+01 2.003870E+01 +/-  1.978429E-01
2.931667E+01 1.846009E+01 +/-  1.921750E-01
2.995000E+01 1.714712E+01 +/-  1.796073E-01
3.058333E+01 1.571844E+01 +/-  1.624850E-01
3.121667E+01 1.477378E+01 +/-  1.531320E-01
3.185000E+01 1.336255E+01 +/-  1.367640E-01
3.248333E+01 1.226795E+01 +/-  1.248068E-01
3.311667E+01 1.140816E+01 +/-  1.151262E-01
3.375000E+01 1.049777E+01 +/-  1.056232E-01
3.438333E+01 1.009282E+01 +/-  1.001690E-01
3.501667E+01 9.269281E+00 +/-  9.862382E-02
3.565000E+01 8.679682E+00 +/-  9.322700E-02
3.628333E+01 7.992626E+00 +/-  8.401848E-02
3.691667E+01 7.242588E+00 +/-  7.819641E-02
3.755000E+01 6.966719E+00 +/-  7.487238E-02
3.818333E+01 6.552077E+00 +/-  6.956327E-02
3.881667E+01 6.269247E+00 +/-  6.673002E-02
3.945000E+01 5.765878E+00 +/-  6.169458E-02
4.008333E+01 5.506040E+00 +/-  5.890228E-02
4.071667E+01 5.029797E+00 +/-  5.519804E-02
4.135000E+01 4.838745E+00 +/-  5.517960E-02
4.198333E+01 4.583152E+00 +/-  5.782931E-02
4.261667E+01 4.373600E+00 +/-  7.479581E-02
4.325000E+01 4.090827E+00 +/-  7.873737E-02
4.388333E+01 3.938900E+00 +/-  8.231953E-02
4.451667E+01 3.554715E+00 +/-  7.445120E-02
4.515000E+01 3.425591E+00 +/-  7.141446E-02
4.578333E+01 3.060938E+00 +/-  6.578874E-02
4.641667E+01 3.063341E+00 +/-  6.611487E-02
4.705000E+01 2.932192E+00 +/-  6.341241E-02
4.768333E+01 2.797157E+00 +/-  6.026737E-02
4.831667E+01 2.682726E+00 +/-  5.733807E-02
4.895000E+01 2.578879E+00 +/-  5.425495E-02
4.958333E+01 2.405816E+00 +/-  5.051096E-02
5.021667E+01 2.349468E+00 +/-  4.967875E-02
5.085000E+01 2.181780E+00 +/-  4.552710E-02
5.148333E+01 2.144663E+00 +/-  4.557154E-02
5.211667E+01 2.040926E+00 +/-  4.252906E-02
5.275000E+01 1.921128E+00 +/-  4.006749E-02
5.338333E+01 1.881058E+00 +/-  3.945745E-02
5.401667E+01 1.754798E+00 +/-  3.681440E-02
5.465000E+01 1.680427E+00 +/-  3.536254E-02
5.528333E+01 1.604490E+00 +/-  3.307536E-02
5.591667E+01 1.610343E+00 +/-  3.312202E-02
5.655000E+01 1.469001E+00 +/-  3.126827E-02
5.718333E+01 1.456616E+00 +/-  3.097241E-02
5.781667E+01 1.386507E+00 +/-  3.072146E-02
5.845000E+01 1.385383E+00 +/-  3.067850E-02
5.908333E+01 1.317726E+00 +/-  2.952662E-02
5.971667E+01 1.225926E+00 +/-  2.787872E-02
6.035000E+01 1.261375E+00 +/-  2.793352E-02
6.098333E+01 1.266381E+00 +/-  2.750756E-02
6.161667E+01 1.140872E+00 +/-  2.552107E-02
6.225000E+01 1.169289E+00 +/-  2.607342E-02
6.288333E+01 1.123946E+00 +/-  2.501035E-02
6.351667E+01 1.083748E+00 +/-  2.423888E-02
6.415000E+01 1.050711E+00 +/-  2.351906E-02
6.478333E+01 1.045975E+00 +/-  2.328432E-02
6.541667E+01 1.014609E+00 +/-  2.270050E-02
6.605000E+01 9.801491E-01 +/-  2.214246E-02
6.668333E+01 9.643471E-01 +/-  2.187995E-02
6.731667E+01 9.769821E-01 +/-  2.197025E-02
6.795000E+01 9.626719E-01 +/-  2.175102E-02
6.858333E+01 9.742798E-01 +/-  2.157578E-02
6.921667E+01 9.333586E-01 +/-  2.117667E-02
6.985000E+01 9.546136E-01 +/-  2.140688E-02
7.048333E+01 9.326127E-01 +/-  2.114424E-02
7.111667E+01 9.322952E-01 +/-  2.109479E-02
7.175000E+01 9.600063E-01 +/-  2.135355E-02
7.238333E+01 9.860610E-01 +/-  2.150999E-02
7.301667E+01 9.705291E-01 +/-  2.088754E-02
7.365000E+01 9.867665E-01 +/-  2.077528E-02
7.428333E+01 1.019871E+00 +/-  2.092324E-02
7.491667E+01 1.019242E+00 +/-  2.112425E-02
7.555000E+01 1.100471E+00 +/-  2.251662E-02
7.618333E+01 1.082145E+00 +/-  2.235367E-02
7.681667E+01 1.126275E+00 +/-  2.248056E-02
7.745000E+01 1.157309E+00 +/-  2.307724E-02
7.808333E+01 1.259265E+00 +/-  2.450456E-02
7.871667E+01 1.338668E+00 +/-  2.432861E-02
7.935000E+01 1.409926E+00 +/-  2.488930E-02
7.998333E+01 1.530279E+00 +/-  2.416612E-02
8.061667E+01 1.640111E+00 +/-  2.361576E-02
8.125000E+01 1.772111E+00 +/-  2.509008E-02
8.188333E+01 2.019792E+00 +/-  2.785648E-02
8.251667E+01 2.185959E+00 +/-  3.004558E-02
8.315000E+01 2.540180E+00 +/-  3.379981E-02
8.378333E+01 2.863300E+00 +/-  3.796119E-02
8.441667E+01 3.349724E+00 +/-  4.346408E-02
8.505000E+01 3.834876E+00 +/-  4.979702E-02
8.568333E+01 4.689344E+00 +/-  5.830706E-02
8.631667E+01 5.766437E+00 +/-  6.903314E-02
8.695000E+01 7.465416E+00 +/-  8.097065E-02
8.758333E+01 9.900423E+00 +/-  9.314814E-02
8.821667E+01 1.372505E+01 +/-  1.289917E-01
8.885000E+01 2.013291E+01 +/-  1.666951E-01
8.948333E+01 3.147383E+01 +/-  2.551623E-01
9.011667E+01 5.241639E+01 +/-  4.218993E-01
9.075000E+01 8.032814E+01 +/-  6.442904E-01
9.138333E+01 8.689682E+01 +/-  6.963901E-01
9.201667E+01 6.259260E+01 +/-  5.060194E-01
9.265000E+01 3.771575E+01 +/-  3.069767E-01
9.328333E+01 2.349212E+01 +/-  2.006741E-01
9.391667E+01 1.504391E+01 +/-  1.295744E-01
9.455000E+01 1.041791E+01 +/-  9.788850E-02
9.518333E+01 7.734882E+00 +/-  7.579184E-02
9.581667E+01 5.900038E+00 +/-  5.906976E-02
9.645000E+01 4.589384E+00 +/-  4.641109E-02
9.708333E+01 3.596826E+00 +/-  8.315323E-02
9.771667E+01 3.072043E+00 +/-  8.613468E-02
9.835000E+01 2.465935E+00 +/-  6.154755E-02
9.898333E+01 2.188312E+00 +/-  6.034371E-02
9.961667E+01 1.861311E+00 +/-  5.047699E-02
1.002500E+02 1.626699E+00 +/-  4.188160E-02
1.008833E+02 1.343339E+00 +/-  4.887202E-02
1.015167E+02 1.291511E+00 +/-  5.026382E-02
1.021500E+02 1.117273E+00 +/-  4.279558E-02
1.027833E+02 1.054832E+00 +/-  4.129891E-02
1.034167E+02 9.280212E-01 +/-  3.721118E-02
1.040500E+02 8.502295E-01 +/-  3.294569E-02
1.046833E+02 8.098295E-01 +/-  3.156681E-02
1.053167E+02 7.292498E-01 +/-  2.873986E-02
1.059500E+02 6.634525E-01 +/-  2.728082E-02
1.065833E+02 6.326655E-01 +/-  2.536916E-02
1.072167E+02 5.465608E-01 +/-  2.147776E-02
1.078500E+02 4.923866E-01 +/-  1.919748E-02
1.084833E+02 4.748453E-01 +/-  1.899701E-02
1.091167E+02 4.814794E-01 +/-  1.929010E-02
1.097500E+02 4.174305E-01 +/-  1.721965E-02
1.103833E+02 4.578920E-01 +/-  1.890003E-02
1.110167E+02 4.043929E-01 +/-  1.580546E-02
1.116500E+02 3.494001E-01 +/-  1.417336E-02
1.122833E+02 3.322815E-01 +/-  1.322225E-02
1.129167E+02 3.459255E-01 +/-  1.408304E-02
1.135500E+02 3.206686E-01 +/-  1.299816E-02
1.141833E+02 2.999498E-01 +/-  1.265754E-02
1.148167E+02 2.663359E-01 +/-  1.032686E-02
1.154500E+02 2.717754E-01 +/-  1.123109E-02
1.160833E+02 2.497975E-01 +/-  9.871713E-03
1.167167E+02 2.514153E-01 +/-  1.010170E-02
1.173500E+02 2.254711E-01 +/-  9.158976E-03
1.179833E+02 2.093328E-01 +/-  8.074592E-03
1.186167E+02 2.000207E-01 +/-  7.980737E-03
1.192500E+02 2.153193E-01 +/-  8.766776E-03
1.198833E+02 1.910336E-01 +/-  7.886803E-03
1.205167E+02 1.758590E-01 +/-  7.239097E-03
1.211500E+02 1.737981E-01 +/-  7.049975E-03
1.217833E+02 1.721165E-01 +/-  7.071487E-03
1.224167E+02 1.540497E-01 +/-  6.238078E-03
1.230500E+02 1.505712E-01 +/-  6.198982E-03
1.236833E+02 1.501645E-01 +/-  6.128104E-03
1.243167E+02 1.472010E-01 +/-  6.201102E-03
1.249500E+02 1.473377E-01 +/-  6.145938E-03
1.255833E+02 1.379424E-01 +/-  5.577970E-03
1.262167E+02 1.338948E-01 +/-  5.416860E-03
1.268500E+02 1.342198E-01 +/-  5.590244E-03
1.274833E+02 1.271121E-01 +/-  5.101410E-03
1.281167E+02 1.267231E-01 +/-  5.242884E-03
1.287500E+02 1.087193E-01 +/-  4.394098E-03
1.293833E+02 1.087451E-01 +/-  4.478781E-03
1.300167E+02 1.110254E-01 +/-  4.470712E-03
1.306500E+02 1.088424E-01 +/-  4.253722E-03
1.312833E+02 1.031674E-01 +/-  4.222606E-03
1.319167E+02 1.005583E-01 +/-  4.074050E-03
1.325500E+02 9.836174E-02 +/-  3.958106E-03
1.331833E+02 9.967635E-02 +/-  3.956259E-03
1.338167E+02 9.450809E-02 +/-  3.739092E-03
1.344500E+02 9.597472E-02 +/-  3.773491E-03
1.350833E+02 9.114365E-02 +/-  3.632624E-03
1.357167E+02 8.499766E-02 +/-  3.459793E-03
1.363500E+02 8.343267E-02 +/-  3.290203E-03
1.369833E+02 8.312011E-02 +/-  3.347445E-03
1.376167E+02 7.994616E-02 +/-  3.149864E-03
1.382500E+02 7.657094E-02 +/-  3.013537E-03
1.388833E+02 7.529103E-02 +/-  2.878948E-03
1.395167E+02 6.774767E-02 +/-  2.637767E-03
1.401500E+02 8.009344E-02 +/-  3.087966E-03
1.407833E+02 6.666083E-02 +/-  2.608332E-03
1.414167E+02 6.450168E-02 +/-  2.523741E-03
1.420500E+02 6.387417E-02 +/-  2.432473E-03
1.426833E+02 6.526736E-02 +/-  2.468242E-03
1.433167E+02 6.170265E-02 +/-  2.264580E-03
1.439500E+02 6.228094E-02 +/-  2.432762E-03
1.445833E+02 6.124966E-02 +/-  2.335645E-03
1.452167E+02 5.878634E-02 +/-  2.314499E-03
1.458500E+02 6.083393E-02 +/-  2.373104E-03
1.464833E+02 5.432803E-02 +/-  2.067164E-03
1.471167E+02 5.404997E-02 +/-  2.045826E-03
1.477500E+02 5.276816E-02 +/-  2.027766E-03
1.483833E+02 5.063052E-02 +/-  1.902216E-03
1.490167E+02 5.013316E-02 +/-  1.933788E-03
1.496500E+02 5.154762E-02 +/-  1.909846E-03
1.502833E+02 5.016016E-02 +/-  1.941187E-03
1.509167E+02 4.704907E-02 +/-  1.722222E-03
1.515500E+02 4.875075E-02 +/-  1.825374E-03
1.521833E+02 4.607385E-02 +/-  1.701922E-03
1.528167E+02 4.415400E-02 +/-  1.666268E-03
1.534500E+02 4.768804E-02 +/-  1.771355E-03
