 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.030000E+01 3.300603E+04 +/-  3.567670E+02
2.090000E+01 2.961057E+04 +/-  3.113852E+02
2.150000E+01 2.620799E+04 +/-  2.753678E+02
2.210000E+01 2.260849E+04 +/-  2.124474E+02
2.270000E+01 2.065188E+04 +/-  1.985567E+02
2.330000E+01 1.883793E+04 +/-  1.822753E+02
2.390000E+01 1.712501E+04 +/-  1.678511E+02
2.450000E+01 1.563254E+04 +/-  1.516411E+02
2.510000E+01 1.403423E+04 +/-  1.328502E+02
2.570000E+01 1.260931E+04 +/-  1.149056E+02
2.630000E+01 1.155692E+04 +/-  1.048061E+02
2.690000E+01 1.080465E+04 +/-  1.017398E+02
2.750000E+01 9.908576E+03 +/-  9.190671E+01
2.810000E+01 9.029436E+03 +/-  8.217913E+01
2.870000E+01 8.449399E+03 +/-  7.923801E+01
2.930000E+01 7.744750E+03 +/-  7.110858E+01
2.990000E+01 7.115154E+03 +/-  6.332532E+01
3.050000E+01 6.546630E+03 +/-  5.886066E+01
3.110000E+01 6.030433E+03 +/-  5.309559E+01
3.170000E+01 5.561703E+03 +/-  4.779726E+01
3.230000E+01 5.190798E+03 +/-  4.482888E+01
3.290000E+01 4.910305E+03 +/-  4.435171E+01
3.350000E+01 4.567369E+03 +/-  4.053067E+01
3.410000E+01 4.167163E+03 +/-  3.586754E+01
3.470000E+01 3.943156E+03 +/-  3.432767E+01
3.530000E+01 3.683200E+03 +/-  3.270185E+01
3.590000E+01 3.474887E+03 +/-  3.037731E+01
3.650000E+01 3.211753E+03 +/-  2.767622E+01
3.710000E+01 3.033451E+03 +/-  2.600765E+01
3.770000E+01 2.786368E+03 +/-  2.360982E+01
3.830000E+01 2.681320E+03 +/-  2.323959E+01
3.890000E+01 2.498540E+03 +/-  2.165605E+01
3.950000E+01 2.380923E+03 +/-  2.062028E+01
4.010000E+01 2.209583E+03 +/-  1.887530E+01
4.070000E+01 2.104505E+03 +/-  1.807076E+01
4.130000E+01 1.968622E+03 +/-  1.693958E+01
4.190000E+01 1.879705E+03 +/-  1.616831E+01
4.250000E+01 1.753237E+03 +/-  1.489596E+01
4.310000E+01 1.657034E+03 +/-  1.448381E+01
4.370000E+01 1.571089E+03 +/-  1.330951E+01
4.430000E+01 1.495533E+03 +/-  1.339282E+01
4.490000E+01 1.431511E+03 +/-  1.343245E+01
4.550000E+01 1.351952E+03 +/-  1.308734E+01
4.610000E+01 1.268793E+03 +/-  1.270332E+01
4.670000E+01 1.200686E+03 +/-  1.230465E+01
4.730000E+01 1.166251E+03 +/-  1.167828E+01
4.790000E+01 1.094405E+03 +/-  1.103237E+01
4.850000E+01 1.050840E+03 +/-  1.079704E+01
4.910000E+01 9.933094E+02 +/-  1.032594E+01
4.970000E+01 9.467113E+02 +/-  9.852658E+00
5.030000E+01 9.122789E+02 +/-  9.986918E+00
5.090000E+01 8.520392E+02 +/-  9.352634E+00
5.150000E+01 8.347355E+02 +/-  9.086892E+00
5.210000E+01 7.892514E+02 +/-  8.720626E+00
5.270000E+01 7.559639E+02 +/-  8.372060E+00
5.330000E+01 7.065265E+02 +/-  7.889222E+00
5.390000E+01 6.843496E+02 +/-  7.518114E+00
5.450000E+01 6.461779E+02 +/-  7.202841E+00
5.510000E+01 6.301792E+02 +/-  7.176544E+00
5.570000E+01 6.020598E+02 +/-  6.977323E+00
5.630000E+01 5.706474E+02 +/-  6.898511E+00
5.690000E+01 5.628866E+02 +/-  7.031042E+00
5.750000E+01 5.337342E+02 +/-  6.748651E+00
5.810000E+01 4.991163E+02 +/-  6.377322E+00
5.870000E+01 4.869641E+02 +/-  6.163676E+00
5.930000E+01 4.619964E+02 +/-  5.831037E+00
5.990000E+01 4.481605E+02 +/-  5.582154E+00
6.050000E+01 4.366932E+02 +/-  5.403627E+00
6.110000E+01 4.179601E+02 +/-  5.167133E+00
6.170000E+01 4.053015E+02 +/-  4.961156E+00
6.230000E+01 3.853459E+02 +/-  4.736269E+00
6.290000E+01 3.778267E+02 +/-  4.931967E+00
6.350000E+01 3.596484E+02 +/-  5.070558E+00
6.410000E+01 3.378358E+02 +/-  4.853748E+00
6.470000E+01 3.327032E+02 +/-  4.715006E+00
6.530000E+01 3.234880E+02 +/-  4.539241E+00
