 u,U -> u,U
x-axis: "Mass{p3+p4}a"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.080000E+01 2.936788E+04 +/-  4.519138E+02
2.240000E+01 2.226854E+04 +/-  3.365319E+02
2.400000E+01 1.649613E+04 +/-  2.319974E+02
2.560000E+01 1.313017E+04 +/-  1.901300E+02
2.720000E+01 1.028397E+04 +/-  1.392255E+02
2.880000E+01 8.167840E+03 +/-  1.082211E+02
3.040000E+01 6.737688E+03 +/-  9.077787E+01
3.200000E+01 5.485783E+03 +/-  7.269031E+01
3.360000E+01 4.549407E+03 +/-  5.859284E+01
3.520000E+01 3.734662E+03 +/-  4.745715E+01
3.680000E+01 3.119101E+03 +/-  3.890418E+01
3.840000E+01 2.609087E+03 +/-  3.039481E+01
4.000000E+01 2.246797E+03 +/-  2.651283E+01
4.160000E+01 1.914870E+03 +/-  2.302637E+01
4.320000E+01 1.652413E+03 +/-  1.929937E+01
4.480000E+01 1.443173E+03 +/-  1.641348E+01
4.640000E+01 1.228424E+03 +/-  1.368530E+01
4.800000E+01 1.081141E+03 +/-  1.162830E+01
4.960000E+01 9.650204E+02 +/-  1.105749E+01
5.120000E+01 8.517861E+02 +/-  9.593163E+00
5.280000E+01 7.443350E+02 +/-  8.069666E+00
5.440000E+01 6.561348E+02 +/-  7.039971E+00
5.600000E+01 5.932632E+02 +/-  6.413651E+00
5.760000E+01 5.289462E+02 +/-  5.745455E+00
5.920000E+01 4.725049E+02 +/-  5.192954E+00
6.080000E+01 4.290067E+02 +/-  4.623734E+00
6.240000E+01 3.816986E+02 +/-  4.034962E+00
6.400000E+01 3.463180E+02 +/-  3.765374E+00
6.560000E+01 3.139540E+02 +/-  3.294630E+00
6.720000E+01 2.832605E+02 +/-  3.020941E+00
6.880000E+01 2.604000E+02 +/-  2.744388E+00
7.040000E+01 2.368036E+02 +/-  2.484570E+00
7.200000E+01 2.144974E+02 +/-  2.276156E+00
7.360000E+01 2.007592E+02 +/-  2.116684E+00
7.520000E+01 1.795831E+02 +/-  1.900115E+00
7.680000E+01 1.655376E+02 +/-  1.985432E+00
7.840000E+01 1.535505E+02 +/-  1.813019E+00
8.000000E+01 1.411039E+02 +/-  1.652481E+00
8.160000E+01 1.308023E+02 +/-  1.521988E+00
8.320000E+01 1.217501E+02 +/-  1.439672E+00
8.480000E+01 1.111665E+02 +/-  1.297514E+00
8.640000E+01 1.018728E+02 +/-  1.185465E+00
8.800000E+01 9.643786E+01 +/-  1.105615E+00
8.960000E+01 9.110571E+01 +/-  1.042184E+00
9.120000E+01 8.430917E+01 +/-  9.599461E-01
9.280000E+01 7.793022E+01 +/-  8.633007E-01
9.440000E+01 7.281086E+01 +/-  8.404712E-01
9.600000E+01 6.930911E+01 +/-  9.914672E-01
9.760000E+01 6.353055E+01 +/-  9.167147E-01
9.920000E+01 5.940224E+01 +/-  8.568063E-01
1.008000E+02 5.664498E+01 +/-  8.254856E-01
1.024000E+02 5.352989E+01 +/-  7.933039E-01
1.040000E+02 4.880213E+01 +/-  7.346863E-01
1.056000E+02 4.635674E+01 +/-  6.901669E-01
1.072000E+02 4.247970E+01 +/-  6.250087E-01
1.088000E+02 4.162842E+01 +/-  1.694406E+00
1.104000E+02 4.138096E+01 +/-  1.826189E+00
1.120000E+02 3.567002E+01 +/-  1.357171E+00
1.136000E+02 3.153657E+01 +/-  1.189299E+00
1.152000E+02 3.377278E+01 +/-  1.373729E+00
1.168000E+02 3.075798E+01 +/-  1.305520E+00
1.184000E+02 2.988643E+01 +/-  1.192881E+00
1.200000E+02 2.780110E+01 +/-  1.109810E+00
1.216000E+02 2.675664E+01 +/-  1.112952E+00
1.232000E+02 2.499461E+01 +/-  1.000592E+00
1.248000E+02 2.337959E+01 +/-  8.925782E-01
1.264000E+02 2.276303E+01 +/-  9.059602E-01
1.280000E+02 2.100640E+01 +/-  7.618603E-01
1.296000E+02 1.939005E+01 +/-  7.018646E-01
1.312000E+02 1.813771E+01 +/-  6.580811E-01
1.328000E+02 1.820705E+01 +/-  6.885990E-01
1.344000E+02 1.775478E+01 +/-  6.644356E-01
1.360000E+02 1.616503E+01 +/-  5.529425E-01
1.376000E+02 1.557214E+01 +/-  5.992775E-01
1.392000E+02 1.526088E+01 +/-  5.959107E-01
1.408000E+02 1.457450E+01 +/-  5.214176E-01
1.424000E+02 1.394413E+01 +/-  5.032767E-01
