 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 200.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.005000E+02 -4.195212E+02 +/-  1.348856E+00
2.015000E+02 -4.093705E+02 +/-  1.313370E+00
2.025000E+02 -3.976841E+02 +/-  1.275533E+00
2.035000E+02 -3.886901E+02 +/-  1.242773E+00
2.045000E+02 -3.852016E+02 +/-  1.221185E+00
2.055000E+02 -3.727688E+02 +/-  1.183397E+00
2.065000E+02 -3.648306E+02 +/-  1.154382E+00
2.075000E+02 -3.585989E+02 +/-  1.128705E+00
2.085000E+02 -3.491719E+02 +/-  1.098753E+00
2.095000E+02 -3.429973E+02 +/-  1.073028E+00
2.105000E+02 -3.341018E+02 +/-  1.044899E+00
2.115000E+02 -3.275098E+02 +/-  1.020184E+00
2.125000E+02 -3.214624E+02 +/-  9.975085E-01
2.135000E+02 -3.129171E+02 +/-  9.699761E-01
2.145000E+02 -3.076824E+02 +/-  9.491383E-01
2.155000E+02 -3.010199E+02 +/-  9.263232E-01
2.165000E+02 -2.928788E+02 +/-  9.011415E-01
2.175000E+02 -2.887188E+02 +/-  8.830696E-01
2.185000E+02 -2.828433E+02 +/-  8.626158E-01
2.195000E+02 -2.761995E+02 +/-  8.411055E-01
2.205000E+02 -2.699730E+02 +/-  8.199701E-01
2.215000E+02 -2.659617E+02 +/-  8.036602E-01
2.225000E+02 -2.587453E+02 +/-  7.821104E-01
2.235000E+02 -2.532308E+02 +/-  7.634925E-01
2.245000E+02 -2.493611E+02 +/-  7.482091E-01
2.255000E+02 -2.437552E+02 +/-  7.300167E-01
2.265000E+02 -2.386851E+02 +/-  7.130678E-01
2.275000E+02 -2.337522E+02 +/-  6.965505E-01
2.285000E+02 -2.292735E+02 +/-  6.811284E-01
2.295000E+02 -2.239477E+02 +/-  6.646578E-01
2.305000E+02 -2.200639E+02 +/-  6.502460E-01
2.315000E+02 -2.162214E+02 +/-  6.368453E-01
2.325000E+02 -2.111085E+02 +/-  6.210198E-01
2.335000E+02 -2.067226E+02 +/-  6.069838E-01
2.345000E+02 -2.032305E+02 +/-  5.945082E-01
2.355000E+02 -1.987328E+02 +/-  5.801904E-01
2.365000E+02 -1.952076E+02 +/-  5.679068E-01
2.375000E+02 -1.906614E+02 +/-  5.543622E-01
2.385000E+02 -1.873767E+02 +/-  5.430988E-01
2.395000E+02 -1.834542E+02 +/-  5.308042E-01
2.405000E+02 -1.800192E+02 +/-  5.191040E-01
2.415000E+02 -1.772181E+02 +/-  5.088642E-01
2.425000E+02 -1.731325E+02 +/-  4.970230E-01
2.435000E+02 -1.696299E+02 +/-  4.859296E-01
2.445000E+02 -1.666714E+02 +/-  4.760827E-01
2.455000E+02 -1.630933E+02 +/-  4.650867E-01
2.465000E+02 -1.607157E+02 +/-  4.562755E-01
2.475000E+02 -1.566258E+02 +/-  4.450708E-01
2.485000E+02 -1.544649E+02 +/-  4.366004E-01
2.495000E+02 -1.513108E+02 +/-  4.272831E-01
2.505000E+02 -1.482834E+02 +/-  4.179916E-01
2.515000E+02 -1.456300E+02 +/-  4.091499E-01
2.525000E+02 -1.429911E+02 +/-  4.010153E-01
2.535000E+02 -1.401936E+02 +/-  3.922754E-01
2.545000E+02 -1.375574E+02 +/-  3.840697E-01
2.555000E+02 -1.353167E+02 +/-  3.765145E-01
2.565000E+02 -1.320889E+02 +/-  3.677937E-01
2.575000E+02 -1.304126E+02 +/-  3.612581E-01
2.585000E+02 -1.276030E+02 +/-  3.531968E-01
2.595000E+02 -1.252053E+02 +/-  3.459904E-01
2.605000E+02 -1.233825E+02 +/-  3.396270E-01
2.615000E+02 -1.208676E+02 +/-  3.322209E-01
2.625000E+02 -1.185219E+02 +/-  3.252979E-01
2.635000E+02 -1.164294E+02 +/-  3.187886E-01
2.645000E+02 -1.144527E+02 +/-  3.125398E-01
2.655000E+02 -1.123096E+02 +/-  3.061458E-01
2.665000E+02 -1.102909E+02 +/-  2.999064E-01
2.675000E+02 -1.084207E+02 +/-  2.943237E-01
2.685000E+02 -1.061721E+02 +/-  2.878445E-01
2.695000E+02 -1.045585E+02 +/-  2.825338E-01
2.705000E+02 -1.027000E+02 +/-  2.770574E-01
2.715000E+02 -1.008819E+02 +/-  2.714986E-01
2.725000E+02 -9.903856E+01 +/-  2.660522E-01
2.735000E+02 -9.737065E+01 +/-  2.609172E-01
2.745000E+02 -9.540473E+01 +/-  2.555570E-01
2.755000E+02 -9.389926E+01 +/-  2.508025E-01
2.765000E+02 -9.218279E+01 +/-  2.458785E-01
2.775000E+02 -9.068943E+01 +/-  2.411680E-01
2.785000E+02 -8.912137E+01 +/-  2.365085E-01
2.795000E+02 -8.748079E+01 +/-  2.319763E-01
2.805000E+02 -8.620663E+01 +/-  2.276742E-01
2.815000E+02 -8.451851E+01 +/-  2.231486E-01
2.825000E+02 -8.315403E+01 +/-  2.189952E-01
2.835000E+02 -8.161220E+01 +/-  2.145930E-01
2.845000E+02 -8.030577E+01 +/-  2.107783E-01
2.855000E+02 -7.888573E+01 +/-  2.065810E-01
2.865000E+02 -7.770159E+01 +/-  2.029723E-01
2.875000E+02 -7.617380E+01 +/-  1.989493E-01
2.885000E+02 -7.522579E+01 +/-  1.955853E-01
2.895000E+02 -7.368727E+01 +/-  1.915743E-01
2.905000E+02 -7.255239E+01 +/-  1.881968E-01
2.915000E+02 -7.109461E+01 +/-  1.843009E-01
2.925000E+02 -7.001623E+01 +/-  1.811329E-01
2.935000E+02 -6.900685E+01 +/-  1.779402E-01
2.945000E+02 -6.779686E+01 +/-  1.745599E-01
2.955000E+02 -6.677192E+01 +/-  1.715476E-01
2.965000E+02 -6.554517E+01 +/-  1.681452E-01
2.975000E+02 -6.451021E+01 +/-  1.652843E-01
2.985000E+02 -6.347409E+01 +/-  1.622421E-01
2.995000E+02 -6.230943E+01 +/-  1.591078E-01
3.005000E+02 -6.152212E+01 +/-  1.566409E-01
3.015000E+02 -6.037345E+01 +/-  1.534398E-01
3.025000E+02 -5.936198E+01 +/-  1.507779E-01
3.035000E+02 -5.852290E+01 +/-  1.481633E-01
3.045000E+02 -5.746814E+01 +/-  1.454151E-01
3.055000E+02 -5.656418E+01 +/-  1.428711E-01
3.065000E+02 -5.570413E+01 +/-  1.403920E-01
3.075000E+02 -5.473698E+01 +/-  1.377734E-01
3.085000E+02 -5.390761E+01 +/-  1.354024E-01
3.095000E+02 -5.301799E+01 +/-  1.329843E-01
3.105000E+02 -5.222134E+01 +/-  1.307315E-01
3.115000E+02 -5.140731E+01 +/-  1.284250E-01
3.125000E+02 -5.058438E+01 +/-  1.262404E-01
3.135000E+02 -4.977919E+01 +/-  1.239319E-01
3.145000E+02 -4.904151E+01 +/-  1.218809E-01
3.155000E+02 -4.824395E+01 +/-  1.197091E-01
3.165000E+02 -4.747058E+01 +/-  1.176443E-01
3.175000E+02 -4.679092E+01 +/-  1.156942E-01
3.185000E+02 -4.595375E+01 +/-  1.135389E-01
3.195000E+02 -4.531516E+01 +/-  1.117273E-01
3.205000E+02 -4.467607E+01 +/-  1.099172E-01
3.215000E+02 -4.385347E+01 +/-  1.077890E-01
3.225000E+02 -4.319262E+01 +/-  1.060095E-01
3.235000E+02 -4.253463E+01 +/-  1.042436E-01
3.245000E+02 -4.202170E+01 +/-  1.026531E-01
3.255000E+02 -4.128947E+01 +/-  1.008034E-01
3.265000E+02 -4.067350E+01 +/-  9.911993E-02
3.275000E+02 -3.998323E+01 +/-  9.737164E-02
3.285000E+02 -3.947553E+01 +/-  9.584544E-02
3.295000E+02 -3.881045E+01 +/-  9.417995E-02
3.305000E+02 -3.831636E+01 +/-  9.274904E-02
3.315000E+02 -3.766092E+01 +/-  9.108631E-02
3.325000E+02 -3.708742E+01 +/-  8.956290E-02
3.335000E+02 -3.657768E+01 +/-  8.815132E-02
3.345000E+02 -3.601219E+01 +/-  8.666506E-02
3.355000E+02 -3.554684E+01 +/-  8.536905E-02
3.365000E+02 -3.494501E+01 +/-  8.385106E-02
3.375000E+02 -3.442177E+01 +/-  8.246612E-02
3.385000E+02 -3.397869E+01 +/-  8.121728E-02
3.395000E+02 -3.334706E+01 +/-  7.971485E-02
3.405000E+02 -3.295639E+01 +/-  7.855507E-02
3.415000E+02 -3.247995E+01 +/-  7.729933E-02
3.425000E+02 -3.196744E+01 +/-  7.601562E-02
3.435000E+02 -3.154765E+01 +/-  7.484010E-02
3.445000E+02 -3.105484E+01 +/-  7.361548E-02
3.455000E+02 -3.058276E+01 +/-  7.237073E-02
3.465000E+02 -3.019709E+01 +/-  7.131560E-02
3.475000E+02 -2.971753E+01 +/-  7.012333E-02
3.485000E+02 -2.935661E+01 +/-  6.909969E-02
3.495000E+02 -2.887752E+01 +/-  6.793483E-02
3.505000E+02 -2.841164E+01 +/-  6.678455E-02
3.515000E+02 -2.807156E+01 +/-  6.581273E-02
3.525000E+02 -2.763780E+01 +/-  6.473841E-02
3.535000E+02 -2.726733E+01 +/-  6.378180E-02
3.545000E+02 -2.695917E+01 +/-  6.283482E-02
3.555000E+02 -2.643964E+01 +/-  6.171743E-02
3.565000E+02 -2.612547E+01 +/-  6.082695E-02
3.575000E+02 -2.574046E+01 +/-  5.985064E-02
3.585000E+02 -2.540872E+01 +/-  5.896511E-02
3.595000E+02 -2.504437E+01 +/-  5.804703E-02
3.605000E+02 -2.471663E+01 +/-  5.718586E-02
3.615000E+02 -2.428288E+01 +/-  5.617539E-02
3.625000E+02 -2.403298E+01 +/-  5.544684E-02
3.635000E+02 -2.367629E+01 +/-  5.456740E-02
3.645000E+02 -2.331808E+01 +/-  5.368573E-02
3.655000E+02 -2.304571E+01 +/-  5.293191E-02
3.665000E+02 -2.269847E+01 +/-  5.209785E-02
3.675000E+02 -2.232167E+01 +/-  5.121749E-02
3.685000E+02 -2.210389E+01 +/-  5.058076E-02
3.695000E+02 -2.177376E+01 +/-  4.975946E-02
3.705000E+02 -2.152534E+01 +/-  4.907914E-02
