 u,U -> G,G
x-axis: "Mass{p3+p4}]"  from 1000.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.001667E+03 -2.494581E-02 +/-  7.330831E-05
1.005000E+03 -2.455319E-02 +/-  7.203408E-05
1.008333E+03 -2.400868E-02 +/-  7.055492E-05
1.011667E+03 -2.382184E-02 +/-  6.963233E-05
1.015000E+03 -2.342992E-02 +/-  6.846079E-05
1.018333E+03 -2.305284E-02 +/-  6.727040E-05
1.021667E+03 -2.270141E-02 +/-  6.611029E-05
1.025000E+03 -2.234492E-02 +/-  6.503932E-05
1.028333E+03 -2.204602E-02 +/-  6.397612E-05
1.031667E+03 -2.164581E-02 +/-  6.282078E-05
1.035000E+03 -2.137452E-02 +/-  6.183736E-05
1.038333E+03 -2.099807E-02 +/-  6.076158E-05
1.041667E+03 -2.071436E-02 +/-  5.980403E-05
1.045000E+03 -2.042251E-02 +/-  5.883454E-05
1.048333E+03 -2.007249E-02 +/-  5.781997E-05
1.051667E+03 -1.983248E-02 +/-  5.694076E-05
1.055000E+03 -1.954377E-02 +/-  5.603085E-05
1.058333E+03 -1.922940E-02 +/-  5.509406E-05
1.061667E+03 -1.894442E-02 +/-  5.419203E-05
1.065000E+03 -1.867886E-02 +/-  5.334345E-05
1.068333E+03 -1.840326E-02 +/-  5.247193E-05
1.071667E+03 -1.813162E-02 +/-  5.160290E-05
1.075000E+03 -1.785763E-02 +/-  5.080123E-05
1.078333E+03 -1.759152E-02 +/-  4.992556E-05
1.081667E+03 -1.736246E-02 +/-  4.920727E-05
1.085000E+03 -1.708835E-02 +/-  4.838235E-05
1.088333E+03 -1.686045E-02 +/-  4.763909E-05
1.091667E+03 -1.661065E-02 +/-  4.687847E-05
1.095000E+03 -1.638019E-02 +/-  4.613832E-05
1.098333E+03 -1.613607E-02 +/-  4.540137E-05
1.101667E+03 -1.589739E-02 +/-  4.468108E-05
1.105000E+03 -1.567210E-02 +/-  4.398308E-05
1.108333E+03 -1.546607E-02 +/-  4.329818E-05
1.111667E+03 -1.523275E-02 +/-  4.264028E-05
1.115000E+03 -1.497206E-02 +/-  4.188133E-05
1.118333E+03 -1.483145E-02 +/-  4.134248E-05
1.121667E+03 -1.462348E-02 +/-  4.069371E-05
1.125000E+03 -1.439084E-02 +/-  4.004444E-05
1.128333E+03 -1.420035E-02 +/-  3.943947E-05
1.131667E+03 -1.400192E-02 +/-  3.882018E-05
1.135000E+03 -1.378540E-02 +/-  3.819793E-05
1.138333E+03 -1.362372E-02 +/-  3.766965E-05
1.141667E+03 -1.337923E-02 +/-  3.699616E-05
1.145000E+03 -1.329629E-02 +/-  3.660966E-05
1.148333E+03 -1.301407E-02 +/-  3.587582E-05
1.151667E+03 -1.283825E-02 +/-  3.533734E-05
1.155000E+03 -1.270975E-02 +/-  3.489269E-05
1.158333E+03 -1.251731E-02 +/-  3.432911E-05
1.161667E+03 -1.237801E-02 +/-  3.386875E-05
1.165000E+03 -1.211943E-02 +/-  3.321474E-05
1.168333E+03 -1.201011E-02 +/-  3.281460E-05
1.171667E+03 -1.185900E-02 +/-  3.233511E-05
1.175000E+03 -1.170528E-02 +/-  3.186211E-05
1.178333E+03 -1.151154E-02 +/-  3.134694E-05
1.181667E+03 -1.138333E-02 +/-  3.090989E-05
1.185000E+03 -1.120355E-02 +/-  3.040895E-05
1.188333E+03 -1.107073E-02 +/-  2.998430E-05
1.191667E+03 -1.091691E-02 +/-  2.954264E-05
1.195000E+03 -1.077586E-02 +/-  2.911340E-05
1.198333E+03 -1.063269E-02 +/-  2.868580E-05
1.201667E+03 -1.047942E-02 +/-  2.825014E-05
1.205000E+03 -1.035289E-02 +/-  2.785459E-05
1.208333E+03 -1.019585E-02 +/-  2.742338E-05
1.211667E+03 -1.008287E-02 +/-  2.705422E-05
1.215000E+03 -9.928439E-03 +/-  2.663001E-05
1.218333E+03 -9.825148E-03 +/-  2.628103E-05
1.221667E+03 -9.668219E-03 +/-  2.586103E-05
1.225000E+03 -9.552861E-03 +/-  2.550641E-05
1.228333E+03 -9.434875E-03 +/-  2.515333E-05
1.231667E+03 -9.306822E-03 +/-  2.477989E-05
1.235000E+03 -9.175124E-03 +/-  2.440910E-05
1.238333E+03 -9.061208E-03 +/-  2.406791E-05
1.241667E+03 -8.942410E-03 +/-  2.372280E-05
1.245000E+03 -8.832015E-03 +/-  2.339823E-05
1.248333E+03 -8.712203E-03 +/-  2.305278E-05
1.251667E+03 -8.606431E-03 +/-  2.273646E-05
1.255000E+03 -8.478875E-03 +/-  2.239223E-05
1.258333E+03 -8.384227E-03 +/-  2.209551E-05
1.261667E+03 -8.278801E-03 +/-  2.178523E-05
1.265000E+03 -8.164032E-03 +/-  2.146280E-05
1.268333E+03 -8.058459E-03 +/-  2.116641E-05
1.271667E+03 -7.972537E-03 +/-  2.089201E-05
1.275000E+03 -7.864807E-03 +/-  2.059610E-05
1.278333E+03 -7.747648E-03 +/-  2.027568E-05
1.281667E+03 -7.647652E-03 +/-  1.999518E-05
1.285000E+03 -7.560922E-03 +/-  1.972809E-05
1.288333E+03 -7.462527E-03 +/-  1.945966E-05
1.291667E+03 -7.376921E-03 +/-  1.919023E-05
1.295000E+03 -7.277176E-03 +/-  1.891855E-05
1.298333E+03 -7.195201E-03 +/-  1.867407E-05
1.301667E+03 -7.093451E-03 +/-  1.840002E-05
1.305000E+03 -7.020257E-03 +/-  1.816692E-05
1.308333E+03 -6.900902E-03 +/-  1.787088E-05
1.311667E+03 -6.846556E-03 +/-  1.768126E-05
1.315000E+03 -6.749189E-03 +/-  1.741673E-05
1.318333E+03 -6.671914E-03 +/-  1.718936E-05
1.321667E+03 -6.580784E-03 +/-  1.694231E-05
1.325000E+03 -6.505133E-03 +/-  1.671868E-05
1.328333E+03 -6.419420E-03 +/-  1.648833E-05
1.331667E+03 -6.345310E-03 +/-  1.626941E-05
1.335000E+03 -6.257156E-03 +/-  1.603321E-05
1.338333E+03 -6.180234E-03 +/-  1.582219E-05
1.341667E+03 -6.113943E-03 +/-  1.562268E-05
1.345000E+03 -6.024787E-03 +/-  1.539023E-05
1.348333E+03 -5.966244E-03 +/-  1.520638E-05
1.351667E+03 -5.891360E-03 +/-  1.499964E-05
1.355000E+03 -5.822862E-03 +/-  1.480165E-05
1.358333E+03 -5.736217E-03 +/-  1.458778E-05
1.361667E+03 -5.690425E-03 +/-  1.442545E-05
1.365000E+03 -5.606429E-03 +/-  1.421001E-05
1.368333E+03 -5.528604E-03 +/-  1.400067E-05
1.371667E+03 -5.489952E-03 +/-  1.386914E-05
1.375000E+03 -5.392459E-03 +/-  1.363756E-05
1.378333E+03 -5.344435E-03 +/-  1.347853E-05
1.381667E+03 -5.281077E-03 +/-  1.330255E-05
1.385000E+03 -5.214171E-03 +/-  1.312838E-05
1.388333E+03 -5.161609E-03 +/-  1.296012E-05
1.391667E+03 -5.093519E-03 +/-  1.278460E-05
1.395000E+03 -5.017534E-03 +/-  1.259959E-05
1.398333E+03 -4.980605E-03 +/-  1.246783E-05
1.401667E+03 -4.908838E-03 +/-  1.228614E-05
1.405000E+03 -4.850973E-03 +/-  1.212735E-05
1.408333E+03 -4.796018E-03 +/-  1.197485E-05
1.411667E+03 -4.746643E-03 +/-  1.182980E-05
1.415000E+03 -4.674373E-03 +/-  1.165023E-05
1.418333E+03 -4.627191E-03 +/-  1.151296E-05
1.421667E+03 -4.582572E-03 +/-  1.137843E-05
1.425000E+03 -4.520789E-03 +/-  1.122147E-05
1.428333E+03 -4.472273E-03 +/-  1.108219E-05
1.431667E+03 -4.417129E-03 +/-  1.094066E-05
1.435000E+03 -4.349542E-03 +/-  1.077357E-05
1.438333E+03 -4.316209E-03 +/-  1.066413E-05
1.441667E+03 -4.262655E-03 +/-  1.052116E-05
1.445000E+03 -4.213639E-03 +/-  1.038881E-05
1.448333E+03 -4.178138E-03 +/-  1.027515E-05
1.451667E+03 -4.102243E-03 +/-  1.010560E-05
1.455000E+03 -4.073224E-03 +/-  1.000430E-05
1.458333E+03 -4.025401E-03 +/-  9.875965E-06
1.461667E+03 -3.972145E-03 +/-  9.744366E-06
1.465000E+03 -3.927631E-03 +/-  9.622257E-06
1.468333E+03 -3.884301E-03 +/-  9.502045E-06
1.471667E+03 -3.848801E-03 +/-  9.397208E-06
1.475000E+03 -3.788536E-03 +/-  9.256134E-06
1.478333E+03 -3.758213E-03 +/-  9.159370E-06
1.481667E+03 -3.706908E-03 +/-  9.032654E-06
1.485000E+03 -3.669106E-03 +/-  8.925143E-06
1.488333E+03 -3.620086E-03 +/-  8.805276E-06
1.491667E+03 -3.593000E-03 +/-  8.713938E-06
1.495000E+03 -3.538239E-03 +/-  8.588847E-06
1.498333E+03 -3.509349E-03 +/-  8.496462E-06
1.501667E+03 -3.465825E-03 +/-  8.386002E-06
1.505000E+03 -3.425828E-03 +/-  8.283055E-06
1.508333E+03 -3.385351E-03 +/-  8.175157E-06
1.511667E+03 -3.348591E-03 +/-  8.075406E-06
1.515000E+03 -3.310633E-03 +/-  7.981932E-06
1.518333E+03 -3.276200E-03 +/-  7.883611E-06
1.521667E+03 -3.235990E-03 +/-  7.782648E-06
1.525000E+03 -3.198595E-03 +/-  7.684594E-06
1.528333E+03 -3.171366E-03 +/-  7.603105E-06
1.531667E+03 -3.136576E-03 +/-  7.513485E-06
1.535000E+03 -3.088368E-03 +/-  7.401921E-06
1.538333E+03 -3.060280E-03 +/-  7.321922E-06
1.541667E+03 -3.026565E-03 +/-  7.230577E-06
1.545000E+03 -2.997130E-03 +/-  7.151500E-06
1.548333E+03 -2.958532E-03 +/-  7.057124E-06
1.551667E+03 -2.934649E-03 +/-  6.983382E-06
1.555000E+03 -2.890731E-03 +/-  6.883366E-06
1.558333E+03 -2.869473E-03 +/-  6.814905E-06
1.561667E+03 -2.828935E-03 +/-  6.720342E-06
1.565000E+03 -2.800042E-03 +/-  6.640864E-06
1.568333E+03 -2.769949E-03 +/-  6.566442E-06
1.571667E+03 -2.743862E-03 +/-  6.491942E-06
1.575000E+03 -2.715889E-03 +/-  6.416491E-06
1.578333E+03 -2.677383E-03 +/-  6.329450E-06
1.581667E+03 -2.653767E-03 +/-  6.259238E-06
1.585000E+03 -2.622581E-03 +/-  6.183488E-06
1.588333E+03 -2.591732E-03 +/-  6.105700E-06
1.591667E+03 -2.571223E-03 +/-  6.044797E-06
1.595000E+03 -2.538131E-03 +/-  5.966554E-06
1.598333E+03 -2.506759E-03 +/-  5.889806E-06
1.601667E+03 -2.486551E-03 +/-  5.829919E-06
1.605000E+03 -2.458722E-03 +/-  5.759973E-06
1.608333E+03 -2.430332E-03 +/-  5.689440E-06
1.611667E+03 -2.409183E-03 +/-  5.628867E-06
1.615000E+03 -2.378296E-03 +/-  5.557153E-06
1.618333E+03 -2.353930E-03 +/-  5.490728E-06
1.621667E+03 -2.329222E-03 +/-  5.430852E-06
