 u,U -> G,G
x-axis: "Mass{p3+p4}"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.030000E+01 0.000000E+00 +/-  0.000000E+00
2.090000E+01 0.000000E+00 +/-  0.000000E+00
2.150000E+01 0.000000E+00 +/-  0.000000E+00
2.210000E+01 0.000000E+00 +/-  0.000000E+00
2.270000E+01 0.000000E+00 +/-  0.000000E+00
2.330000E+01 0.000000E+00 +/-  0.000000E+00
2.390000E+01 0.000000E+00 +/-  0.000000E+00
2.450000E+01 0.000000E+00 +/-  0.000000E+00
2.510000E+01 0.000000E+00 +/-  0.000000E+00
2.570000E+01 0.000000E+00 +/-  0.000000E+00
2.630000E+01 0.000000E+00 +/-  0.000000E+00
2.690000E+01 0.000000E+00 +/-  0.000000E+00
2.750000E+01 0.000000E+00 +/-  0.000000E+00
2.810000E+01 0.000000E+00 +/-  0.000000E+00
2.870000E+01 0.000000E+00 +/-  0.000000E+00
2.930000E+01 0.000000E+00 +/-  0.000000E+00
2.990000E+01 0.000000E+00 +/-  0.000000E+00
3.050000E+01 0.000000E+00 +/-  0.000000E+00
3.110000E+01 0.000000E+00 +/-  0.000000E+00
3.170000E+01 0.000000E+00 +/-  0.000000E+00
3.230000E+01 0.000000E+00 +/-  0.000000E+00
3.290000E+01 0.000000E+00 +/-  0.000000E+00
3.350000E+01 0.000000E+00 +/-  0.000000E+00
3.410000E+01 0.000000E+00 +/-  0.000000E+00
3.470000E+01 0.000000E+00 +/-  0.000000E+00
3.530000E+01 0.000000E+00 +/-  0.000000E+00
3.590000E+01 0.000000E+00 +/-  0.000000E+00
3.650000E+01 0.000000E+00 +/-  0.000000E+00
3.710000E+01 0.000000E+00 +/-  0.000000E+00
3.770000E+01 0.000000E+00 +/-  0.000000E+00
3.830000E+01 0.000000E+00 +/-  0.000000E+00
3.890000E+01 0.000000E+00 +/-  0.000000E+00
3.950000E+01 0.000000E+00 +/-  0.000000E+00
4.010000E+01 0.000000E+00 +/-  0.000000E+00
4.070000E+01 0.000000E+00 +/-  0.000000E+00
4.130000E+01 0.000000E+00 +/-  0.000000E+00
4.190000E+01 0.000000E+00 +/-  0.000000E+00
4.250000E+01 0.000000E+00 +/-  0.000000E+00
4.310000E+01 0.000000E+00 +/-  0.000000E+00
4.370000E+01 0.000000E+00 +/-  0.000000E+00
4.430000E+01 0.000000E+00 +/-  0.000000E+00
4.490000E+01 0.000000E+00 +/-  0.000000E+00
4.550000E+01 0.000000E+00 +/-  0.000000E+00
4.610000E+01 0.000000E+00 +/-  0.000000E+00
4.670000E+01 0.000000E+00 +/-  0.000000E+00
4.730000E+01 0.000000E+00 +/-  0.000000E+00
4.790000E+01 0.000000E+00 +/-  0.000000E+00
4.850000E+01 0.000000E+00 +/-  0.000000E+00
4.910000E+01 0.000000E+00 +/-  0.000000E+00
4.970000E+01 0.000000E+00 +/-  0.000000E+00
5.030000E+01 0.000000E+00 +/-  0.000000E+00
5.090000E+01 0.000000E+00 +/-  0.000000E+00
5.150000E+01 0.000000E+00 +/-  0.000000E+00
5.210000E+01 0.000000E+00 +/-  0.000000E+00
5.270000E+01 0.000000E+00 +/-  0.000000E+00
5.330000E+01 0.000000E+00 +/-  0.000000E+00
5.390000E+01 0.000000E+00 +/-  0.000000E+00
5.450000E+01 0.000000E+00 +/-  0.000000E+00
5.510000E+01 0.000000E+00 +/-  0.000000E+00
