 u,U -> m,M
x-axis: "Mass{p3+p4}]"  from 500.000000 to 2000.000000 N_bins= 300
Diff. cross section [pb/GeV]
5.025000E+02 1.707081E-04 +/-  4.401877E-07
5.075000E+02 1.634929E-04 +/-  4.183173E-07
5.125000E+02 1.567979E-04 +/-  3.999227E-07
5.175000E+02 1.509532E-04 +/-  3.860887E-07
5.225000E+02 1.445305E-04 +/-  3.656994E-07
5.275000E+02 1.387850E-04 +/-  3.521772E-07
5.325000E+02 1.330204E-04 +/-  3.360416E-07
5.375000E+02 1.278153E-04 +/-  3.204315E-07
5.425000E+02 1.236397E-04 +/-  3.128186E-07
5.475000E+02 1.184900E-04 +/-  2.978663E-07
5.525000E+02 1.136732E-04 +/-  2.835213E-07
5.575000E+02 1.093364E-04 +/-  2.714762E-07
5.625000E+02 1.056536E-04 +/-  2.641354E-07
5.675000E+02 1.016749E-04 +/-  2.526505E-07
5.725000E+02 9.731756E-05 +/-  2.423710E-07
5.775000E+02 9.409227E-05 +/-  2.340615E-07
5.825000E+02 9.074843E-05 +/-  2.264766E-07
5.875000E+02 8.742442E-05 +/-  2.169845E-07
5.925000E+02 8.414540E-05 +/-  2.083142E-07
5.975000E+02 8.130995E-05 +/-  2.009574E-07
6.025000E+02 7.821392E-05 +/-  1.925465E-07
6.075000E+02 7.579280E-05 +/-  1.875879E-07
6.125000E+02 7.275217E-05 +/-  1.782223E-07
6.175000E+02 7.057896E-05 +/-  1.745970E-07
6.225000E+02 6.808973E-05 +/-  1.670745E-07
6.275000E+02 6.562247E-05 +/-  1.603448E-07
6.325000E+02 6.351186E-05 +/-  1.574929E-07
6.375000E+02 6.116404E-05 +/-  1.550648E-07
6.425000E+02 5.919591E-05 +/-  1.506624E-07
6.475000E+02 5.731215E-05 +/-  1.455949E-07
6.525000E+02 5.552383E-05 +/-  1.406265E-07
6.575000E+02 5.354209E-05 +/-  1.348772E-07
6.625000E+02 5.179352E-05 +/-  1.310114E-07
6.675000E+02 5.002320E-05 +/-  1.262817E-07
6.725000E+02 4.852163E-05 +/-  1.219954E-07
6.775000E+02 4.697228E-05 +/-  1.180112E-07
6.825000E+02 4.549423E-05 +/-  1.149205E-07
6.875000E+02 4.398793E-05 +/-  1.127269E-07
6.925000E+02 4.260410E-05 +/-  1.107033E-07
6.975000E+02 4.135379E-05 +/-  1.081797E-07
7.025000E+02 4.011565E-05 +/-  1.050100E-07
