 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.080000E+01 0.000000E+00 +/-  0.000000E+00
2.240000E+01 0.000000E+00 +/-  0.000000E+00
2.400000E+01 0.000000E+00 +/-  0.000000E+00
2.560000E+01 0.000000E+00 +/-  0.000000E+00
2.720000E+01 0.000000E+00 +/-  0.000000E+00
2.880000E+01 0.000000E+00 +/-  0.000000E+00
3.040000E+01 0.000000E+00 +/-  0.000000E+00
3.200000E+01 0.000000E+00 +/-  0.000000E+00
3.360000E+01 0.000000E+00 +/-  0.000000E+00
3.520000E+01 0.000000E+00 +/-  0.000000E+00
3.680000E+01 0.000000E+00 +/-  0.000000E+00
3.840000E+01 0.000000E+00 +/-  0.000000E+00
4.000000E+01 0.000000E+00 +/-  0.000000E+00
4.160000E+01 0.000000E+00 +/-  0.000000E+00
4.320000E+01 0.000000E+00 +/-  0.000000E+00
4.480000E+01 0.000000E+00 +/-  0.000000E+00
4.640000E+01 0.000000E+00 +/-  0.000000E+00
4.800000E+01 0.000000E+00 +/-  0.000000E+00
4.960000E+01 0.000000E+00 +/-  0.000000E+00
5.120000E+01 0.000000E+00 +/-  0.000000E+00
5.280000E+01 0.000000E+00 +/-  0.000000E+00
5.440000E+01 0.000000E+00 +/-  0.000000E+00
5.600000E+01 0.000000E+00 +/-  0.000000E+00
5.760000E+01 0.000000E+00 +/-  0.000000E+00
5.920000E+01 0.000000E+00 +/-  0.000000E+00
6.080000E+01 0.000000E+00 +/-  0.000000E+00
6.240000E+01 0.000000E+00 +/-  0.000000E+00
6.400000E+01 0.000000E+00 +/-  0.000000E+00
6.560000E+01 0.000000E+00 +/-  0.000000E+00
6.720000E+01 0.000000E+00 +/-  0.000000E+00
6.880000E+01 0.000000E+00 +/-  0.000000E+00
7.040000E+01 0.000000E+00 +/-  0.000000E+00
7.200000E+01 0.000000E+00 +/-  0.000000E+00
7.360000E+01 0.000000E+00 +/-  0.000000E+00
7.520000E+01 0.000000E+00 +/-  0.000000E+00
7.680000E+01 0.000000E+00 +/-  0.000000E+00
7.840000E+01 0.000000E+00 +/-  0.000000E+00
8.000000E+01 0.000000E+00 +/-  0.000000E+00
8.160000E+01 0.000000E+00 +/-  0.000000E+00
8.320000E+01 0.000000E+00 +/-  0.000000E+00
8.480000E+01 0.000000E+00 +/-  0.000000E+00
8.640000E+01 0.000000E+00 +/-  0.000000E+00
8.800000E+01 0.000000E+00 +/-  0.000000E+00
8.960000E+01 0.000000E+00 +/-  0.000000E+00
9.120000E+01 0.000000E+00 +/-  0.000000E+00
9.280000E+01 0.000000E+00 +/-  0.000000E+00
9.440000E+01 0.000000E+00 +/-  0.000000E+00
9.600000E+01 0.000000E+00 +/-  0.000000E+00
