 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.220500E+03 4.302507E-08 +/-  1.033348E-10
1.221500E+03 4.303295E-08 +/-  1.031097E-10
1.222500E+03 4.279957E-08 +/-  1.028248E-10
1.223500E+03 4.234678E-08 +/-  1.014628E-10
1.224500E+03 4.216354E-08 +/-  1.013670E-10
1.225500E+03 4.196199E-08 +/-  1.005617E-10
1.226500E+03 4.189029E-08 +/-  1.008619E-10
1.227500E+03 4.155543E-08 +/-  9.990697E-11
1.228500E+03 4.125854E-08 +/-  9.924310E-11
1.229500E+03 4.117991E-08 +/-  9.927786E-11
1.230500E+03 4.080316E-08 +/-  9.869722E-11
1.231500E+03 4.065037E-08 +/-  9.804785E-11
1.232500E+03 4.053471E-08 +/-  9.780131E-11
1.233500E+03 4.026814E-08 +/-  9.761033E-11
1.234500E+03 4.003629E-08 +/-  9.704774E-11
1.235500E+03 3.987209E-08 +/-  9.662554E-11
1.236500E+03 3.955531E-08 +/-  9.615146E-11
1.237500E+03 3.941925E-08 +/-  9.575025E-11
1.238500E+03 3.917772E-08 +/-  9.519173E-11
1.239500E+03 3.906226E-08 +/-  9.519082E-11
1.240500E+03 3.875443E-08 +/-  9.459802E-11
1.241500E+03 3.858683E-08 +/-  9.445819E-11
1.242500E+03 3.836967E-08 +/-  9.365496E-11
1.243500E+03 3.818105E-08 +/-  9.348649E-11
1.244500E+03 3.801928E-08 +/-  9.310475E-11
1.245500E+03 3.776245E-08 +/-  9.261149E-11
1.246500E+03 3.752663E-08 +/-  9.190279E-11
1.247500E+03 3.746603E-08 +/-  9.215824E-11
1.248500E+03 3.723312E-08 +/-  9.173120E-11
1.249500E+03 3.691093E-08 +/-  9.103894E-11
1.250500E+03 3.690551E-08 +/-  9.093805E-11
1.251500E+03 3.668060E-08 +/-  9.064338E-11
1.252500E+03 3.630986E-08 +/-  8.989314E-11
1.253500E+03 3.636971E-08 +/-  8.987207E-11
1.254500E+03 3.591411E-08 +/-  8.911225E-11
1.255500E+03 3.578300E-08 +/-  8.875408E-11
1.256500E+03 3.569830E-08 +/-  8.864588E-11
1.257500E+03 3.556872E-08 +/-  8.829367E-11
1.258500E+03 3.525142E-08 +/-  8.771200E-11
1.259500E+03 3.511653E-08 +/-  8.759806E-11
1.260500E+03 3.490136E-08 +/-  8.702637E-11
1.261500E+03 3.473535E-08 +/-  8.696404E-11
1.262500E+03 3.458975E-08 +/-  8.643338E-11
1.263500E+03 3.443006E-08 +/-  8.637003E-11
1.264500E+03 3.428186E-08 +/-  8.581219E-11
1.265500E+03 3.396695E-08 +/-  8.533074E-11
1.266500E+03 3.384926E-08 +/-  8.516669E-11
1.267500E+03 3.364304E-08 +/-  8.461531E-11
1.268500E+03 3.353401E-08 +/-  8.436904E-11
1.269500E+03 3.333358E-08 +/-  8.416234E-11
1.270500E+03 3.316503E-08 +/-  8.366087E-11
1.271500E+03 3.302715E-08 +/-  8.346570E-11
1.272500E+03 3.290159E-08 +/-  8.312124E-11
1.273500E+03 3.251787E-08 +/-  8.231542E-11
1.274500E+03 3.253398E-08 +/-  8.264806E-11
1.275500E+03 3.231285E-08 +/-  8.193813E-11
1.276500E+03 3.205200E-08 +/-  8.168461E-11
1.277500E+03 3.201145E-08 +/-  8.136278E-11
1.278500E+03 3.179874E-08 +/-  8.111982E-11
1.279500E+03 3.167349E-08 +/-  8.086973E-11
1.280500E+03 3.150515E-08 +/-  8.041270E-11
1.281500E+03 3.141415E-08 +/-  8.035922E-11
1.282500E+03 3.122187E-08 +/-  8.004062E-11
1.283500E+03 3.082640E-08 +/-  7.910406E-11
1.284500E+03 3.085058E-08 +/-  7.920137E-11
1.285500E+03 3.076621E-08 +/-  7.892159E-11
1.286500E+03 3.049167E-08 +/-  7.849462E-11
1.287500E+03 3.038667E-08 +/-  7.825572E-11
1.288500E+03 3.032003E-08 +/-  7.808629E-11
1.289500E+03 2.999764E-08 +/-  7.752338E-11
1.290500E+03 2.986606E-08 +/-  7.722606E-11
1.291500E+03 2.975911E-08 +/-  7.699764E-11
1.292500E+03 2.959659E-08 +/-  7.676635E-11
1.293500E+03 2.952601E-08 +/-  7.657692E-11
1.294500E+03 2.925407E-08 +/-  7.596507E-11
1.295500E+03 2.913006E-08 +/-  7.576065E-11
1.296500E+03 2.910536E-08 +/-  7.567795E-11
1.297500E+03 2.874640E-08 +/-  7.504273E-11
1.298500E+03 2.875561E-08 +/-  7.501807E-11
1.299500E+03 2.854711E-08 +/-  7.473829E-11
1.300500E+03 2.841868E-08 +/-  7.445244E-11
1.301500E+03 2.830126E-08 +/-  7.414873E-11
1.302500E+03 2.815196E-08 +/-  7.381840E-11
1.303500E+03 2.798277E-08 +/-  7.353463E-11
1.304500E+03 2.780334E-08 +/-  7.322943E-11
1.305500E+03 2.775435E-08 +/-  7.308224E-11
1.306500E+03 2.753517E-08 +/-  7.267468E-11
1.307500E+03 2.747688E-08 +/-  7.230882E-11
1.308500E+03 2.730360E-08 +/-  7.221979E-11
1.309500E+03 2.721174E-08 +/-  7.204038E-11
1.310500E+03 2.690585E-08 +/-  7.140870E-11
1.311500E+03 2.680031E-08 +/-  7.123206E-11
1.312500E+03 2.679390E-08 +/-  7.091350E-11
1.313500E+03 2.664941E-08 +/-  7.084917E-11
1.314500E+03 2.645077E-08 +/-  7.057966E-11
1.315500E+03 2.633431E-08 +/-  7.029789E-11
1.316500E+03 2.620613E-08 +/-  6.995677E-11
1.317500E+03 2.604532E-08 +/-  6.945757E-11
1.318500E+03 2.596523E-08 +/-  6.943562E-11
1.319500E+03 2.580450E-08 +/-  6.922466E-11
1.320500E+03 2.569224E-08 +/-  6.903526E-11
1.321500E+03 2.543653E-08 +/-  6.840849E-11
1.322500E+03 2.550625E-08 +/-  6.844416E-11
1.323500E+03 2.525667E-08 +/-  6.795678E-11
1.324500E+03 2.518413E-08 +/-  6.798132E-11
1.325500E+03 2.508068E-08 +/-  6.783820E-11
1.326500E+03 2.489733E-08 +/-  6.734811E-11
1.327500E+03 2.479160E-08 +/-  6.703306E-11
1.328500E+03 2.464601E-08 +/-  6.671518E-11
1.329500E+03 2.449122E-08 +/-  6.648345E-11
1.330500E+03 2.447129E-08 +/-  6.657202E-11
1.331500E+03 2.431234E-08 +/-  6.619807E-11
1.332500E+03 2.416837E-08 +/-  6.590481E-11
1.333500E+03 2.406960E-08 +/-  6.549961E-11
1.334500E+03 2.396452E-08 +/-  6.530258E-11
1.335500E+03 2.377824E-08 +/-  6.519212E-11
1.336500E+03 2.373745E-08 +/-  6.507222E-11
