 c,C -> m,M
x-axis: "Mass{p3+p4}$"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 8.271263E-08 +/-  1.962556E-10
9.215000E+02 8.200513E-08 +/-  1.943046E-10
9.225000E+02 8.156927E-08 +/-  1.934699E-10
9.235000E+02 8.096532E-08 +/-  1.921002E-10
9.245000E+02 8.040988E-08 +/-  1.902663E-10
9.255000E+02 8.010965E-08 +/-  1.898288E-10
9.265000E+02 7.938096E-08 +/-  1.888415E-10
9.275000E+02 7.889844E-08 +/-  1.878225E-10
9.285000E+02 7.833789E-08 +/-  1.866582E-10
9.295000E+02 7.792192E-08 +/-  1.860900E-10
9.305000E+02 7.716374E-08 +/-  1.833202E-10
9.315000E+02 7.701914E-08 +/-  1.835905E-10
9.325000E+02 7.618459E-08 +/-  1.821363E-10
9.335000E+02 7.594354E-08 +/-  1.813580E-10
9.345000E+02 7.555494E-08 +/-  1.816255E-10
9.355000E+02 7.474726E-08 +/-  1.798978E-10
9.365000E+02 7.445136E-08 +/-  1.788268E-10
9.375000E+02 7.371465E-08 +/-  1.770538E-10
9.385000E+02 7.353633E-08 +/-  1.772748E-10
9.395000E+02 7.306425E-08 +/-  1.762166E-10
9.405000E+02 7.227863E-08 +/-  1.738974E-10
9.415000E+02 7.205193E-08 +/-  1.745980E-10
9.425000E+02 7.169982E-08 +/-  1.733997E-10
9.435000E+02 7.104509E-08 +/-  1.725022E-10
9.445000E+02 7.073891E-08 +/-  1.722284E-10
9.455000E+02 7.001677E-08 +/-  1.700201E-10
9.465000E+02 6.974676E-08 +/-  1.695074E-10
9.475000E+02 6.938179E-08 +/-  1.689223E-10
9.485000E+02 6.882382E-08 +/-  1.677453E-10
9.495000E+02 6.844289E-08 +/-  1.674471E-10
9.505000E+02 6.792920E-08 +/-  1.662366E-10
9.515000E+02 6.745993E-08 +/-  1.651480E-10
9.525000E+02 6.705089E-08 +/-  1.645135E-10
9.535000E+02 6.657380E-08 +/-  1.635674E-10
9.545000E+02 6.616198E-08 +/-  1.628362E-10
9.555000E+02 6.577713E-08 +/-  1.619448E-10
9.565000E+02 6.544167E-08 +/-  1.612688E-10
9.575000E+02 6.501275E-08 +/-  1.604942E-10
9.585000E+02 6.442406E-08 +/-  1.593177E-10
9.595000E+02 6.419571E-08 +/-  1.589926E-10
9.605000E+02 6.368041E-08 +/-  1.574189E-10
9.615000E+02 6.324099E-08 +/-  1.574180E-10
9.625000E+02 6.314728E-08 +/-  1.570721E-10
9.635000E+02 6.242035E-08 +/-  1.552329E-10
9.645000E+02 6.215536E-08 +/-  1.553950E-10
9.655000E+02 6.174268E-08 +/-  1.539245E-10
9.665000E+02 6.125305E-08 +/-  1.532854E-10
9.675000E+02 6.086667E-08 +/-  1.523353E-10
9.685000E+02 6.065382E-08 +/-  1.518665E-10
9.695000E+02 6.012853E-08 +/-  1.507264E-10
9.705000E+02 5.966113E-08 +/-  1.496834E-10
9.715000E+02 5.956795E-08 +/-  1.499556E-10
9.725000E+02 5.915553E-08 +/-  1.490675E-10
9.735000E+02 5.861140E-08 +/-  1.475272E-10
9.745000E+02 5.835581E-08 +/-  1.474600E-10
9.755000E+02 5.788386E-08 +/-  1.467680E-10
9.765000E+02 5.763126E-08 +/-  1.462000E-10
9.775000E+02 5.720950E-08 +/-  1.453037E-10
9.785000E+02 5.670768E-08 +/-  1.441625E-10
9.795000E+02 5.673471E-08 +/-  1.442632E-10
9.805000E+02 5.615815E-08 +/-  1.434717E-10
9.815000E+02 5.561592E-08 +/-  1.418464E-10
9.825000E+02 5.549371E-08 +/-  1.416224E-10
9.835000E+02 5.511900E-08 +/-  1.410593E-10
9.845000E+02 5.468716E-08 +/-  1.401956E-10
9.855000E+02 5.448157E-08 +/-  1.399606E-10
9.865000E+02 5.400988E-08 +/-  1.384601E-10
9.875000E+02 5.367101E-08 +/-  1.378962E-10
9.885000E+02 5.349119E-08 +/-  1.381363E-10
9.895000E+02 5.299824E-08 +/-  1.369530E-10
9.905000E+02 5.279412E-08 +/-  1.363993E-10
9.915000E+02 5.243528E-08 +/-  1.355938E-10
9.925000E+02 5.195565E-08 +/-  1.349749E-10
9.935000E+02 5.171794E-08 +/-  1.344006E-10
9.945000E+02 5.136186E-08 +/-  1.335190E-10
9.955000E+02 5.123436E-08 +/-  1.331848E-10
9.965000E+02 5.073479E-08 +/-  1.323731E-10
9.975000E+02 5.051947E-08 +/-  1.318934E-10
9.985000E+02 5.010321E-08 +/-  1.313962E-10
9.995000E+02 4.985724E-08 +/-  1.303643E-10
1.000500E+03 4.961912E-08 +/-  1.300091E-10
1.001500E+03 4.940005E-08 +/-  1.296738E-10
1.002500E+03 4.873779E-08 +/-  1.283992E-10
1.003500E+03 4.870071E-08 +/-  1.282863E-10
1.004500E+03 4.829845E-08 +/-  1.272158E-10
1.005500E+03 4.802226E-08 +/-  1.268530E-10
1.006500E+03 4.780673E-08 +/-  1.264851E-10
1.007500E+03 4.745335E-08 +/-  1.255996E-10
1.008500E+03 4.712536E-08 +/-  1.251015E-10
1.009500E+03 4.686458E-08 +/-  1.244223E-10
1.010500E+03 4.651619E-08 +/-  1.236576E-10
1.011500E+03 4.645905E-08 +/-  1.239376E-10
1.012500E+03 4.594052E-08 +/-  1.226989E-10
1.013500E+03 4.574750E-08 +/-  1.222240E-10
1.014500E+03 4.530711E-08 +/-  1.212268E-10
1.015500E+03 4.536030E-08 +/-  1.215250E-10
1.016500E+03 4.482913E-08 +/-  1.207236E-10
1.017500E+03 4.468385E-08 +/-  1.201972E-10
1.018500E+03 4.438936E-08 +/-  1.193260E-10
1.019500E+03 4.400750E-08 +/-  1.187581E-10
1.020500E+03 4.383782E-08 +/-  1.184222E-10
1.021500E+03 4.351726E-08 +/-  1.180029E-10
1.022500E+03 4.334824E-08 +/-  1.174373E-10
1.023500E+03 4.311200E-08 +/-  1.166598E-10
1.024500E+03 4.263648E-08 +/-  1.159172E-10
1.025500E+03 4.250066E-08 +/-  1.157584E-10
1.026500E+03 4.224041E-08 +/-  1.151659E-10
1.027500E+03 4.204009E-08 +/-  1.148802E-10
1.028500E+03 4.174679E-08 +/-  1.141893E-10
1.029500E+03 4.147735E-08 +/-  1.133296E-10
1.030500E+03 4.137372E-08 +/-  1.131298E-10
1.031500E+03 4.095093E-08 +/-  1.125700E-10
1.032500E+03 4.069406E-08 +/-  1.123465E-10
1.033500E+03 4.039108E-08 +/-  1.114543E-10
1.034500E+03 4.023181E-08 +/-  1.108967E-10
1.035500E+03 4.003597E-08 +/-  1.103168E-10
1.036500E+03 3.976314E-08 +/-  1.099336E-10
1.037500E+03 3.942836E-08 +/-  1.096404E-10
1.038500E+03 3.930335E-08 +/-  1.091374E-10
1.039500E+03 3.921826E-08 +/-  1.089879E-10
1.040500E+03 3.876092E-08 +/-  1.078649E-10
1.041500E+03 3.855780E-08 +/-  1.073417E-10
1.042500E+03 3.842912E-08 +/-  1.073722E-10
1.043500E+03 3.812303E-08 +/-  1.067320E-10
1.044500E+03 3.800810E-08 +/-  1.065768E-10
1.045500E+03 3.754586E-08 +/-  1.054693E-10
1.046500E+03 3.742945E-08 +/-  1.050828E-10
1.047500E+03 3.733743E-08 +/-  1.047243E-10
1.048500E+03 3.690166E-08 +/-  1.041412E-10
1.049500E+03 3.676971E-08 +/-  1.040145E-10
1.050500E+03 3.661664E-08 +/-  1.036926E-10
1.051500E+03 3.639431E-08 +/-  1.031683E-10
1.052500E+03 3.601091E-08 +/-  1.020331E-10
1.053500E+03 3.601150E-08 +/-  1.020332E-10
1.054500E+03 3.564538E-08 +/-  1.014017E-10
1.055500E+03 3.546697E-08 +/-  1.012753E-10
1.056500E+03 3.529953E-08 +/-  1.010207E-10
1.057500E+03 3.510529E-08 +/-  1.004694E-10
1.058500E+03 3.485294E-08 +/-  9.974837E-11
1.059500E+03 3.463881E-08 +/-  9.906710E-11
1.060500E+03 3.446845E-08 +/-  9.878794E-11
1.061500E+03 3.418950E-08 +/-  9.861233E-11
1.062500E+03 3.409468E-08 +/-  9.838506E-11
1.063500E+03 3.387098E-08 +/-  9.794536E-11
1.064500E+03 3.368290E-08 +/-  9.731094E-11
1.065500E+03 3.346879E-08 +/-  9.667208E-11
1.066500E+03 3.313464E-08 +/-  9.604408E-11
1.067500E+03 3.310043E-08 +/-  9.593276E-11
1.068500E+03 3.287760E-08 +/-  9.584340E-11
1.069500E+03 3.270675E-08 +/-  9.550481E-11
1.070500E+03 3.241621E-08 +/-  9.487011E-11
1.071500E+03 3.232597E-08 +/-  9.437399E-11
1.072500E+03 3.206813E-08 +/-  9.370473E-11
1.073500E+03 3.187627E-08 +/-  9.343961E-11
1.074500E+03 3.173914E-08 +/-  9.297647E-11
1.075500E+03 3.149943E-08 +/-  9.289296E-11
1.076500E+03 3.139439E-08 +/-  9.258985E-11
1.077500E+03 3.114339E-08 +/-  9.215364E-11
1.078500E+03 3.097232E-08 +/-  9.156004E-11
1.079500E+03 3.076213E-08 +/-  9.097180E-11
1.080500E+03 3.070962E-08 +/-  9.079757E-11
1.081500E+03 3.049823E-08 +/-  9.024124E-11
1.082500E+03 3.015754E-08 +/-  8.997059E-11
1.083500E+03 3.014621E-08 +/-  8.992919E-11
1.084500E+03 2.993819E-08 +/-  8.955616E-11
1.085500E+03 2.968733E-08 +/-  8.887308E-11
1.086500E+03 2.962235E-08 +/-  8.863141E-11
1.087500E+03 2.943481E-08 +/-  8.809259E-11
1.088500E+03 2.918625E-08 +/-  8.746764E-11
1.089500E+03 2.902598E-08 +/-  8.733135E-11
1.090500E+03 2.894503E-08 +/-  8.732141E-11
1.091500E+03 2.871815E-08 +/-  8.686121E-11
1.092500E+03 2.859779E-08 +/-  8.661179E-11
1.093500E+03 2.832246E-08 +/-  8.591839E-11
1.094500E+03 2.818135E-08 +/-  8.554937E-11
1.095500E+03 2.812275E-08 +/-  8.516051E-11
1.096500E+03 2.787763E-08 +/-  8.454691E-11
1.097500E+03 2.777560E-08 +/-  8.472789E-11
1.098500E+03 2.756239E-08 +/-  8.419341E-11
1.099500E+03 2.732238E-08 +/-  8.395568E-11
1.100500E+03 2.731556E-08 +/-  8.371444E-11
1.101500E+03 2.714166E-08 +/-  8.335253E-11
1.102500E+03 2.697304E-08 +/-  8.292444E-11
1.103500E+03 2.680006E-08 +/-  8.217652E-11
1.104500E+03 2.661188E-08 +/-  8.174148E-11
1.105500E+03 2.642433E-08 +/-  8.153490E-11
1.106500E+03 2.635879E-08 +/-  8.156539E-11
1.107500E+03 2.624979E-08 +/-  8.134621E-11
1.108500E+03 2.598736E-08 +/-  8.103804E-11
1.109500E+03 2.591848E-08 +/-  8.065028E-11
1.110500E+03 2.575350E-08 +/-  8.020764E-11
1.111500E+03 2.562018E-08 +/-  7.972860E-11
1.112500E+03 2.547370E-08 +/-  7.910240E-11
1.113500E+03 2.527029E-08 +/-  7.883260E-11
1.114500E+03 2.515657E-08 +/-  7.889083E-11
1.115500E+03 2.503393E-08 +/-  7.852951E-11
1.116500E+03 2.487657E-08 +/-  7.854102E-11
1.117500E+03 2.471774E-08 +/-  7.815508E-11
1.118500E+03 2.462961E-08 +/-  7.774544E-11
1.119500E+03 2.436853E-08 +/-  7.709606E-11
1.120500E+03 2.438676E-08 +/-  7.686570E-11
1.121500E+03 2.410903E-08 +/-  7.618802E-11
1.122500E+03 2.413039E-08 +/-  7.623404E-11
1.123500E+03 2.384105E-08 +/-  7.588178E-11
1.124500E+03 2.374842E-08 +/-  7.585362E-11
1.125500E+03 2.372857E-08 +/-  7.577645E-11
