 d,D -> m,M
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 1.766657E-04 +/-  3.888470E-07
3.215000E+02 1.745353E-04 +/-  3.831052E-07
3.225000E+02 1.727663E-04 +/-  3.809086E-07
3.235000E+02 1.705089E-04 +/-  3.750304E-07
3.245000E+02 1.680957E-04 +/-  3.682326E-07
3.255000E+02 1.653428E-04 +/-  3.631803E-07
3.265000E+02 1.638746E-04 +/-  3.595325E-07
3.275000E+02 1.623727E-04 +/-  3.579132E-07
3.285000E+02 1.595291E-04 +/-  3.516039E-07
3.295000E+02 1.580874E-04 +/-  3.501942E-07
3.305000E+02 1.557294E-04 +/-  3.442806E-07
3.315000E+02 1.536390E-04 +/-  3.400653E-07
3.325000E+02 1.521975E-04 +/-  3.369820E-07
3.335000E+02 1.503420E-04 +/-  3.332445E-07
3.345000E+02 1.484132E-04 +/-  3.288262E-07
3.355000E+02 1.464314E-04 +/-  3.242876E-07
3.365000E+02 1.448469E-04 +/-  3.237336E-07
3.375000E+02 1.427933E-04 +/-  3.182234E-07
3.385000E+02 1.412037E-04 +/-  3.160696E-07
3.395000E+02 1.393274E-04 +/-  3.130624E-07
3.405000E+02 1.378736E-04 +/-  3.099173E-07
3.415000E+02 1.359797E-04 +/-  3.058068E-07
3.425000E+02 1.345233E-04 +/-  3.023035E-07
3.435000E+02 1.329243E-04 +/-  2.987642E-07
3.445000E+02 1.313727E-04 +/-  2.964389E-07
3.455000E+02 1.298208E-04 +/-  2.957493E-07
3.465000E+02 1.280302E-04 +/-  2.905357E-07
3.475000E+02 1.266557E-04 +/-  2.886958E-07
3.485000E+02 1.251056E-04 +/-  2.857489E-07
3.495000E+02 1.237468E-04 +/-  2.821689E-07
3.505000E+02 1.222314E-04 +/-  2.793846E-07
3.515000E+02 1.207374E-04 +/-  2.764103E-07
3.525000E+02 1.194321E-04 +/-  2.736097E-07
3.535000E+02 1.177223E-04 +/-  2.703285E-07
3.545000E+02 1.167945E-04 +/-  2.690467E-07
3.555000E+02 1.149854E-04 +/-  2.667474E-07
3.565000E+02 1.139784E-04 +/-  2.653316E-07
3.575000E+02 1.125052E-04 +/-  2.611340E-07
3.585000E+02 1.114278E-04 +/-  2.584163E-07
3.595000E+02 1.096910E-04 +/-  2.545218E-07
3.605000E+02 1.088834E-04 +/-  2.523098E-07
3.615000E+02 1.074401E-04 +/-  2.520307E-07
3.625000E+02 1.065351E-04 +/-  2.512410E-07
3.635000E+02 1.047700E-04 +/-  2.477759E-07
3.645000E+02 1.035463E-04 +/-  2.441508E-07
3.655000E+02 1.028062E-04 +/-  2.429130E-07
3.665000E+02 1.013715E-04 +/-  2.390677E-07
3.675000E+02 1.003477E-04 +/-  2.372688E-07
3.685000E+02 9.921443E-05 +/-  2.352326E-07
3.695000E+02 9.819026E-05 +/-  2.338493E-07
