 d,D -> m,M
x-axis: "Mass{p3+p4}$"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 3.462368E-04 +/-  7.570141E-07
3.215000E+02 3.419109E-04 +/-  7.487833E-07
3.225000E+02 3.375365E-04 +/-  7.391539E-07
3.235000E+02 3.322871E-04 +/-  7.269495E-07
3.245000E+02 3.281376E-04 +/-  7.170004E-07
3.255000E+02 3.240303E-04 +/-  7.105117E-07
3.265000E+02 3.190481E-04 +/-  6.962318E-07
3.275000E+02 3.142337E-04 +/-  6.883646E-07
3.285000E+02 3.106657E-04 +/-  6.814407E-07
3.295000E+02 3.066532E-04 +/-  6.755405E-07
3.305000E+02 3.019674E-04 +/-  6.662081E-07
3.315000E+02 2.982263E-04 +/-  6.572654E-07
3.325000E+02 2.946756E-04 +/-  6.498249E-07
3.335000E+02 2.896108E-04 +/-  6.377210E-07
3.345000E+02 2.865478E-04 +/-  6.334106E-07
3.355000E+02 2.830740E-04 +/-  6.261491E-07
3.365000E+02 2.787871E-04 +/-  6.160509E-07
3.375000E+02 2.756206E-04 +/-  6.140822E-07
3.385000E+02 2.717814E-04 +/-  6.080604E-07
3.395000E+02 2.680746E-04 +/-  6.002092E-07
3.405000E+02 2.643484E-04 +/-  5.945038E-07
3.415000E+02 2.612759E-04 +/-  5.843855E-07
3.425000E+02 2.582278E-04 +/-  5.782436E-07
3.435000E+02 2.542602E-04 +/-  5.698690E-07
3.445000E+02 2.518029E-04 +/-  5.686283E-07
3.455000E+02 2.474518E-04 +/-  5.575713E-07
3.465000E+02 2.454387E-04 +/-  5.571443E-07
3.475000E+02 2.413356E-04 +/-  5.500797E-07
3.485000E+02 2.392439E-04 +/-  5.455809E-07
3.495000E+02 2.358787E-04 +/-  5.369620E-07
3.505000E+02 2.326632E-04 +/-  5.297495E-07
3.515000E+02 2.294781E-04 +/-  5.238344E-07
3.525000E+02 2.271154E-04 +/-  5.164430E-07
3.535000E+02 2.239640E-04 +/-  5.155073E-07
3.545000E+02 2.213747E-04 +/-  5.143578E-07
3.555000E+02 2.186966E-04 +/-  5.063344E-07
