 G,G -> u,U
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.220500E+03 -2.590961E-02 +/-  6.047649E-05
1.221500E+03 -2.581880E-02 +/-  6.025374E-05
1.222500E+03 -2.570466E-02 +/-  5.996190E-05
1.223500E+03 -2.542672E-02 +/-  5.938731E-05
1.224500E+03 -2.540089E-02 +/-  5.934174E-05
1.225500E+03 -2.528691E-02 +/-  5.895058E-05
1.226500E+03 -2.506134E-02 +/-  5.862274E-05
1.227500E+03 -2.502807E-02 +/-  5.862388E-05
1.228500E+03 -2.488243E-02 +/-  5.825736E-05
1.229500E+03 -2.474409E-02 +/-  5.799423E-05
1.230500E+03 -2.463258E-02 +/-  5.778784E-05
1.231500E+03 -2.449569E-02 +/-  5.764217E-05
1.232500E+03 -2.426336E-02 +/-  5.716597E-05
1.233500E+03 -2.430302E-02 +/-  5.722301E-05
1.234500E+03 -2.414214E-02 +/-  5.691879E-05
1.235500E+03 -2.400340E-02 +/-  5.661207E-05
1.236500E+03 -2.380621E-02 +/-  5.624126E-05
1.237500E+03 -2.375274E-02 +/-  5.629292E-05
1.238500E+03 -2.365713E-02 +/-  5.596993E-05
1.239500E+03 -2.349468E-02 +/-  5.563475E-05
1.240500E+03 -2.334642E-02 +/-  5.558824E-05
1.241500E+03 -2.328280E-02 +/-  5.545272E-05
1.242500E+03 -2.313104E-02 +/-  5.508156E-05
1.243500E+03 -2.300186E-02 +/-  5.482958E-05
1.244500E+03 -2.294683E-02 +/-  5.473292E-05
1.245500E+03 -2.274575E-02 +/-  5.434403E-05
1.246500E+03 -2.266929E-02 +/-  5.405025E-05
1.247500E+03 -2.254622E-02 +/-  5.398390E-05
1.248500E+03 -2.248738E-02 +/-  5.392532E-05
1.249500E+03 -2.233411E-02 +/-  5.362201E-05
1.250500E+03 -2.219209E-02 +/-  5.329194E-05
1.251500E+03 -2.212663E-02 +/-  5.320596E-05
1.252500E+03 -2.194974E-02 +/-  5.303241E-05
1.253500E+03 -2.186774E-02 +/-  5.269249E-05
1.254500E+03 -2.180427E-02 +/-  5.262396E-05
1.255500E+03 -2.163786E-02 +/-  5.228459E-05
1.256500E+03 -2.156594E-02 +/-  5.224295E-05
1.257500E+03 -2.144301E-02 +/-  5.189805E-05
1.258500E+03 -2.135070E-02 +/-  5.175621E-05
1.259500E+03 -2.122942E-02 +/-  5.156060E-05
1.260500E+03 -2.108388E-02 +/-  5.126041E-05
1.261500E+03 -2.097448E-02 +/-  5.107075E-05
1.262500E+03 -2.095626E-02 +/-  5.110904E-05
1.263500E+03 -2.075551E-02 +/-  5.068552E-05
1.264500E+03 -2.076063E-02 +/-  5.065850E-05
1.265500E+03 -2.056977E-02 +/-  5.033958E-05
1.266500E+03 -2.051608E-02 +/-  5.033571E-05
1.267500E+03 -2.040021E-02 +/-  5.001116E-05
1.268500E+03 -2.023547E-02 +/-  4.964460E-05
1.269500E+03 -2.015057E-02 +/-  4.963956E-05
1.270500E+03 -2.011964E-02 +/-  4.947386E-05
1.271500E+03 -1.996108E-02 +/-  4.925835E-05
1.272500E+03 -1.986618E-02 +/-  4.894041E-05
1.273500E+03 -1.980896E-02 +/-  4.885378E-05
1.274500E+03 -1.966752E-02 +/-  4.869847E-05
1.275500E+03 -1.958914E-02 +/-  4.851426E-05
1.276500E+03 -1.953839E-02 +/-  4.839360E-05
1.277500E+03 -1.934205E-02 +/-  4.796777E-05
1.278500E+03 -1.925083E-02 +/-  4.787309E-05
1.279500E+03 -1.923321E-02 +/-  4.792584E-05
1.280500E+03 -1.905761E-02 +/-  4.751573E-05
1.281500E+03 -1.899078E-02 +/-  4.740796E-05
1.282500E+03 -1.893878E-02 +/-  4.724040E-05
1.283500E+03 -1.881104E-02 +/-  4.712797E-05
1.284500E+03 -1.869581E-02 +/-  4.679471E-05
1.285500E+03 -1.860597E-02 +/-  4.674888E-05
1.286500E+03 -1.857429E-02 +/-  4.651840E-05
1.287500E+03 -1.837738E-02 +/-  4.619612E-05
