 G,G -> u,U
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 -4.450836E+01 +/-  9.736747E-02
3.215000E+02 -4.396818E+01 +/-  9.621325E-02
3.225000E+02 -4.333559E+01 +/-  9.474331E-02
3.235000E+02 -4.260721E+01 +/-  9.329907E-02
3.245000E+02 -4.182610E+01 +/-  9.117526E-02
3.255000E+02 -4.133976E+01 +/-  9.029847E-02
3.265000E+02 -4.061268E+01 +/-  8.869646E-02
3.275000E+02 -4.001702E+01 +/-  8.738587E-02
3.285000E+02 -3.947567E+01 +/-  8.660938E-02
3.295000E+02 -3.890381E+01 +/-  8.567891E-02
3.305000E+02 -3.815674E+01 +/-  8.386302E-02
3.315000E+02 -3.771325E+01 +/-  8.307146E-02
3.325000E+02 -3.713751E+01 +/-  8.184819E-02
3.335000E+02 -3.658141E+01 +/-  8.060151E-02
3.345000E+02 -3.604763E+01 +/-  7.925476E-02
3.355000E+02 -3.548542E+01 +/-  7.818904E-02
3.365000E+02 -3.491733E+01 +/-  7.723269E-02
3.375000E+02 -3.442693E+01 +/-  7.634210E-02
3.385000E+02 -3.395063E+01 +/-  7.578807E-02
3.395000E+02 -3.344903E+01 +/-  7.486843E-02
3.405000E+02 -3.289804E+01 +/-  7.356773E-02
3.415000E+02 -3.241004E+01 +/-  7.245223E-02
3.425000E+02 -3.210820E+01 +/-  7.195574E-02
3.435000E+02 -3.146160E+01 +/-  7.057733E-02
3.445000E+02 -3.106894E+01 +/-  6.973907E-02
3.455000E+02 -3.062628E+01 +/-  6.895086E-02
3.465000E+02 -3.012344E+01 +/-  6.807127E-02
3.475000E+02 -2.976693E+01 +/-  6.778382E-02
3.485000E+02 -2.932540E+01 +/-  6.688095E-02
3.495000E+02 -2.882886E+01 +/-  6.555741E-02
3.505000E+02 -2.853982E+01 +/-  6.472959E-02
3.515000E+02 -2.807372E+01 +/-  6.387690E-02
3.525000E+02 -2.760728E+01 +/-  6.342463E-02
3.535000E+02 -2.724154E+01 +/-  6.256221E-02
3.545000E+02 -2.689301E+01 +/-  6.197053E-02
3.555000E+02 -2.648962E+01 +/-  6.120388E-02
3.565000E+02 -2.615043E+01 +/-  6.045607E-02
3.575000E+02 -2.574870E+01 +/-  5.975904E-02
3.585000E+02 -2.541254E+01 +/-  5.884752E-02
3.595000E+02 -2.502109E+01 +/-  5.826860E-02
3.605000E+02 -2.471527E+01 +/-  5.746406E-02
3.615000E+02 -2.427178E+01 +/-  5.662414E-02
3.625000E+02 -2.398643E+01 +/-  5.625027E-02
3.635000E+02 -2.366614E+01 +/-  5.588462E-02
3.645000E+02 -2.338332E+01 +/-  5.522576E-02
3.655000E+02 -2.297962E+01 +/-  5.432413E-02
3.665000E+02 -2.272959E+01 +/-  5.381852E-02
3.675000E+02 -2.241651E+01 +/-  5.307645E-02
3.685000E+02 -2.201560E+01 +/-  5.213986E-02
3.695000E+02 -2.180944E+01 +/-  5.203821E-02
3.705000E+02 -2.147825E+01 +/-  5.154799E-02
3.715000E+02 -2.124179E+01 +/-  5.110155E-02
3.725000E+02 -2.082416E+01 +/-  5.006313E-02
3.735000E+02 -2.065053E+01 +/-  4.981349E-02
3.745000E+02 -2.027853E+01 +/-  4.907176E-02
3.755000E+02 -2.006337E+01 +/-  4.861370E-02
3.765000E+02 -1.980984E+01 +/-  4.801015E-02
3.775000E+02 -1.951498E+01 +/-  4.742783E-02
3.785000E+02 -1.927407E+01 +/-  4.706890E-02
3.795000E+02 -1.895097E+01 +/-  4.650843E-02
3.805000E+02 -1.877290E+01 +/-  4.602978E-02
3.815000E+02 -1.846648E+01 +/-  4.547712E-02
3.825000E+02 -1.826070E+01 +/-  4.502328E-02
3.835000E+02 -1.806823E+01 +/-  4.495258E-02
3.845000E+02 -1.776190E+01 +/-  4.406962E-02
3.855000E+02 -1.750704E+01 +/-  4.366068E-02
3.865000E+02 -1.733284E+01 +/-  4.311971E-02
3.875000E+02 -1.705039E+01 +/-  4.276044E-02
3.885000E+02 -1.683769E+01 +/-  4.229201E-02
3.895000E+02 -1.665526E+01 +/-  4.178356E-02
3.905000E+02 -1.637982E+01 +/-  4.120990E-02
3.915000E+02 -1.621893E+01 +/-  4.108781E-02
3.925000E+02 -1.598646E+01 +/-  4.077805E-02
3.935000E+02 -1.575305E+01 +/-  4.021787E-02
3.945000E+02 -1.558385E+01 +/-  3.975800E-02
3.955000E+02 -1.536570E+01 +/-  3.945980E-02
3.965000E+02 -1.514136E+01 +/-  3.895868E-02
3.975000E+02 -1.498581E+01 +/-  3.879398E-02
3.985000E+02 -1.477853E+01 +/-  3.810289E-02
3.995000E+02 -1.462128E+01 +/-  3.789996E-02
4.005000E+02 -1.441387E+01 +/-  3.751115E-02
4.015000E+02 -1.423723E+01 +/-  3.704761E-02
4.025000E+02 -1.407720E+01 +/-  3.685357E-02
4.035000E+02 -1.385586E+01 +/-  3.628921E-02
4.045000E+02 -1.367401E+01 +/-  3.596052E-02
4.055000E+02 -1.347760E+01 +/-  3.557285E-02
4.065000E+02 -1.338993E+01 +/-  3.536241E-02
4.075000E+02 -1.318116E+01 +/-  3.498624E-02
4.085000E+02 -1.293602E+01 +/-  3.442909E-02
4.095000E+02 -1.285079E+01 +/-  3.427641E-02
4.105000E+02 -1.272012E+01 +/-  3.402655E-02
4.115000E+02 -1.250660E+01 +/-  3.363141E-02
4.125000E+02 -1.236876E+01 +/-  3.323705E-02
4.135000E+02 -1.226086E+01 +/-  3.304198E-02
4.145000E+02 -1.200933E+01 +/-  3.265098E-02
4.155000E+02 -1.190741E+01 +/-  3.240147E-02
4.165000E+02 -1.176715E+01 +/-  3.208048E-02
4.175000E+02 -1.162523E+01 +/-  3.183498E-02
4.185000E+02 -1.146350E+01 +/-  3.138363E-02
4.195000E+02 -1.131747E+01 +/-  3.120418E-02
4.205000E+02 -1.119648E+01 +/-  3.094386E-02
4.215000E+02 -1.106091E+01 +/-  3.067475E-02
4.225000E+02 -1.093433E+01 +/-  3.039725E-02
4.235000E+02 -1.080192E+01 +/-  3.012899E-02
4.245000E+02 -1.064824E+01 +/-  2.968921E-02
4.255000E+02 -1.051342E+01 +/-  2.953456E-02
4.265000E+02 -1.039391E+01 +/-  2.926392E-02
4.275000E+02 -1.032010E+01 +/-  2.911334E-02
4.285000E+02 -1.012782E+01 +/-  2.868803E-02
4.295000E+02 -1.003074E+01 +/-  2.855920E-02
4.305000E+02 -9.867628E+00 +/-  2.808322E-02
4.315000E+02 -9.812377E+00 +/-  2.792834E-02
4.325000E+02 -9.676043E+00 +/-  2.780650E-02
4.335000E+02 -9.539032E+00 +/-  2.742669E-02
4.345000E+02 -9.433859E+00 +/-  2.728661E-02
4.355000E+02 -9.341023E+00 +/-  2.700990E-02
4.365000E+02 -9.209248E+00 +/-  2.677548E-02
4.375000E+02 -9.081279E+00 +/-  2.642207E-02
