 s,S -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.220500E+03 3.689103E-08 +/-  8.866861E-11
1.221500E+03 3.659814E-08 +/-  8.778222E-11
1.222500E+03 3.659586E-08 +/-  8.780530E-11
1.223500E+03 3.624204E-08 +/-  8.706348E-11
1.224500E+03 3.609066E-08 +/-  8.664929E-11
1.225500E+03 3.603991E-08 +/-  8.663069E-11
1.226500E+03 3.575882E-08 +/-  8.584526E-11
1.227500E+03 3.568356E-08 +/-  8.594624E-11
1.228500E+03 3.545458E-08 +/-  8.545692E-11
1.229500E+03 3.531482E-08 +/-  8.503077E-11
1.230500E+03 3.510035E-08 +/-  8.476244E-11
1.231500E+03 3.483059E-08 +/-  8.424804E-11
1.232500E+03 3.478360E-08 +/-  8.406219E-11
1.233500E+03 3.465306E-08 +/-  8.384193E-11
1.234500E+03 3.445799E-08 +/-  8.358644E-11
1.235500E+03 3.427276E-08 +/-  8.320398E-11
1.236500E+03 3.410146E-08 +/-  8.273039E-11
1.237500E+03 3.398497E-08 +/-  8.257710E-11
1.238500E+03 3.372162E-08 +/-  8.198023E-11
1.239500E+03 3.358852E-08 +/-  8.172721E-11
1.240500E+03 3.342505E-08 +/-  8.148317E-11
1.241500E+03 3.334662E-08 +/-  8.156314E-11
1.242500E+03 3.309618E-08 +/-  8.104096E-11
1.243500E+03 3.303254E-08 +/-  8.072659E-11
1.244500E+03 3.284478E-08 +/-  8.055343E-11
1.245500E+03 3.259637E-08 +/-  7.995038E-11
1.246500E+03 3.248127E-08 +/-  7.967677E-11
1.247500E+03 3.243021E-08 +/-  7.943635E-11
1.248500E+03 3.217431E-08 +/-  7.919286E-11
1.249500E+03 3.206773E-08 +/-  7.901270E-11
1.250500E+03 3.192976E-08 +/-  7.858417E-11
1.251500E+03 3.161817E-08 +/-  7.799614E-11
1.252500E+03 3.168028E-08 +/-  7.818096E-11
