 s,S -> m,M
x-axis: "Mass{p3+p4}"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 9.565373E-09 +/-  2.337606E-11
1.521500E+03 9.538924E-09 +/-  2.330974E-11
1.522500E+03 9.516222E-09 +/-  2.324358E-11
1.523500E+03 9.442130E-09 +/-  2.307186E-11
1.524500E+03 9.427254E-09 +/-  2.309047E-11
1.525500E+03 9.381036E-09 +/-  2.293614E-11
1.526500E+03 9.338054E-09 +/-  2.284388E-11
1.527500E+03 9.301772E-09 +/-  2.275885E-11
1.528500E+03 9.257927E-09 +/-  2.271739E-11
1.529500E+03 9.215275E-09 +/-  2.259024E-11
1.530500E+03 9.173445E-09 +/-  2.247496E-11
1.531500E+03 9.163286E-09 +/-  2.256435E-11
1.532500E+03 9.115744E-09 +/-  2.242656E-11
1.533500E+03 9.066810E-09 +/-  2.232159E-11
1.534500E+03 9.043244E-09 +/-  2.229903E-11
1.535500E+03 8.968883E-09 +/-  2.214570E-11
1.536500E+03 8.971547E-09 +/-  2.215438E-11
1.537500E+03 8.923988E-09 +/-  2.201641E-11
1.538500E+03 8.891446E-09 +/-  2.202466E-11
1.539500E+03 8.859269E-09 +/-  2.194170E-11
1.540500E+03 8.799124E-09 +/-  2.178356E-11
1.541500E+03 8.777612E-09 +/-  2.176360E-11
1.542500E+03 8.745934E-09 +/-  2.169083E-11
1.543500E+03 8.710015E-09 +/-  2.165474E-11
1.544500E+03 8.662608E-09 +/-  2.153021E-11
1.545500E+03 8.647293E-09 +/-  2.152185E-11
1.546500E+03 8.589946E-09 +/-  2.142786E-11
1.547500E+03 8.559755E-09 +/-  2.138088E-11
1.548500E+03 8.509316E-09 +/-  2.127452E-11
1.549500E+03 8.511473E-09 +/-  2.118905E-11
1.550500E+03 8.450487E-09 +/-  2.117749E-11
1.551500E+03 8.423918E-09 +/-  2.112485E-11
1.552500E+03 8.362687E-09 +/-  2.094994E-11
1.553500E+03 8.367428E-09 +/-  2.097732E-11
1.554500E+03 8.338023E-09 +/-  2.092089E-11
1.555500E+03 8.282551E-09 +/-  2.083662E-11
1.556500E+03 8.239350E-09 +/-  2.069677E-11
1.557500E+03 8.235653E-09 +/-  2.068151E-11
1.558500E+03 8.188828E-09 +/-  2.064310E-11
1.559500E+03 8.142394E-09 +/-  2.055362E-11
1.560500E+03 8.127024E-09 +/-  2.056361E-11
1.561500E+03 8.075956E-09 +/-  2.039781E-11
1.562500E+03 8.008964E-09 +/-  2.030554E-11
1.563500E+03 8.038178E-09 +/-  2.035552E-11
1.564500E+03 8.005735E-09 +/-  2.030911E-11
1.565500E+03 7.932377E-09 +/-  2.012944E-11
1.566500E+03 7.922223E-09 +/-  2.010728E-11
1.567500E+03 7.888307E-09 +/-  2.007290E-11
1.568500E+03 7.846235E-09 +/-  1.998633E-11
1.569500E+03 7.825087E-09 +/-  1.994043E-11
1.570500E+03 7.785317E-09 +/-  1.983298E-11
1.571500E+03 7.777703E-09 +/-  1.984406E-11
1.572500E+03 7.703881E-09 +/-  1.969337E-11
1.573500E+03 7.699527E-09 +/-  1.968181E-11
1.574500E+03 7.661952E-09 +/-  1.959446E-11
1.575500E+03 7.640410E-09 +/-  1.959506E-11
1.576500E+03 7.609824E-09 +/-  1.950463E-11
1.577500E+03 7.575342E-09 +/-  1.942833E-11
1.578500E+03 7.535381E-09 +/-  1.937730E-11
1.579500E+03 7.496685E-09 +/-  1.932953E-11
1.580500E+03 7.493898E-09 +/-  1.927562E-11
1.581500E+03 7.454420E-09 +/-  1.921992E-11
1.582500E+03 7.416650E-09 +/-  1.915294E-11
1.583500E+03 7.398136E-09 +/-  1.908773E-11
1.584500E+03 7.350961E-09 +/-  1.902868E-11
1.585500E+03 7.326163E-09 +/-  1.898821E-11
1.586500E+03 7.288400E-09 +/-  1.883997E-11
1.587500E+03 7.271218E-09 +/-  1.887214E-11
1.588500E+03 7.259920E-09 +/-  1.882367E-11
1.589500E+03 7.193237E-09 +/-  1.871415E-11
1.590500E+03 7.170903E-09 +/-  1.866427E-11
1.591500E+03 7.191223E-09 +/-  1.866231E-11
1.592500E+03 7.110483E-09 +/-  1.854042E-11
1.593500E+03 7.106233E-09 +/-  1.852909E-11
1.594500E+03 7.038826E-09 +/-  1.843277E-11
1.595500E+03 7.048951E-09 +/-  1.838636E-11
1.596500E+03 7.022735E-09 +/-  1.834189E-11
1.597500E+03 6.973168E-09 +/-  1.826529E-11
1.598500E+03 6.959110E-09 +/-  1.823530E-11
1.599500E+03 6.919499E-09 +/-  1.817064E-11
1.600500E+03 6.899391E-09 +/-  1.812375E-11
1.601500E+03 6.892018E-09 +/-  1.810926E-11
1.602500E+03 6.825096E-09 +/-  1.793962E-11
1.603500E+03 6.810127E-09 +/-  1.796144E-11
1.604500E+03 6.802464E-09 +/-  1.793807E-11
1.605500E+03 6.758326E-09 +/-  1.785940E-11
1.606500E+03 6.731062E-09 +/-  1.778155E-11
1.607500E+03 6.696011E-09 +/-  1.770875E-11
1.608500E+03 6.676618E-09 +/-  1.769951E-11
1.609500E+03 6.657733E-09 +/-  1.766090E-11
1.610500E+03 6.637733E-09 +/-  1.759414E-11
1.611500E+03 6.574105E-09 +/-  1.747489E-11
1.612500E+03 6.589457E-09 +/-  1.749418E-11
1.613500E+03 6.557343E-09 +/-  1.744305E-11
1.614500E+03 6.507331E-09 +/-  1.737896E-11
1.615500E+03 6.486582E-09 +/-  1.729079E-11
1.616500E+03 6.479876E-09 +/-  1.730076E-11
1.617500E+03 6.422870E-09 +/-  1.716090E-11
1.618500E+03 6.431421E-09 +/-  1.719812E-11
1.619500E+03 6.386696E-09 +/-  1.710481E-11
1.620500E+03 6.367118E-09 +/-  1.706730E-11
1.621500E+03 6.337443E-09 +/-  1.700475E-11
1.622500E+03 6.317333E-09 +/-  1.696554E-11
