 s,S -> m,M
x-axis: "Mass{p3+p4}$"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
9.205000E+02 3.140654E-07 +/-  7.433546E-10
9.215000E+02 3.112491E-07 +/-  7.357463E-10
9.225000E+02 3.094524E-07 +/-  7.306607E-10
9.235000E+02 3.080461E-07 +/-  7.296460E-10
9.245000E+02 3.057724E-07 +/-  7.219938E-10
9.255000E+02 3.046187E-07 +/-  7.201757E-10
9.265000E+02 3.018768E-07 +/-  7.161113E-10
9.275000E+02 3.007483E-07 +/-  7.137969E-10
9.285000E+02 2.988432E-07 +/-  7.100012E-10
9.295000E+02 2.969085E-07 +/-  7.065135E-10
9.305000E+02 2.961539E-07 +/-  7.041115E-10
9.315000E+02 2.922533E-07 +/-  6.957495E-10
9.325000E+02 2.914594E-07 +/-  6.949920E-10
9.335000E+02 2.898459E-07 +/-  6.914705E-10
9.345000E+02 2.883864E-07 +/-  6.882634E-10
9.355000E+02 2.864346E-07 +/-  6.852882E-10
9.365000E+02 2.850436E-07 +/-  6.857261E-10
9.375000E+02 2.821722E-07 +/-  6.755880E-10
9.385000E+02 2.813780E-07 +/-  6.767065E-10
9.395000E+02 2.796871E-07 +/-  6.734621E-10
9.405000E+02 2.780950E-07 +/-  6.677379E-10
9.415000E+02 2.764757E-07 +/-  6.666918E-10
9.425000E+02 2.747239E-07 +/-  6.624790E-10
9.435000E+02 2.728655E-07 +/-  6.598832E-10
9.445000E+02 2.713269E-07 +/-  6.565137E-10
9.455000E+02 2.707542E-07 +/-  6.558687E-10
9.465000E+02 2.675288E-07 +/-  6.494238E-10
9.475000E+02 2.667349E-07 +/-  6.489279E-10
9.485000E+02 2.650155E-07 +/-  6.450478E-10
9.495000E+02 2.636764E-07 +/-  6.417241E-10
9.505000E+02 2.619561E-07 +/-  6.391719E-10
9.515000E+02 2.597291E-07 +/-  6.325689E-10
9.525000E+02 2.592618E-07 +/-  6.330086E-10
9.535000E+02 2.574967E-07 +/-  6.296303E-10
9.545000E+02 2.557509E-07 +/-  6.280168E-10
9.555000E+02 2.544510E-07 +/-  6.243139E-10
9.565000E+02 2.523361E-07 +/-  6.200723E-10
9.575000E+02 2.516490E-07 +/-  6.200250E-10
9.585000E+02 2.497016E-07 +/-  6.160618E-10
9.595000E+02 2.488807E-07 +/-  6.135166E-10
9.605000E+02 2.463370E-07 +/-  6.081121E-10
9.615000E+02 2.463626E-07 +/-  6.086139E-10
9.625000E+02 2.434875E-07 +/-  6.018201E-10
9.635000E+02 2.423663E-07 +/-  6.011747E-10
9.645000E+02 2.422559E-07 +/-  6.010788E-10
9.655000E+02 2.394490E-07 +/-  5.942530E-10
9.665000E+02 2.383965E-07 +/-  5.932848E-10
9.675000E+02 2.368866E-07 +/-  5.912214E-10
9.685000E+02 2.357699E-07 +/-  5.879164E-10
9.695000E+02 2.341358E-07 +/-  5.856801E-10
9.705000E+02 2.328372E-07 +/-  5.830293E-10
9.715000E+02 2.319632E-07 +/-  5.808971E-10
9.725000E+02 2.298299E-07 +/-  5.772476E-10
9.735000E+02 2.295325E-07 +/-  5.761737E-10
9.745000E+02 2.273571E-07 +/-  5.729146E-10
9.755000E+02 2.262124E-07 +/-  5.686300E-10
9.765000E+02 2.247202E-07 +/-  5.658365E-10
9.775000E+02 2.236460E-07 +/-  5.641385E-10
9.785000E+02 2.226753E-07 +/-  5.621101E-10
9.795000E+02 2.209044E-07 +/-  5.596045E-10
9.805000E+02 2.200762E-07 +/-  5.569518E-10
9.815000E+02 2.183804E-07 +/-  5.547091E-10
9.825000E+02 2.174838E-07 +/-  5.530741E-10
9.835000E+02 2.154879E-07 +/-  5.496652E-10
9.845000E+02 2.150980E-07 +/-  5.471849E-10
9.855000E+02 2.133656E-07 +/-  5.449107E-10
9.865000E+02 2.122566E-07 +/-  5.432756E-10
9.875000E+02 2.116760E-07 +/-  5.408322E-10
9.885000E+02 2.095632E-07 +/-  5.381625E-10
9.895000E+02 2.090759E-07 +/-  5.355287E-10
9.905000E+02 2.071092E-07 +/-  5.324338E-10
9.915000E+02 2.069478E-07 +/-  5.320308E-10
9.925000E+02 2.049459E-07 +/-  5.296338E-10
9.935000E+02 2.039011E-07 +/-  5.258744E-10
9.945000E+02 2.025191E-07 +/-  5.221366E-10
9.955000E+02 2.019047E-07 +/-  5.214790E-10
9.965000E+02 2.007250E-07 +/-  5.209439E-10
9.975000E+02 1.998337E-07 +/-  5.176527E-10
9.985000E+02 1.982139E-07 +/-  5.140671E-10
9.995000E+02 1.971693E-07 +/-  5.123070E-10
1.000500E+03 1.960596E-07 +/-  5.106856E-10
1.001500E+03 1.947271E-07 +/-  5.093446E-10
1.002500E+03 1.936939E-07 +/-  5.059527E-10
1.003500E+03 1.931544E-07 +/-  5.037026E-10
1.004500E+03 1.912667E-07 +/-  5.015087E-10
1.005500E+03 1.903581E-07 +/-  4.996428E-10
1.006500E+03 1.898820E-07 +/-  4.991661E-10
1.007500E+03 1.884406E-07 +/-  4.957552E-10
1.008500E+03 1.873024E-07 +/-  4.927279E-10
1.009500E+03 1.866829E-07 +/-  4.927516E-10
1.010500E+03 1.849948E-07 +/-  4.883196E-10
1.011500E+03 1.841219E-07 +/-  4.880135E-10
1.012500E+03 1.832223E-07 +/-  4.853451E-10
1.013500E+03 1.820606E-07 +/-  4.817076E-10
1.014500E+03 1.807196E-07 +/-  4.798204E-10
1.015500E+03 1.803275E-07 +/-  4.800218E-10
1.016500E+03 1.797876E-07 +/-  4.790134E-10
1.017500E+03 1.772650E-07 +/-  4.733892E-10
1.018500E+03 1.773315E-07 +/-  4.724857E-10
1.019500E+03 1.763572E-07 +/-  4.706985E-10
1.020500E+03 1.749806E-07 +/-  4.688732E-10
1.021500E+03 1.742362E-07 +/-  4.680673E-10
1.022500E+03 1.734005E-07 +/-  4.654081E-10
1.023500E+03 1.715085E-07 +/-  4.615797E-10
1.024500E+03 1.716962E-07 +/-  4.610709E-10
1.025500E+03 1.705856E-07 +/-  4.602360E-10
1.026500E+03 1.691488E-07 +/-  4.575201E-10
1.027500E+03 1.686382E-07 +/-  4.564101E-10
1.028500E+03 1.669637E-07 +/-  4.523856E-10
1.029500E+03 1.669156E-07 +/-  4.511271E-10
1.030500E+03 1.656615E-07 +/-  4.505499E-10
1.031500E+03 1.649851E-07 +/-  4.491883E-10
1.032500E+03 1.641292E-07 +/-  4.461958E-10
1.033500E+03 1.623406E-07 +/-  4.438816E-10
1.034500E+03 1.627121E-07 +/-  4.430718E-10
1.035500E+03 1.605875E-07 +/-  4.393311E-10
1.036500E+03 1.605398E-07 +/-  4.398230E-10
1.037500E+03 1.591265E-07 +/-  4.372229E-10
1.038500E+03 1.586837E-07 +/-  4.361855E-10
1.039500E+03 1.575685E-07 +/-  4.334099E-10
1.040500E+03 1.560370E-07 +/-  4.294213E-10
1.041500E+03 1.565460E-07 +/-  4.310981E-10
1.042500E+03 1.548091E-07 +/-  4.289890E-10
1.043500E+03 1.543327E-07 +/-  4.271574E-10
1.044500E+03 1.530553E-07 +/-  4.242119E-10
1.045500E+03 1.522278E-07 +/-  4.222449E-10
1.046500E+03 1.517990E-07 +/-  4.212096E-10
1.047500E+03 1.514264E-07 +/-  4.209809E-10
1.048500E+03 1.495013E-07 +/-  4.172693E-10
1.049500E+03 1.495073E-07 +/-  4.175084E-10
1.050500E+03 1.479345E-07 +/-  4.137974E-10
1.051500E+03 1.473695E-07 +/-  4.126455E-10
1.052500E+03 1.469804E-07 +/-  4.112628E-10
1.053500E+03 1.461984E-07 +/-  4.098174E-10
1.054500E+03 1.448876E-07 +/-  4.075454E-10
1.055500E+03 1.442887E-07 +/-  4.075638E-10
1.056500E+03 1.433764E-07 +/-  4.043687E-10
1.057500E+03 1.434919E-07 +/-  4.043722E-10
1.058500E+03 1.415714E-07 +/-  4.001995E-10
1.059500E+03 1.413922E-07 +/-  3.995019E-10
1.060500E+03 1.400256E-07 +/-  3.981508E-10
1.061500E+03 1.401341E-07 +/-  3.986463E-10
1.062500E+03 1.390318E-07 +/-  3.955628E-10
1.063500E+03 1.381189E-07 +/-  3.934520E-10
1.064500E+03 1.374885E-07 +/-  3.921727E-10
1.065500E+03 1.371406E-07 +/-  3.904930E-10
1.066500E+03 1.358723E-07 +/-  3.889641E-10
1.067500E+03 1.353170E-07 +/-  3.872983E-10
1.068500E+03 1.343382E-07 +/-  3.870691E-10
1.069500E+03 1.335960E-07 +/-  3.842438E-10
1.070500E+03 1.334231E-07 +/-  3.837094E-10
1.071500E+03 1.324943E-07 +/-  3.813388E-10
1.072500E+03 1.313622E-07 +/-  3.780192E-10
1.073500E+03 1.307860E-07 +/-  3.789053E-10
1.074500E+03 1.302641E-07 +/-  3.777833E-10
1.075500E+03 1.299014E-07 +/-  3.767312E-10
1.076500E+03 1.291174E-07 +/-  3.749102E-10
1.077500E+03 1.275676E-07 +/-  3.714845E-10
1.078500E+03 1.275645E-07 +/-  3.707049E-10
1.079500E+03 1.269737E-07 +/-  3.687188E-10
1.080500E+03 1.260267E-07 +/-  3.687091E-10
1.081500E+03 1.253053E-07 +/-  3.673670E-10
1.082500E+03 1.248185E-07 +/-  3.662295E-10
1.083500E+03 1.239751E-07 +/-  3.643181E-10
1.084500E+03 1.236020E-07 +/-  3.630808E-10
1.085500E+03 1.230068E-07 +/-  3.611503E-10
1.086500E+03 1.220251E-07 +/-  3.583043E-10
1.087500E+03 1.212656E-07 +/-  3.581396E-10
1.088500E+03 1.209232E-07 +/-  3.573210E-10
1.089500E+03 1.207297E-07 +/-  3.577166E-10
1.090500E+03 1.197841E-07 +/-  3.558924E-10
1.091500E+03 1.188635E-07 +/-  3.528345E-10
1.092500E+03 1.179285E-07 +/-  3.505500E-10
1.093500E+03 1.177140E-07 +/-  3.494153E-10
1.094500E+03 1.171626E-07 +/-  3.483076E-10
1.095500E+03 1.165886E-07 +/-  3.484855E-10
1.096500E+03 1.161381E-07 +/-  3.469544E-10
1.097500E+03 1.147843E-07 +/-  3.457728E-10
1.098500E+03 1.145765E-07 +/-  3.441684E-10
1.099500E+03 1.137990E-07 +/-  3.422200E-10
1.100500E+03 1.137791E-07 +/-  3.409131E-10
1.101500E+03 1.126045E-07 +/-  3.379935E-10
1.102500E+03 1.121974E-07 +/-  3.384519E-10
1.103500E+03 1.118872E-07 +/-  3.378242E-10
1.104500E+03 1.110644E-07 +/-  3.367506E-10
1.105500E+03 1.108338E-07 +/-  3.370400E-10
1.106500E+03 1.098381E-07 +/-  3.341053E-10
1.107500E+03 1.087040E-07 +/-  3.309923E-10
1.108500E+03 1.086925E-07 +/-  3.305140E-10
1.109500E+03 1.089267E-07 +/-  3.298415E-10
1.110500E+03 1.074068E-07 +/-  3.275671E-10
