 u,U -> d,D
x-axis: "Mass{p3+p4}$"  from 1520.000000 to 1820.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.520500E+03 3.491158E-07 +/-  8.649731E-10
1.521500E+03 3.481567E-07 +/-  8.634227E-10
1.522500E+03 3.463626E-07 +/-  8.590814E-10
1.523500E+03 3.459077E-07 +/-  8.563200E-10
1.524500E+03 3.450307E-07 +/-  8.566733E-10
1.525500E+03 3.430645E-07 +/-  8.507018E-10
1.526500E+03 3.418820E-07 +/-  8.492377E-10
1.527500E+03 3.420614E-07 +/-  8.484354E-10
1.528500E+03 3.389988E-07 +/-  8.427668E-10
1.529500E+03 3.388958E-07 +/-  8.421822E-10
1.530500E+03 3.379601E-07 +/-  8.394635E-10
1.531500E+03 3.363021E-07 +/-  8.371371E-10
1.532500E+03 3.355594E-07 +/-  8.360650E-10
1.533500E+03 3.336615E-07 +/-  8.344402E-10
1.534500E+03 3.332585E-07 +/-  8.311696E-10
1.535500E+03 3.315360E-07 +/-  8.271835E-10
1.536500E+03 3.312930E-07 +/-  8.283575E-10
1.537500E+03 3.297850E-07 +/-  8.257517E-10
1.538500E+03 3.288743E-07 +/-  8.241047E-10
1.539500E+03 3.289072E-07 +/-  8.223754E-10
1.540500E+03 3.254336E-07 +/-  8.165828E-10
1.541500E+03 3.252524E-07 +/-  8.157343E-10
1.542500E+03 3.242307E-07 +/-  8.146376E-10
1.543500E+03 3.237165E-07 +/-  8.116645E-10
1.544500E+03 3.222705E-07 +/-  8.101277E-10
1.545500E+03 3.207635E-07 +/-  8.088285E-10
1.546500E+03 3.200999E-07 +/-  8.051187E-10
1.547500E+03 3.192632E-07 +/-  8.038342E-10
1.548500E+03 3.181773E-07 +/-  8.023477E-10
1.549500E+03 3.170652E-07 +/-  8.011283E-10
1.550500E+03 3.149393E-07 +/-  7.957073E-10
1.551500E+03 3.154010E-07 +/-  7.967356E-10
1.552500E+03 3.133851E-07 +/-  7.923843E-10
1.553500E+03 3.119052E-07 +/-  7.914835E-10
1.554500E+03 3.121253E-07 +/-  7.910534E-10
1.555500E+03 3.112371E-07 +/-  7.879119E-10
1.556500E+03 3.094793E-07 +/-  7.841313E-10
1.557500E+03 3.081463E-07 +/-  7.851370E-10
1.558500E+03 3.079945E-07 +/-  7.822970E-10
1.559500E+03 3.057525E-07 +/-  7.793227E-10
1.560500E+03 3.060309E-07 +/-  7.773549E-10
1.561500E+03 3.043094E-07 +/-  7.753843E-10
1.562500E+03 3.034906E-07 +/-  7.742900E-10
1.563500E+03 3.022586E-07 +/-  7.712140E-10
1.564500E+03 3.022779E-07 +/-  7.710274E-10
1.565500E+03 2.992421E-07 +/-  7.642991E-10
1.566500E+03 3.007888E-07 +/-  7.670739E-10
1.567500E+03 2.978202E-07 +/-  7.642957E-10
1.568500E+03 2.973388E-07 +/-  7.611777E-10
1.569500E+03 2.968989E-07 +/-  7.608715E-10
1.570500E+03 2.951070E-07 +/-  7.559747E-10
1.571500E+03 2.949683E-07 +/-  7.587395E-10
1.572500E+03 2.933079E-07 +/-  7.539337E-10
1.573500E+03 2.937518E-07 +/-  7.548219E-10
1.574500E+03 2.913286E-07 +/-  7.497014E-10
1.575500E+03 2.904722E-07 +/-  7.476043E-10
1.576500E+03 2.896771E-07 +/-  7.480578E-10
1.577500E+03 2.898753E-07 +/-  7.462949E-10
1.578500E+03 2.870473E-07 +/-  7.421641E-10
1.579500E+03 2.872824E-07 +/-  7.412768E-10
1.580500E+03 2.855071E-07 +/-  7.387998E-10
1.581500E+03 2.853479E-07 +/-  7.385504E-10
1.582500E+03 2.837695E-07 +/-  7.358359E-10
1.583500E+03 2.835103E-07 +/-  7.333256E-10
1.584500E+03 2.827362E-07 +/-  7.328897E-10
1.585500E+03 2.814184E-07 +/-  7.305681E-10
1.586500E+03 2.802076E-07 +/-  7.288252E-10
1.587500E+03 2.798529E-07 +/-  7.283261E-10
1.588500E+03 2.782278E-07 +/-  7.228677E-10
1.589500E+03 2.782546E-07 +/-  7.242838E-10
1.590500E+03 2.761737E-07 +/-  7.198585E-10
1.591500E+03 2.759744E-07 +/-  7.197608E-10
1.592500E+03 2.750701E-07 +/-  7.181987E-10
1.593500E+03 2.734072E-07 +/-  7.142240E-10
1.594500E+03 2.736140E-07 +/-  7.153782E-10
1.595500E+03 2.726593E-07 +/-  7.120995E-10
1.596500E+03 2.713213E-07 +/-  7.100812E-10
1.597500E+03 2.702962E-07 +/-  7.093143E-10
1.598500E+03 2.702999E-07 +/-  7.082251E-10
1.599500E+03 2.692365E-07 +/-  7.065773E-10
1.600500E+03 2.670458E-07 +/-  7.032545E-10
1.601500E+03 2.672708E-07 +/-  7.021039E-10
1.602500E+03 2.660506E-07 +/-  7.002180E-10
1.603500E+03 2.660688E-07 +/-  6.996417E-10
1.604500E+03 2.637422E-07 +/-  6.961990E-10
1.605500E+03 2.634067E-07 +/-  6.947014E-10
1.606500E+03 2.626104E-07 +/-  6.940084E-10
1.607500E+03 2.617632E-07 +/-  6.914395E-10
1.608500E+03 2.614590E-07 +/-  6.904306E-10
1.609500E+03 2.613862E-07 +/-  6.907880E-10
1.610500E+03 2.580822E-07 +/-  6.848322E-10
1.611500E+03 2.582165E-07 +/-  6.845740E-10
1.612500E+03 2.582988E-07 +/-  6.846356E-10
1.613500E+03 2.567973E-07 +/-  6.812704E-10
1.614500E+03 2.556330E-07 +/-  6.801478E-10
1.615500E+03 2.558406E-07 +/-  6.800656E-10
1.616500E+03 2.547133E-07 +/-  6.777082E-10
1.617500E+03 2.530482E-07 +/-  6.732444E-10
1.618500E+03 2.524463E-07 +/-  6.730035E-10
1.619500E+03 2.521550E-07 +/-  6.723171E-10
1.620500E+03 2.507372E-07 +/-  6.702195E-10
1.621500E+03 2.507164E-07 +/-  6.696113E-10
1.622500E+03 2.494267E-07 +/-  6.670800E-10
1.623500E+03 2.485450E-07 +/-  6.638243E-10
1.624500E+03 2.483917E-07 +/-  6.651962E-10
1.625500E+03 2.466955E-07 +/-  6.618048E-10
1.626500E+03 2.468625E-07 +/-  6.628187E-10
1.627500E+03 2.454022E-07 +/-  6.578064E-10
1.628500E+03 2.448151E-07 +/-  6.581655E-10
1.629500E+03 2.437440E-07 +/-  6.551146E-10
1.630500E+03 2.433246E-07 +/-  6.549880E-10
1.631500E+03 2.422155E-07 +/-  6.531950E-10
1.632500E+03 2.416051E-07 +/-  6.510051E-10
1.633500E+03 2.413215E-07 +/-  6.507557E-10
1.634500E+03 2.396554E-07 +/-  6.474929E-10
1.635500E+03 2.396407E-07 +/-  6.462260E-10
1.636500E+03 2.384617E-07 +/-  6.459830E-10
1.637500E+03 2.379173E-07 +/-  6.440416E-10
1.638500E+03 2.375323E-07 +/-  6.429582E-10
1.639500E+03 2.356938E-07 +/-  6.392526E-10
1.640500E+03 2.356461E-07 +/-  6.385562E-10
1.641500E+03 2.341592E-07 +/-  6.364931E-10
1.642500E+03 2.348642E-07 +/-  6.379342E-10
1.643500E+03 2.331290E-07 +/-  6.341292E-10
1.644500E+03 2.324698E-07 +/-  6.334129E-10
1.645500E+03 2.318392E-07 +/-  6.318578E-10
1.646500E+03 2.307757E-07 +/-  6.289640E-10
1.647500E+03 2.302216E-07 +/-  6.283184E-10
1.648500E+03 2.293642E-07 +/-  6.272145E-10
1.649500E+03 2.292752E-07 +/-  6.264263E-10
1.650500E+03 2.284198E-07 +/-  6.242528E-10
1.651500E+03 2.271070E-07 +/-  6.224414E-10
1.652500E+03 2.266091E-07 +/-  6.207323E-10
1.653500E+03 2.261607E-07 +/-  6.192652E-10
1.654500E+03 2.251405E-07 +/-  6.189391E-10
1.655500E+03 2.242627E-07 +/-  6.166677E-10
1.656500E+03 2.249233E-07 +/-  6.171987E-10
1.657500E+03 2.221633E-07 +/-  6.119528E-10
1.658500E+03 2.225956E-07 +/-  6.125107E-10
1.659500E+03 2.214615E-07 +/-  6.104277E-10
1.660500E+03 2.206263E-07 +/-  6.101773E-10
1.661500E+03 2.207953E-07 +/-  6.095652E-10
1.662500E+03 2.199890E-07 +/-  6.072081E-10
1.663500E+03 2.181735E-07 +/-  6.042647E-10
1.664500E+03 2.193547E-07 +/-  6.052421E-10
1.665500E+03 2.171705E-07 +/-  6.014503E-10
1.666500E+03 2.166441E-07 +/-  6.020109E-10
1.667500E+03 2.158504E-07 +/-  5.995879E-10
1.668500E+03 2.159399E-07 +/-  5.989283E-10
1.669500E+03 2.147790E-07 +/-  5.976297E-10
1.670500E+03 2.136511E-07 +/-  5.939341E-10
1.671500E+03 2.138479E-07 +/-  5.943073E-10
1.672500E+03 2.128639E-07 +/-  5.940473E-10
1.673500E+03 2.114752E-07 +/-  5.904623E-10
1.674500E+03 2.120846E-07 +/-  5.913473E-10
1.675500E+03 2.105742E-07 +/-  5.883174E-10
1.676500E+03 2.102790E-07 +/-  5.873731E-10
1.677500E+03 2.089775E-07 +/-  5.843470E-10
1.678500E+03 2.092321E-07 +/-  5.866554E-10
1.679500E+03 2.081060E-07 +/-  5.837618E-10
1.680500E+03 2.076292E-07 +/-  5.824544E-10
1.681500E+03 2.065179E-07 +/-  5.799351E-10
1.682500E+03 2.059569E-07 +/-  5.789485E-10
1.683500E+03 2.055464E-07 +/-  5.773181E-10
1.684500E+03 2.050843E-07 +/-  5.768481E-10
1.685500E+03 2.038295E-07 +/-  5.757398E-10
1.686500E+03 2.037787E-07 +/-  5.745690E-10
1.687500E+03 2.037299E-07 +/-  5.737307E-10
1.688500E+03 2.024972E-07 +/-  5.714413E-10
1.689500E+03 2.008934E-07 +/-  5.684748E-10
1.690500E+03 2.010409E-07 +/-  5.684884E-10
1.691500E+03 2.009730E-07 +/-  5.688199E-10
1.692500E+03 1.989976E-07 +/-  5.654767E-10
1.693500E+03 1.999467E-07 +/-  5.663159E-10
1.694500E+03 1.983261E-07 +/-  5.636214E-10
1.695500E+03 1.981244E-07 +/-  5.624560E-10
1.696500E+03 1.975869E-07 +/-  5.604482E-10
1.697500E+03 1.966505E-07 +/-  5.592896E-10
1.698500E+03 1.955767E-07 +/-  5.587078E-10
1.699500E+03 1.964155E-07 +/-  5.593351E-10
1.700500E+03 1.944722E-07 +/-  5.550819E-10
1.701500E+03 1.945625E-07 +/-  5.560921E-10
1.702500E+03 1.934156E-07 +/-  5.522207E-10
1.703500E+03 1.936010E-07 +/-  5.525147E-10
