 u,U -> m,M
x-axis: "Mass{p3+p4}&"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 1.096780E-03 +/-  2.530345E-06
3.215000E+02 1.084553E-03 +/-  2.502565E-06
3.225000E+02 1.071553E-03 +/-  2.472202E-06
3.235000E+02 1.056224E-03 +/-  2.426986E-06
3.245000E+02 1.043360E-03 +/-  2.400978E-06
3.255000E+02 1.030347E-03 +/-  2.370608E-06
3.265000E+02 1.020413E-03 +/-  2.355832E-06
3.275000E+02 1.005984E-03 +/-  2.310766E-06
3.285000E+02 9.969333E-04 +/-  2.304528E-06
3.295000E+02 9.786482E-04 +/-  2.263423E-06
3.305000E+02 9.706412E-04 +/-  2.246759E-06
3.315000E+02 9.578285E-04 +/-  2.221424E-06
3.325000E+02 9.468695E-04 +/-  2.189943E-06
3.335000E+02 9.328053E-04 +/-  2.156393E-06
3.345000E+02 9.253554E-04 +/-  2.141960E-06
3.355000E+02 9.100387E-04 +/-  2.109583E-06
3.365000E+02 9.018232E-04 +/-  2.095963E-06
3.375000E+02 8.925814E-04 +/-  2.081488E-06
3.385000E+02 8.795656E-04 +/-  2.053705E-06
3.395000E+02 8.704258E-04 +/-  2.044460E-06
3.405000E+02 8.591598E-04 +/-  2.016549E-06
3.415000E+02 8.480037E-04 +/-  1.985243E-06
3.425000E+02 8.390841E-04 +/-  1.962929E-06
3.435000E+02 8.279788E-04 +/-  1.942259E-06
3.445000E+02 8.209339E-04 +/-  1.927215E-06
3.455000E+02 8.097853E-04 +/-  1.919669E-06
3.465000E+02 8.009329E-04 +/-  1.901769E-06
3.475000E+02 7.914224E-04 +/-  1.874772E-06
3.485000E+02 7.813723E-04 +/-  1.854017E-06
3.495000E+02 7.730068E-04 +/-  1.835950E-06
3.505000E+02 7.635132E-04 +/-  1.816431E-06
3.515000E+02 7.553386E-04 +/-  1.795796E-06
3.525000E+02 7.470570E-04 +/-  1.783711E-06
3.535000E+02 7.382601E-04 +/-  1.763267E-06
3.545000E+02 7.284953E-04 +/-  1.743904E-06
3.555000E+02 7.206967E-04 +/-  1.731695E-06
3.565000E+02 7.135745E-04 +/-  1.718620E-06
3.575000E+02 7.060831E-04 +/-  1.705471E-06
3.585000E+02 6.959358E-04 +/-  1.677072E-06
3.595000E+02 6.885004E-04 +/-  1.659046E-06
3.605000E+02 6.809164E-04 +/-  1.640615E-06
3.615000E+02 6.735757E-04 +/-  1.628984E-06
3.625000E+02 6.669382E-04 +/-  1.628918E-06
3.635000E+02 6.565078E-04 +/-  1.606474E-06
3.645000E+02 6.517096E-04 +/-  1.593486E-06
3.655000E+02 6.439951E-04 +/-  1.574434E-06
3.665000E+02 6.370408E-04 +/-  1.559335E-06
3.675000E+02 6.301689E-04 +/-  1.543128E-06
3.685000E+02 6.204340E-04 +/-  1.520409E-06
3.695000E+02 6.158962E-04 +/-  1.514085E-06
3.705000E+02 6.082334E-04 +/-  1.505014E-06
3.715000E+02 6.024417E-04 +/-  1.490372E-06
3.725000E+02 5.962588E-04 +/-  1.485497E-06
3.735000E+02 5.892923E-04 +/-  1.462476E-06
3.745000E+02 5.833641E-04 +/-  1.449332E-06
3.755000E+02 5.764838E-04 +/-  1.439954E-06
3.765000E+02 5.698290E-04 +/-  1.419750E-06
3.775000E+02 5.644890E-04 +/-  1.411246E-06
3.785000E+02 5.561579E-04 +/-  1.389592E-06
3.795000E+02 5.523782E-04 +/-  1.392093E-06
3.805000E+02 5.449412E-04 +/-  1.370133E-06
3.815000E+02 5.403974E-04 +/-  1.357395E-06
3.825000E+02 5.340104E-04 +/-  1.350048E-06
3.835000E+02 5.274275E-04 +/-  1.343001E-06
3.845000E+02 5.243256E-04 +/-  1.332694E-06
3.855000E+02 5.166398E-04 +/-  1.316117E-06
3.865000E+02 5.111012E-04 +/-  1.303158E-06
3.875000E+02 5.075638E-04 +/-  1.295971E-06
3.885000E+02 5.001214E-04 +/-  1.279445E-06
3.895000E+02 4.962004E-04 +/-  1.271209E-06
3.905000E+02 4.901678E-04 +/-  1.260624E-06
3.915000E+02 4.841975E-04 +/-  1.245654E-06
3.925000E+02 4.811812E-04 +/-  1.240806E-06
3.935000E+02 4.743550E-04 +/-  1.230725E-06
3.945000E+02 4.704882E-04 +/-  1.220437E-06
3.955000E+02 4.653145E-04 +/-  1.208604E-06
3.965000E+02 4.613515E-04 +/-  1.199926E-06
3.975000E+02 4.543184E-04 +/-  1.190626E-06
3.985000E+02 4.527025E-04 +/-  1.184843E-06
3.995000E+02 4.462842E-04 +/-  1.172222E-06
4.005000E+02 4.417284E-04 +/-  1.157490E-06
4.015000E+02 4.373437E-04 +/-  1.151728E-06
4.025000E+02 4.312168E-04 +/-  1.140130E-06
4.035000E+02 4.284576E-04 +/-  1.134118E-06
4.045000E+02 4.243951E-04 +/-  1.123797E-06
4.055000E+02 4.187334E-04 +/-  1.112363E-06
4.065000E+02 4.167006E-04 +/-  1.108330E-06
4.075000E+02 4.109044E-04 +/-  1.095213E-06
4.085000E+02 4.060082E-04 +/-  1.087288E-06
4.095000E+02 4.033255E-04 +/-  1.078561E-06
4.105000E+02 3.994188E-04 +/-  1.072727E-06
4.115000E+02 3.940705E-04 +/-  1.061543E-06
4.125000E+02 3.918570E-04 +/-  1.053718E-06
4.135000E+02 3.859257E-04 +/-  1.046483E-06
4.145000E+02 3.838537E-04 +/-  1.038360E-06
4.155000E+02 3.782442E-04 +/-  1.026957E-06
4.165000E+02 3.766063E-04 +/-  1.026975E-06
4.175000E+02 3.714757E-04 +/-  1.013727E-06
