 u,U -> d,D
x-axis: "Mass{p3+p4}"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.205000E+02 4.533417E-01 +/-  1.045141E-03
3.215000E+02 4.483032E-01 +/-  1.033580E-03
3.225000E+02 4.433204E-01 +/-  1.021883E-03
3.235000E+02 4.367460E-01 +/-  1.004293E-03
3.245000E+02 4.321344E-01 +/-  9.955434E-04
3.255000E+02 4.262682E-01 +/-  9.836795E-04
3.265000E+02 4.213165E-01 +/-  9.685580E-04
3.275000E+02 4.155476E-01 +/-  9.565078E-04
3.285000E+02 4.110880E-01 +/-  9.493193E-04
3.295000E+02 4.064787E-01 +/-  9.411648E-04
3.305000E+02 4.005114E-01 +/-  9.256536E-04
3.315000E+02 3.959226E-01 +/-  9.182028E-04
3.325000E+02 3.917380E-01 +/-  9.070091E-04
3.335000E+02 3.852053E-01 +/-  8.870932E-04
3.345000E+02 3.827130E-01 +/-  8.897335E-04
3.355000E+02 3.775867E-01 +/-  8.746905E-04
3.365000E+02 3.723171E-01 +/-  8.665284E-04
3.375000E+02 3.685127E-01 +/-  8.616548E-04
3.385000E+02 3.643562E-01 +/-  8.492607E-04
3.395000E+02 3.589869E-01 +/-  8.420300E-04
3.405000E+02 3.559958E-01 +/-  8.352667E-04
3.415000E+02 3.501680E-01 +/-  8.206235E-04
3.425000E+02 3.474921E-01 +/-  8.139756E-04
3.435000E+02 3.424263E-01 +/-  8.001998E-04
3.445000E+02 3.394737E-01 +/-  7.983995E-04
3.455000E+02 3.343191E-01 +/-  7.892176E-04
3.465000E+02 3.316865E-01 +/-  7.884553E-04
3.475000E+02 3.266078E-01 +/-  7.755555E-04
3.485000E+02 3.240812E-01 +/-  7.712454E-04
3.495000E+02 3.194993E-01 +/-  7.566496E-04
3.505000E+02 3.155117E-01 +/-  7.494395E-04
3.515000E+02 3.121980E-01 +/-  7.443807E-04
3.525000E+02 3.089391E-01 +/-  7.364088E-04
3.535000E+02 3.049249E-01 +/-  7.285557E-04
3.545000E+02 3.018674E-01 +/-  7.223470E-04
3.555000E+02 2.979760E-01 +/-  7.164362E-04
3.565000E+02 2.946240E-01 +/-  7.105184E-04
3.575000E+02 2.916421E-01 +/-  7.032117E-04
3.585000E+02 2.879602E-01 +/-  6.929553E-04
3.595000E+02 2.850763E-01 +/-  6.894317E-04
3.605000E+02 2.818828E-01 +/-  6.786262E-04
3.615000E+02 2.777260E-01 +/-  6.682194E-04
3.625000E+02 2.755623E-01 +/-  6.756389E-04
3.635000E+02 2.720471E-01 +/-  6.650385E-04
3.645000E+02 2.696296E-01 +/-  6.580354E-04
3.655000E+02 2.661057E-01 +/-  6.522901E-04
3.665000E+02 2.639172E-01 +/-  6.475831E-04
3.675000E+02 2.595851E-01 +/-  6.339060E-04
3.685000E+02 2.574824E-01 +/-  6.324340E-04
3.695000E+02 2.542584E-01 +/-  6.250471E-04
3.705000E+02 2.518945E-01 +/-  6.228594E-04
3.715000E+02 2.494953E-01 +/-  6.187779E-04
3.725000E+02 2.454693E-01 +/-  6.075740E-04
3.735000E+02 2.445132E-01 +/-  6.076641E-04
3.745000E+02 2.405634E-01 +/-  5.984820E-04
3.755000E+02 2.382423E-01 +/-  5.947963E-04
3.765000E+02 2.355195E-01 +/-  5.870886E-04
3.775000E+02 2.332071E-01 +/-  5.815584E-04
3.785000E+02 2.305972E-01 +/-  5.772567E-04
3.795000E+02 2.277794E-01 +/-  5.734039E-04
3.805000E+02 2.257510E-01 +/-  5.675238E-04
3.815000E+02 2.228181E-01 +/-  5.618195E-04
3.825000E+02 2.212797E-01 +/-  5.585013E-04
3.835000E+02 2.182421E-01 +/-  5.550172E-04
3.845000E+02 2.166167E-01 +/-  5.501547E-04
3.855000E+02 2.135157E-01 +/-  5.448521E-04
3.865000E+02 2.117315E-01 +/-  5.387902E-04
3.875000E+02 2.094451E-01 +/-  5.356500E-04
3.885000E+02 2.076574E-01 +/-  5.320771E-04
3.895000E+02 2.050990E-01 +/-  5.238882E-04
3.905000E+02 2.020548E-01 +/-  5.189048E-04
3.915000E+02 2.008667E-01 +/-  5.174217E-04
3.925000E+02 1.983455E-01 +/-  5.125294E-04
3.935000E+02 1.965043E-01 +/-  5.091759E-04
3.945000E+02 1.947228E-01 +/-  5.053637E-04
3.955000E+02 1.919455E-01 +/-  4.982503E-04
3.965000E+02 1.905373E-01 +/-  4.962981E-04
3.975000E+02 1.885461E-01 +/-  4.927668E-04
3.985000E+02 1.860971E-01 +/-  4.880235E-04
3.995000E+02 1.855183E-01 +/-  4.865663E-04
4.005000E+02 1.815570E-01 +/-  4.768019E-04
4.015000E+02 1.814042E-01 +/-  4.774924E-04
